cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
fb625762cff19459092f8740,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Tell me something... Who are you?,"Sag mir etwas, wer bist du?",translate,translated,displayed-string,0bd2ec3335b8af950c52d3c9ecae171cd9eb871241b439014a157543a88a7184
a94a270444d010fd5ab7267a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ad2a37b5e4562295b54136e4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Tell me something... Who are you?,"Sag mir etwas, wer bist du?",translate,translated,displayed-string,0bd2ec3335b8af950c52d3c9ecae171cd9eb871241b439014a157543a88a7184
e26615bcdb44805c5ae1b9f2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Huh? What are you talkin' about, Takumi? I'm Darumi Amemiya, obviously!","Wovon reden Sie, Takumi?",translate,translated,displayed-string,a8bf2d1330d50fdd677d62d14cc012fca12828263e43602483212e56477830ba
129e978795174e3dbcab4c74,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d8a10c01be702089fd00039d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Huh? What are you talkin' about, Takumi? I'm Darumi Amemiya, obviously!","Wovon reden Sie, Takumi?",translate,translated,displayed-string,a8bf2d1330d50fdd677d62d14cc012fca12828263e43602483212e56477830ba
fec4f64b6c95b51581e6a491,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Is my makeup so bad today that you don't recognize me? Wow, that's depressing as all hell...","Ist mein Make-up heute so schlecht, dass du mich nicht wiedererkennst?",translate,translated,displayed-string,9839727185342eb48bebef7a2a50700dd504f7cfdfa0286fc0ed50596cb24808
347bc8bc3141073b292b452d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
de331932c14760a56c74e780,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Is my makeup so bad today that you don't recognize me? Wow, that's depressing as all hell...","Ist mein Make-up heute so schlecht, dass du mich nicht wiedererkennst?",translate,translated,displayed-string,9839727185342eb48bebef7a2a50700dd504f7cfdfa0286fc0ed50596cb24808
44a5c84e3d7ac4f5199efcbc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_ab_d093_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Give it a rest, Darumi. I know you're not the same person I knew and trusted to do the right thing.","Ich weiß, du bist nicht derselbe Mensch, den ich kannte und dem ich vertraute, um das Richtige zu tun.",translate,translated,displayed-string,c0fafacebde2feafc44b0239689658b7a58fead67af2076911a98c495e10f53b
