cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
83008c6bd8977100321938b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 51,Tag 51,translate,translated,displayed-string,3b17e47671e8a6433c02d4a276504884fac458f1db0fb4c8aad455974d8f6814
da3b87967de57d5cae08010e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6483ebd201951e448147e7aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 51,Tag 51,translate,translated,displayed-string,3b17e47671e8a6433c02d4a276504884fac458f1db0fb4c8aad455974d8f6814
457d9503b676e504b335752a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
2fbcfac7c2be73e66586dbc4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s10_A_YakusiTk_B0_d051_m010_010_0030,s10_A_YakusiTk_B0_d051_m010_010_0030,protected,protected,resource-or-id,510f848f8cbb0d7e0c446b84949c22a8451828ddc82ccaf4d8b4c2cdaa88b0f7
dec6458bad0b1693d49d9f66,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
096fca792b874a27dc072f3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 51st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 51. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,011d9dccc7afcae3759db9b7f88d8ad3de6a49e81f4284220fdb6e8b661646b1
6ac025399dad5e976189b15c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s10_A_YakusiTk_B0_d051_m010_010_0040,s10_A_YakusiTk_B0_d051_m010_010_0040,protected,protected,resource-or-id,dc17b79dc9128457cfcbce55868788413a7e887b0eb339c760426f9d04d6fff9
bbeefe0eeec51a1c8d9f314e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 51st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 51. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,011d9dccc7afcae3759db9b7f88d8ad3de6a49e81f4284220fdb6e8b661646b1
f1bc725de2b89738c1db7486,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
dd69e43bc7c22e70a910c406,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s10_A_YakusiTk_B0_d051_m010_010_0050,s10_A_YakusiTk_B0_d051_m010_010_0050,protected,protected,resource-or-id,4cd0b1455d44c8c14c028eb177ae4f9cb82f23f78349ea30386a8c0803f4bd49
8083a08ccb2b6a30dd673d73,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
11b02bec1c411d2a94791854,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
1ba2ff152d585febf9a7f654,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s10_A_YakusiTk_B0_d051_m010_010_0060,s10_A_YakusiTk_B0_d051_m010_010_0060,protected,protected,resource-or-id,c484f16f7d14d9efb6c7580b69a3a26db7173507e07b1dc3f0789ef3f82aa5fa
eee149ff42f589877d63205b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
2dd5672797b0fcbf1af203db,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"Okay, then...","Okay, dann...",translate,translated,displayed-string,d437a93c3dca70f7006f7c682756b47f2404ee72d65194518bb256a710928c20
34d8140f42d08ebe7a8e457a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
da0148b09026c36b95a8084f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_b0_d051_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"Okay, then...","Okay, dann...",translate,translated,displayed-string,d437a93c3dca70f7006f7c682756b47f2404ee72d65194518bb256a710928c20
