cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5b4fdb8a0e075300a88f412c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We made our way to the nameless room on the first floor. The one we called the }{fc(ff635b)Capsule Room}{fc(57e4f1) for want of anything better.},{fc(57e4f1)Wir machten uns auf den Weg in den namenlosen Raum im ersten Stock. }{fc(ff635b)Kapselraum}{fc(57e4f1) aus Mangel an etwas Besserem.},translate,translated,displayed-string:fc-repair,fe2c1d5a7bb1eca85844f3a2c33c9b77044e73674a6065c70e6d0d4cfc3bb1dd
2456c62f15087e3d39b71f41,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We made our way to the nameless room on the first floor. The one we called the }{fc(ff635b)Capsule Room}{fc(57e4f1) for want of anything better.},{fc(57e4f1)Wir machten uns auf den Weg in den namenlosen Raum im ersten Stock. }{fc(ff635b)Kapselraum}{fc(57e4f1) aus Mangel an etwas Besserem.},translate,translated,displayed-string:fc-repair,fe2c1d5a7bb1eca85844f3a2c33c9b77044e73674a6065c70e6d0d4cfc3bb1dd
b7991b81875ed7d6381b37de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,2,2,string 2,We should be safe in here.,Wir sollten hier drin sicher sein.,translate,translated,displayed-string,d94c8ff83529ca410d4e38f5ef434c85a910a3891c0a12dee99f4ef418641754
2a7556fd6328a4cc122c86e9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4ec31f9340d18479aaaba559,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,2,4,string 4,We should be safe in here.,Wir sollten hier drin sicher sein.,translate,translated,displayed-string,d94c8ff83529ca410d4e38f5ef434c85a910a3891c0a12dee99f4ef418641754
558e1eae54ac64a323a5b72f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,3,2,string 2,"Back in Steady-Fundamental, this is where we put Eito...but I guess not in this timeline.","Zurück in Steady-Fundamental, hier haben wir Eito...aber ich denke nicht in dieser Zeitlinie.",translate,translated,displayed-string,a5b1271f1ac2441a0ab3af624243c61202c05bc9c0d161c503361bbe20b6c00e
2bb52024c237c532e3c8368b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d747a8d47e6d11de457d0ade,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,3,4,string 4,"Back in Steady-Fundamental, this is where we put Eito...but I guess not in this timeline.","Zurück in Steady-Fundamental, hier haben wir Eito...aber ich denke nicht in dieser Zeitlinie.",translate,translated,displayed-string,a5b1271f1ac2441a0ab3af624243c61202c05bc9c0d161c503361bbe20b6c00e
020e310445154ccb70ab27c9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,4,2,string 2,What's our plan from here?,Was ist unser Plan von hier?,translate,translated,displayed-string,07e1aa042e4a75eb9c4c1ee70da26eb5c8a5b402723ff9d358ca7bee083482b9
42045763931945da59cf18e4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
16117651eb013da4a87d2ca0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_00_d031_m050_010.mbe/000_Sheet1.csv,4,4,string 4,What's our plan from here?,Was ist unser Plan von hier?,translate,translated,displayed-string,07e1aa042e4a75eb9c4c1ee70da26eb5c8a5b402723ff9d358ca7bee083482b9
