cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
2d94391b61746329a04c4934,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,1,2,string 2,"All right, we've made it back to the school.","In Ordnung, wir haben es zurück in die Schule geschafft.",translate,translated,displayed-string,07c301161bbb58145ec7fbf3ff6904f46948b37ed88c2c6c5a6606b98e40c887
162d25069d54112585cf365d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
499810821c798ea08cfaf6db,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,1,4,string 4,"All right, we've made it back to the school.","In Ordnung, wir haben es zurück in die Schule geschafft.",translate,translated,displayed-string,07c301161bbb58145ec7fbf3ff6904f46948b37ed88c2c6c5a6606b98e40c887
ad05db58b804e37a3fa8e9fe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)Hiruko spoke in a clear, calm voice.}","{fc(57e4f1)Hiruko sprach mit einer klaren, ruhigen Stimme.}",translate,translated,displayed-string:fc-repair,777d67272eb4f3302e9b9330c1a9fc4c1fabf38bfd1478cb703ca4e1515a629f
44850f1569800baaecae446b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)Hiruko spoke in a clear, calm voice.}","{fc(57e4f1)Hiruko sprach mit einer klaren, ruhigen Stimme.}",translate,translated,displayed-string:fc-repair,777d67272eb4f3302e9b9330c1a9fc4c1fabf38bfd1478cb703ca4e1515a629f
be85e800ebabe6b4dbdd77ca,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,3,2,string 2,Are you sure you're okay with this?,"Bist du sicher, dass du damit einverstanden bist?",translate,translated,displayed-string,cac66bbbd70fe60e7e6afb56fdd89f46ea0e75d597a0166fb6361391c88d0730
7a22b27608887380c21dc174,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c0f82c8027ef5480c2390efe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,3,4,string 4,Are you sure you're okay with this?,"Bist du sicher, dass du damit einverstanden bist?",translate,translated,displayed-string,cac66bbbd70fe60e7e6afb56fdd89f46ea0e75d597a0166fb6361391c88d0730
05f0406e12ab2db5cbb09d98,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,4,2,string 2,"I'm the type to adapt quickly. I don't waste time worrying, unlike somebody I know.","Ich bin der Typ, der sich schnell anpasst. Ich verschwende keine Zeit, mir Sorgen zu machen, im Gegensatz zu jemandem, den ich kenne.",translate,translated,displayed-string,ff8a279e6fbe184748f4d6eeeb8402930b5da0c49160af349cb0f48f8b997547
77b6cf52b3a98fa8b96a1431,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7d22d5c0fe13ee7ec3014d7d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,4,4,string 4,"I'm the type to adapt quickly. I don't waste time worrying, unlike somebody I know.","Ich bin der Typ, der sich schnell anpasst. Ich verschwende keine Zeit, mir Sorgen zu machen, im Gegensatz zu jemandem, den ich kenne.",translate,translated,displayed-string,ff8a279e6fbe184748f4d6eeeb8402930b5da0c49160af349cb0f48f8b997547
0b7c33f4eb30618d7a98d498,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,5,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
61539f4dfef628777db91e3a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cb8bf5c101116d2ba9cc33d2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,5,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
282cb3796871b9aaa476f5f7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,6,2,string 2,"Now then, we're here to fix Takumi II, but... Where is he?","Nun, dann sind wir hier, um Takumi II zu reparieren, aber... wo ist er?",translate,translated,displayed-string,baccb243c76ea9f564c172e19439a4cd8022f88141d9ee755020ddd045bff28e
24ac756ed074433a913e5e38,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3b2961e60bdf9d8a044bb650,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m030_010.mbe/000_Sheet1.csv,6,4,string 4,"Now then, we're here to fix Takumi II, but... Where is he?","Nun, dann sind wir hier, um Takumi II zu reparieren, aber... wo ist er?",translate,translated,displayed-string,baccb243c76ea9f564c172e19439a4cd8022f88141d9ee755020ddd045bff28e
