cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
57aee3dcdde00ec9c1291d7c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,1,2,string 2,*huff*...*gasp*...,*huff*...*gasp*...,translate,translated,displayed-string,387eeaf2322a0033c5f2bfec2f2cd4e799526fb149e2ec6b2652fe40f9f9076d
7070bbf6449ef6a584f02380,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,1,3,string2 3,s11_0_SeisyunR_Aaa_d065_m060_010_0010,s11_0_SeisyunR_Aaa_d065_m060_010_0010,protected,protected,resource-or-id,67731cd41c9b4c18e0a6018668f6c4e99226d6f1b8d8a8067c012c241a61e4f0
2104a3cf69538d39b7838231,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,1,4,string 4,*huff*...*gasp*...,*huff*...*gasp*...,translate,translated,displayed-string,387eeaf2322a0033c5f2bfec2f2cd4e799526fb149e2ec6b2652fe40f9f9076d
f4274d3b6db5c8d678512f37,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,2,2,string 2,I lost...? Me...?,Ich habe verloren...?,translate,translated,displayed-string,058c8caaa3f46198c8aa0837ae4d74698ae33418c87e392ac8498f7fb5ef276a
eb184286883e69c79c020bf6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,2,3,string2 3,s11_0_SeisyunR_Aaa_d065_m060_010_0020,s11_0_SeisyunR_Aaa_d065_m060_010_0020,protected,protected,resource-or-id,0a33314ebeed256ad081921ab1cfb0f9ae363f8cd6aa5a51cfe1226739198cb8
056100f1139bebd4fa66ea67,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,2,4,string 4,I lost...? Me...?,Ich habe verloren...?,translate,translated,displayed-string,058c8caaa3f46198c8aa0837ae4d74698ae33418c87e392ac8498f7fb5ef276a
27b71e6dcefe889920d89d12,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,3,2,string 2,But that makes no sense... I have V'ehxness's cryptoglobin...,Aber das ergibt keinen Sinn... ich habe V'ehxness' Kryptolobin...,translate,translated,displayed-string,b27c64d9395d4e25a19d30a056debf983f8e64a76178807ebf6920248c6faa5c
fa2d0fd625344577e494d205,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,3,3,string2 3,s11_0_SeisyunR_Aaa_d065_m060_010_0030,s11_0_SeisyunR_Aaa_d065_m060_010_0030,protected,protected,resource-or-id,27528ba45f4fc9c060e19267c423c64e9837dc56f9dc236872ed75d6ae06b0d3
a2763e55d41b33e34b5314b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,3,4,string 4,But that makes no sense... I have V'ehxness's cryptoglobin...,Aber das ergibt keinen Sinn... ich habe V'ehxness' Kryptolobin...,translate,translated,displayed-string,b27c64d9395d4e25a19d30a056debf983f8e64a76178807ebf6920248c6faa5c
f28214972cc7d3dc7f558f4b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aaa_d065_m060_010.mbe/000_Sheet1.csv,4,2,string 2,"Eito, no matter how strong you might get, you're all on your own.","Eito, egal, wie stark du wirst, du bist ganz allein.",translate,translated,displayed-string,3762038eea5654a36e3444b5930a0730fbd411e6403c4aa3853796049ec727f8
