cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f7d3ac40891025825b3a8b21,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,1,2,string 2,There are things in this life I must protect...,"Es gibt Dinge in diesem Leben, die ich beschützen muss...",translate,translated,displayed-string,c58c045f2852ce15337dd8187eb900684aa80b90f308994d65ec55cdcd25e360
9a0a4608a45ed3742be56e31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,1,3,string2 3,k_chr013KYO_05_0010,k_chr013KYO_05_0010,protected,protected,resource-or-id,709c7e88d4f3a43116cfa101390aa354aadf020b37d5c79cdef5492b53ad9e1c
679a2c2cd93f2e1110a05c1a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,1,4,string 4,There are things in this life I must protect...,"Es gibt Dinge in diesem Leben, die ich beschützen muss...",translate,translated,displayed-string,c58c045f2852ce15337dd8187eb900684aa80b90f308994d65ec55cdcd25e360
410838485c0edb0b958c2e84,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,2,2,string 2,"That certainly includes my grandfather, who is my only blood relative. But there is more to it than that.","Das schließt sicherlich meinen Großvater ein, der mein einziger Blutsverwandter ist, aber es gibt mehr als das.",translate,translated,displayed-string,594416e1009a18d631a0fd22597cf224f843bfed8b15290b8c73359296843d68
1d90e97ee40acdcd9301bf7e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,2,3,string2 3,k_chr013KYO_05_0020,k_chr013KYO_05_0020,protected,protected,resource-or-id,48a06c9b2de80f38bd813f391487b83f080d16d741d17641a9852e10bbea873c
418b9fbff17dbbce85df6be9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,2,4,string 4,"That certainly includes my grandfather, who is my only blood relative. But there is more to it than that.","Das schließt sicherlich meinen Großvater ein, der mein einziger Blutsverwandter ist, aber es gibt mehr als das.",translate,translated,displayed-string,594416e1009a18d631a0fd22597cf224f843bfed8b15290b8c73359296843d68
05db2d93b6e5b171495780b7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,3,2,string 2,"I wish to protect all who are seen as weaker. Whether they be young, elderly, male, female, animals, or even plants...","Ich möchte alle schützen, die als schwächer angesehen werden. Ob jung, alt, männlich, weiblich, Tiere oder sogar Pflanzen...",translate,translated,displayed-string,53dbc6b74921d78f80c306d4cb11adfb15319f3200d601ed0036c106b2085b24
10a8959ec76319ae20de2429,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,3,3,string2 3,k_chr013KYO_05_0030,k_chr013KYO_05_0030,protected,protected,resource-or-id,3d1596c5f9df07f69a3fd1879236a74aa6de50ebf7163e4df78a2fa51872aa92
da483a844fbb2f0e7bcbaefe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,3,4,string 4,"I wish to protect all who are seen as weaker. Whether they be young, elderly, male, female, animals, or even plants...","Ich möchte alle schützen, die als schwächer angesehen werden. Ob jung, alt, männlich, weiblich, Tiere oder sogar Pflanzen...",translate,translated,displayed-string,53dbc6b74921d78f80c306d4cb11adfb15319f3200d601ed0036c106b2085b24
6f0a9000a689eadc4aba58e5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,4,2,string 2,I will fight for those who cannot fight for themselves...and let the Holy Jumonji Sword feast on the blood of the wicked.,"Ich werde für diejenigen kämpfen, die nicht für sich selbst kämpfen können... und das Heilige Jumonji-Schwert an dem Blut der Bösen mahlen lassen.",translate,translated,displayed-string,e7e882d59297066f6f14f78274f4bb411bc4a267728dcbed42bcd9d94ff5840e
47c9efa2712cda3fd5e00a0d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,4,3,string2 3,k_chr013KYO_05_0040,k_chr013KYO_05_0040,protected,protected,resource-or-id,d4efa420af29660a89fc63355da13b78b60fc895d2914bf4720cecd4d4c10609
5d76d00ef4f988ada9e2c31b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,4,4,string 4,I will fight for those who cannot fight for themselves...and let the Holy Jumonji Sword feast on the blood of the wicked.,"Ich werde für diejenigen kämpfen, die nicht für sich selbst kämpfen können... und das Heilige Jumonji-Schwert an dem Blut der Bösen mahlen lassen.",translate,translated,displayed-string,e7e882d59297066f6f14f78274f4bb411bc4a267728dcbed42bcd9d94ff5840e
6973060964706549912471b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,5,2,string 2,"All I do, I do for what is just. That is my way of the sword.","Alles, was ich tue, tue ich für das, was gerecht ist.",translate,translated,displayed-string,5065821bfdf5e1820437383ffd60b8b573bb180632d3476823e85b01469e46dd
422cd936ca6fc3fc6b195770,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,5,3,string2 3,k_chr013KYO_05_0050,k_chr013KYO_05_0050,protected,protected,resource-or-id,be858ac84d60323df031a2f92113db0625c02770df49b60ced448e9df7fa5467
7930447120e0bc3a22c225cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,5,4,string 4,"All I do, I do for what is just. That is my way of the sword.","Alles, was ich tue, tue ich für das, was gerecht ist.",translate,translated,displayed-string,5065821bfdf5e1820437383ffd60b8b573bb180632d3476823e85b01469e46dd
e6a1a27e2ce830c0fef89167,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,6,2,string 2,Do you think me greedy? I will be the greediest person in the world if it brings justice.,"Ich werde der gierigste Mensch der Welt sein, wenn es Gerechtigkeit bringt.",translate,translated,displayed-string,1ee0bfc09a0a9dbcd90d57616584833355f135ec957be3704c9f829b430c3935
d38a5fa09e66624aa02953c5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,6,3,string2 3,k_chr013KYO_05_0060,k_chr013KYO_05_0060,protected,protected,resource-or-id,dcf262866ba427fcf573bf848e163582cb7d1c8913c0fe3176d357f0c409ca92
3308fd843941b0bf8177272b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,6,4,string 4,Do you think me greedy? I will be the greediest person in the world if it brings justice.,"Ich werde der gierigste Mensch der Welt sein, wenn es Gerechtigkeit bringt.",translate,translated,displayed-string,1ee0bfc09a0a9dbcd90d57616584833355f135ec957be3704c9f829b430c3935
8e3a652df5f37ea845dacf09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,7,2,string 2,"All the friends that I have made here come under my protection as well. You are my first friends, after all!","Alle Freunde, die ich hier gemacht habe, kommen auch unter meinen Schutz. Du bist schließlich meine ersten Freunde!",translate,translated,displayed-string,8d90e7d8cd491c6d8189679376db0c6c9ae32ee7daf281e5f2923b7fda47a130
a63da47f64688116feb46128,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,7,3,string2 3,k_chr013KYO_05_0070,k_chr013KYO_05_0070,protected,protected,resource-or-id,caffe0d29399acaf0c3ef3acac49789b8522a8376b878bb608a004f1cf2d2800
613c5323469c0b9eae05700e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,7,4,string 4,"All the friends that I have made here come under my protection as well. You are my first friends, after all!","Alle Freunde, die ich hier gemacht habe, kommen auch unter meinen Schutz. Du bist schließlich meine ersten Freunde!",translate,translated,displayed-string,8d90e7d8cd491c6d8189679376db0c6c9ae32ee7daf281e5f2923b7fda47a130
b33a43fe0992213b6b5aff52,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,8,2,string 2,The Holy Jumonji Sword and I shall keep fighting for the people we treasure!,"Das Heilige Jumonji-Schwert und ich werden weiterhin für die Menschen kämpfen, die wir schätzen!",translate,translated,displayed-string,cf03559fd3e444799a42a7431093443d018af7b90b97abaaf85f8b7abfed920a
42bee847629146d744f5c033,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,8,3,string2 3,k_chr013KYO_05_0080,k_chr013KYO_05_0080,protected,protected,resource-or-id,2c6c4b6c86ced3ab2e5608c4d4db34ea42b7822adcdc62acbfae780d91126e2f
48bc40087b6db906e3800446,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,8,4,string 4,The Holy Jumonji Sword and I shall keep fighting for the people we treasure!,"Das Heilige Jumonji-Schwert und ich werden weiterhin für die Menschen kämpfen, die wir schätzen!",translate,translated,displayed-string,cf03559fd3e444799a42a7431093443d018af7b90b97abaaf85f8b7abfed920a
3f37ec22fb402084911ec5ba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,9,2,string 2,"Rest assured that I will watch your back in any situation, Sir Takumi! I consider you a most excellent combat partner!","Seien Sie versichert, dass ich in jeder Situation auf Ihren Rücken achten werde, Sir Takumi! Ich halte Sie für einen ausgezeichneten Kampfpartner!",translate,translated,displayed-string,1228bb18cc1d34b22dd02effcaa52eb381b0b0dc93cee25e5892107bf9ef1596
b7ce1f34c27cb7d7947aeef6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,9,3,string2 3,k_chr013KYO_05_0090,k_chr013KYO_05_0090,protected,protected,resource-or-id,932b401bc95c6a1c1d86f4a9b91976c149a9cdd8ae0df7657c9fdeab626f0d52
763820e3de7b16682f2fa010,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,9,4,string 4,"Rest assured that I will watch your back in any situation, Sir Takumi! I consider you a most excellent combat partner!","Seien Sie versichert, dass ich in jeder Situation auf Ihren Rücken achten werde, Sir Takumi! Ich halte Sie für einen ausgezeichneten Kampfpartner!",translate,translated,displayed-string,1228bb18cc1d34b22dd02effcaa52eb381b0b0dc93cee25e5892107bf9ef1596
