cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
472b38b1130f4143da8858d6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I wanted to believe we could talk things out.},"{fc(57e4f1)Ich wollte glauben, dass wir reden können.}",translate,translated,displayed-string:fc-repair,72c7054625842b998d10932d1c4565f8e376224bb082e1af4d7a6248de485563
a240119a3fbf1e568f558814,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I wanted to believe we could talk things out.},"{fc(57e4f1)Ich wollte glauben, dass wir reden können.}",translate,translated,displayed-string:fc-repair,72c7054625842b998d10932d1c4565f8e376224bb082e1af4d7a6248de485563
1bb9d3658032782e4924d40e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)But she'll never hear what I have to say. That's part of her strength.},"{fc(57e4f1)Aber sie wird nie hören, was ich zu sagen habe.}",translate,translated,displayed-string:fc-repair,e2bdbfe1d205111d1727d188e05c823fdde054988bc0d477f40659da5aacbde1
83452c12c97a5087fbe8d8c9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)But she'll never hear what I have to say. That's part of her strength.},"{fc(57e4f1)Aber sie wird nie hören, was ich zu sagen habe.}",translate,translated,displayed-string:fc-repair,e2bdbfe1d205111d1727d188e05c823fdde054988bc0d477f40659da5aacbde1
ab7a7abddb7cc752de8fe896,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Which leaves me with no choice.},{fc(57e4f1)Was mir keine Wahl lässt.},translate,translated,displayed-string:fc-repair,b6c7678f6a238d8cf02307c1d993d11df1ce18e1bc8369810fa761aa0102dde3
73f44bc32033cc33ff0bffc5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Which leaves me with no choice.},{fc(57e4f1)Was mir keine Wahl lässt.},translate,translated,displayed-string:fc-repair,b6c7678f6a238d8cf02307c1d993d11df1ce18e1bc8369810fa761aa0102dde3
6e794fb59726041eca1c8985,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,4,2,string 2,V'ehxness...!,V'ehxness...!,translate,translated,displayed-string,18589117472ad5091aee56c6c7646294bd844087954746f9f1620271f72b1d0d
1bd1c437ad77f378048c1583,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fdd88a6f2ea187062b898a32,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,4,4,string 4,V'ehxness...!,V'ehxness...!,translate,translated,displayed-string,18589117472ad5091aee56c6c7646294bd844087954746f9f1620271f72b1d0d
2a5eff6940a3ef9c454d6f33,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Hm...?,Hm...?,translate,translated,displayed-string,5849bcf051c4e87f595b19ae7dbe5b729f0562a1b8c2ed9da752ef117ce5055d
e90ad51b6d80791920d1ac3c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5af9a034d539fcd8d3d29eee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Hm...?,Hm...?,translate,translated,displayed-string,5849bcf051c4e87f595b19ae7dbe5b729f0562a1b8c2ed9da752ef117ce5055d
e27ba9acd1e58ac0953814fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"I can't let you murder everyone! I'm going to kill you, here and now!","Ich kann nicht zulassen, dass du alle umbringst!",translate,translated,displayed-string,b8a07456a6ba25c1a5ff58cf0da08704ceb1cf9529246296e10f933fa89f6faf
994946d12d7b56f720b93ce9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0060,s10_B_KawanaTk_A0_d028_m010_010_0060,protected,protected,resource-or-id,8f415512c978e78afaf74fdb80367e9f177a6c42fb478e650b3ad1aaebddfc90
7becc89fdc9fe2f1d0f19611,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"I can't let you murder everyone! I'm going to kill you, here and now!","Ich kann nicht zulassen, dass du alle umbringst!",translate,translated,displayed-string,b8a07456a6ba25c1a5ff58cf0da08704ceb1cf9529246296e10f933fa89f6faf
abbaa3b1ef8501a462e3c46d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,7,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
38afe2984d649ff2a385b5df,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0070,s10_B_KawanaTk_A0_d028_m010_010_0070,protected,protected,resource-or-id,591e049fee2c75149a4dd2b10ce96c0896c31024baa0828b8403c1b3a135f963
257ec1d0b8e1409e7a6c158f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,7,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
c0bb20850e424a82df1b05cc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)If I use every ounce of strength I have...},"{fc(57e4f1)Wenn ich jede Unze Kraft verwende, die ich habe...}",translate,translated,displayed-string:fc-repair,9a56a5e3a46e84ce88e0e47b44969100847413cd2eab1a2a1887bf50710497fb
e8d70ec6cd27f7af624e39ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)If I use every ounce of strength I have...},"{fc(57e4f1)Wenn ich jede Unze Kraft verwende, die ich habe...}",translate,translated,displayed-string:fc-repair,9a56a5e3a46e84ce88e0e47b44969100847413cd2eab1a2a1887bf50710497fb
fcfa9f16e9ec89ff1310f29b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)And absorb her cryptoglobin...},{fc(57e4f1)Und ihr Kryptolobin absorbieren...},translate,translated,displayed-string:fc-repair,94d5391c9f2e27f503d209b7b8f20b66d584c62f6dce1d3fbedb0291a578a968
6e0afa10e3f627e3ba0aca5e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)And absorb her cryptoglobin...},{fc(57e4f1)Und ihr Kryptolobin absorbieren...},translate,translated,displayed-string:fc-repair,94d5391c9f2e27f503d209b7b8f20b66d584c62f6dce1d3fbedb0291a578a968
be353b86f888a3157baeac6c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,10,2,string 2,Heh...,He...,translate,translated,displayed-string,472e8d78a3be8e8651bb6ac65debc96b4bd26dfbdfe9828cd35a7e2756097ab6
ce9fefb4177e1eed58765f38,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,10,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0100,s10_B_KawanaTk_A0_d028_m010_010_0100,protected,protected,resource-or-id,4939bbd48111818bdbc5b54930850307c68c66fddfcdc6e5beb113381782ec7f
c16c463462ec7199903841b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,10,4,string 4,Heh...,He...,translate,translated,displayed-string,472e8d78a3be8e8651bb6ac65debc96b4bd26dfbdfe9828cd35a7e2756097ab6
8b978de2bc83070c1b34ffe1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,11,2,string 2,What...?,Was denn?,translate,translated,displayed-string,1d17b9ac4ee43ee37cd955f6fce3863c89c29198a6763d51043114d817ec7395
14243e0976c037c1602ebbd6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,11,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0110,s10_B_KawanaTk_A0_d028_m010_010_0110,protected,protected,resource-or-id,272e41b32139b4c0a14b7ac6d940deb9521e1d5014838d66662df39e23f0752d
7ab6e0e28cbf4c9d40593a69,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,11,4,string 4,What...?,Was denn?,translate,translated,displayed-string,1d17b9ac4ee43ee37cd955f6fce3863c89c29198a6763d51043114d817ec7395
97ed3c4e1d408f76b11b63d6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,12,2,string 2,Heheheh.,Hehehehh. Was ist los?,translate,translated,displayed-string,c34d289a1be5646e4110a432f6d3975918c551f3fa3ee777a3973bb2ce7d9275
6aee5b68a19a2a2f5fec2df0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,12,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0120,s10_B_KawanaTk_A0_d028_m010_010_0120,protected,protected,resource-or-id,093381a84270f4e29de8d8e9eaa07d9bcd20f3a13677792b5f2f0fa7b0abc0df
c208a68824892823e3b45baa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,12,4,string 4,Heheheh.,Hehehehh. Was ist los?,translate,translated,displayed-string,c34d289a1be5646e4110a432f6d3975918c551f3fa3ee777a3973bb2ce7d9275
bc5692cf1a1822435d7f50fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,13,2,string 2,Hahahaha!,Hahahahaha! Was ist los?,translate,translated,displayed-string,3a5d97448310574b932f04c0a7eb2cab3149986194378bb6090f59d2e3f2a894
51156e2485d94aa0afc9de4f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,13,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0130,s10_B_KawanaTk_A0_d028_m010_010_0130,protected,protected,resource-or-id,7e53ac8ae2bfadebec2105e839de573c80010e8f90eb964e7d0e9f95f15e5c37
454590a528bd0755ced508b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,13,4,string 4,Hahahaha!,Hahahahaha! Was ist los?,translate,translated,displayed-string,3a5d97448310574b932f04c0a7eb2cab3149986194378bb6090f59d2e3f2a894
eef6c90487005ee09e325eaf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,14,2,string 2,AHAHAHAHAHA!,AHAHAHAHAHAHAHAHAHAHAHAHA!,translate,translated,displayed-string,005d2cc5eff93ef1d27b78aea4924b3794a2c08df464c593213e83938798e19a
a2a632b805242aefce188c51,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,14,3,string2 3,s10_B_KawanaTk_A0_d028_m010_010_0140,s10_B_KawanaTk_A0_d028_m010_010_0140,protected,protected,resource-or-id,e99fa835e7f12808401427aa27b9fc8be9ab6349da6d013923c2e2abcafc22e8
28421a43c9ced5acb3078ad9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,14,4,string 4,AHAHAHAHAHA!,AHAHAHAHAHAHAHAHAHAHAHAHA!,translate,translated,displayed-string,005d2cc5eff93ef1d27b78aea4924b3794a2c08df464c593213e83938798e19a
7d2c270e7d4aab3062958549,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,15,2,string 2,Wh-What's so funny?!,Was ist so lustig?!,translate,translated,displayed-string,f42ae60cdd21caa9fdeca4b2b14ae7e6a0c6bdeca69fc42ffa095cadb2e026e3
