cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
23fb5e8e881bbde1e5dbc5d0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"If you can't beat 'em, join 'em. I'll just have to clown out with them.","Wenn du nicht gegen 'em gewinnen kannst, mach mit' em, dann muss ich einfach mit. Ich muss nur mit ihnen rumhauen.",translate,translated,displayed-string,78e7b57c29c29cd0ba6cd014f9cda89ce9a17926cd43684ec7070103fa95c231
c59593e0c65022705ea2b318,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,s14_B_ComedyRt_Bab_d099_m010_010_0010,s14_B_ComedyRt_Bab_d099_m010_010_0010,protected,protected,resource-or-id,55471d8de109522f615b1d99c263bda9798000546ed6c367185b6bfcd9de1269
2a8571d44ca20e1afc877086,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"If you can't beat 'em, join 'em. I'll just have to clown out with them.","Wenn du nicht gegen 'em gewinnen kannst, mach mit' em, dann muss ich einfach mit. Ich muss nur mit ihnen rumhauen.",translate,translated,displayed-string,78e7b57c29c29cd0ba6cd014f9cda89ce9a17926cd43684ec7070103fa95c231
4d27fa617f25731edff70156,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I'm going to show them clownery like they've never seen before and drown them all out!},"{fc(57e4f1)Ich werde ihnen Clownerie zeigen, wie sie es noch nie gesehen haben, und sie alle ertränken!}",translate,translated,displayed-string:fc-repair,6f2db942e2c51bb229b6726422c9d6744ad570dc84ad7ceb9f580757b222e466
bafe450b2a0001e97d9cde18,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I'm going to show them clownery like they've never seen before and drown them all out!},"{fc(57e4f1)Ich werde ihnen Clownerie zeigen, wie sie es noch nie gesehen haben, und sie alle ertränken!}",translate,translated,displayed-string:fc-repair,6f2db942e2c51bb229b6726422c9d6744ad570dc84ad7ceb9f580757b222e466
07e36270c19793359beadad1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)This can't be just some regular funny man behavior. It needs to completely blow their minds.},"{fc(57e4f1)Das kann nicht nur ein normales, lustiges Verhalten sein, es muss ihnen völlig in den Kopf sprengen.}",translate,translated,displayed-string:fc-repair,c7c9b024e4aa8b1fda69c477706960939052a635a9c76453e38a0b282319b5b9
f1e74fdbfd41c0e0ae5c81f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)This can't be just some regular funny man behavior. It needs to completely blow their minds.},"{fc(57e4f1)Das kann nicht nur ein normales, lustiges Verhalten sein, es muss ihnen völlig in den Kopf sprengen.}",translate,translated,displayed-string:fc-repair,c7c9b024e4aa8b1fda69c477706960939052a635a9c76453e38a0b282319b5b9
ba712491588fcc72cf582a34,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)What will it take? What stupid gag could possibly fit the bill?},{fc(57e4f1)Was für ein blöder Gag könnte in die Rechnung passen?},translate,translated,displayed-string:fc-repair,0f5c949ac18602f3f7f09bd7e2a258e18d830996fb801967db121da61ee40b75
a433ac291b199135fa7bcb00,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)What will it take? What stupid gag could possibly fit the bill?},{fc(57e4f1)Was für ein blöder Gag könnte in die Rechnung passen?},translate,translated,displayed-string:fc-repair,0f5c949ac18602f3f7f09bd7e2a258e18d830996fb801967db121da61ee40b75
e9415121b33e847128d9fd92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bab_d099_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)Think! Use every little bit of knowledge you have, Takumi! There's got to be a way!}","{fc(57e4f1)Benutze jedes kleine bisschen Wissen, das du hast, Takumi! Es muss einen Weg geben!}",translate,translated,displayed-string:fc-repair,fdb881b123ed6b806b3616f0ef3836ba89d16047260d49477e0cfb735983ac24
