cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a3ede108b8472bad0b62a134,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We stood and stared dazedly at Shouma's body as it was consumed by V'ehxness's Undying Flames.},"{fc(57e4f1)Wir standen und starrten betäubt auf Shoumas Körper, da er von V'ehxness's Unsterblichen Flammen verzehrt wurde.}",translate,translated,displayed-string:fc-repair,a9d0728fda357e8b3f4d14394b05dff1da47c51b31349cca1d92b043d2a9adc3
17ac37db1d546cbf1ff684ac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We stood and stared dazedly at Shouma's body as it was consumed by V'ehxness's Undying Flames.},"{fc(57e4f1)Wir standen und starrten betäubt auf Shoumas Körper, da er von V'ehxness's Unsterblichen Flammen verzehrt wurde.}",translate,translated,displayed-string:fc-repair,a9d0728fda357e8b3f4d14394b05dff1da47c51b31349cca1d92b043d2a9adc3
3d48dd9f7b9bd1ff5328c3c9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)There's nothing we can do for him now...},{fc(57e4f1)Wir können nichts mehr für ihn tun.},translate,translated,displayed-string:fc-repair,c1f7b34a8272a0f86565dab581bbd7789c6243a500d5e7c1e61e61ea464638d3
db427f6ea6592a31c18bbb31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)There's nothing we can do for him now...},{fc(57e4f1)Wir können nichts mehr für ihn tun.},translate,translated,displayed-string:fc-repair,c1f7b34a8272a0f86565dab581bbd7789c6243a500d5e7c1e61e61ea464638d3
ec206e5c923c874390493f09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,3,2,string 2,Takumi... Was I...useful...?,"Takumi, war ich... nützlich...?",translate,translated,displayed-string,cabdb0b0c765ff8bb615fb375aa754d644a7763f4cff592c60707c45bb22106f
cc2b32f28ffde81e1ccf1cc6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0bfa43ab6126240dad6af541,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,3,4,string 4,Takumi... Was I...useful...?,"Takumi, war ich... nützlich...?",translate,translated,displayed-string,cabdb0b0c765ff8bb615fb375aa754d644a7763f4cff592c60707c45bb22106f
ff1c2df4d781b049fd72182b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,4,2,string 2,"Shouma, don't talk!","Shouma, rede nicht!",translate,translated,displayed-string,6e6dff52bab863fd6587188939c05e317d15478592f401edbe892779b7b038ce
5fbd742bcc9428b63d9ea385,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f6ad512ea614ffebc8a97383,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,4,4,string 4,"Shouma, don't talk!","Shouma, rede nicht!",translate,translated,displayed-string,6e6dff52bab863fd6587188939c05e317d15478592f401edbe892779b7b038ce
0afeb127dce4ae39010602a3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,5,2,string 2,You said I could walk away. I was happy that you acknowledged a piece of garbage like me.,"Ich war froh, dass du ein Stück Müll wie mich erkannt hast.",translate,translated,displayed-string,c4d0ef10eb6d259658cca476d3f5c42632f289a3c86d5b295d41663c69da6e47
7de949a6349ceb6976b07ae6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a0a7b3cbf1a16612d8a62175,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,5,4,string 4,You said I could walk away. I was happy that you acknowledged a piece of garbage like me.,"Ich war froh, dass du ein Stück Müll wie mich erkannt hast.",translate,translated,displayed-string,c4d0ef10eb6d259658cca476d3f5c42632f289a3c86d5b295d41663c69da6e47
39aea0c4c7d63738edc3581d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,6,2,string 2,That's why I was able to find the courage... And do what I really wanted to do in the end...,"Deshalb konnte ich den Mut finden und tun, was ich am Ende wirklich tun wollte.",translate,translated,displayed-string,f11974c574cb409ea700f8ac00b599122bd6062867e8e585658993a8c51f0ff6
87db3129475885ace5bea1f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
436414fa81f4fc6c8c1ae47f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,6,4,string 4,That's why I was able to find the courage... And do what I really wanted to do in the end...,"Deshalb konnte ich den Mut finden und tun, was ich am Ende wirklich tun wollte.",translate,translated,displayed-string,f11974c574cb409ea700f8ac00b599122bd6062867e8e585658993a8c51f0ff6
5ca616667ee5a977fcd33f6f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,7,2,string 2,Just hold on! I-I'll save you using the Boxes of Blessings!,Ich rette dich mit den Boxen der Segnungen!,translate,translated,displayed-string,04f424878dd632d02cab3ff868b29d4766753a40690301e912b178c73a711174
