cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
cfc1f06ca590656a6d2adcf4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 93,Tag 93,translate,translated,displayed-string,49105f6df2a3e56709dcc605af8047ad14f681131a1861aecbba12f0014286b5
c565f5dcf9dab0b2f49b17b7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dad24db8887652d62fd18a16,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 93,Tag 93,translate,translated,displayed-string,49105f6df2a3e56709dcc605af8047ad14f681131a1861aecbba12f0014286b5
dcb4a85bb65548546b3316ac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)Once again, it felt like it happened out of nowhere. But this time, even more than the others, we really should have been expecting it.}","{fc(57e4f1)Wieder einmal fühlte es sich an, als wäre es aus dem Nichts passiert. Aber dieses Mal, sogar mehr als die anderen, hätten wir es wirklich erwarten sollen.}",translate,translated,displayed-string:fc-repair,47a2e649c8ed4882b46d3025e094daba249ad052198933c29732223548432829
fa71ed0268f8fa319f78d1e2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)Once again, it felt like it happened out of nowhere. But this time, even more than the others, we really should have been expecting it.}","{fc(57e4f1)Wieder einmal fühlte es sich an, als wäre es aus dem Nichts passiert. Aber dieses Mal, sogar mehr als die anderen, hätten wir es wirklich erwarten sollen.}",translate,translated,displayed-string:fc-repair,47a2e649c8ed4882b46d3025e094daba249ad052198933c29732223548432829
6eb71a0f945804d6262d64e5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)After all, our opponent had told us he'd be back. And now that he was, it was time to finish what we'd started last time.}","{fc(57e4f1)Schließlich hatte uns unser Gegner gesagt, dass er zurück sein würde, und jetzt, wo er es war, war es an der Zeit zu beenden, was wir letztes Mal begonnen hatten.}",translate,translated,displayed-string:fc-repair,3cefda614adf0820ec4a82b77595718b203017dcb7a2b74d53e51d7ef6c2d94b
eefd17dfdab0845e69634556,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)After all, our opponent had told us he'd be back. And now that he was, it was time to finish what we'd started last time.}","{fc(57e4f1)Schließlich hatte uns unser Gegner gesagt, dass er zurück sein würde, und jetzt, wo er es war, war es an der Zeit zu beenden, was wir letztes Mal begonnen hatten.}",translate,translated,displayed-string:fc-repair,3cefda614adf0820ec4a82b77595718b203017dcb7a2b74d53e51d7ef6c2d94b
3ec35ba966410076e5c39a7e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)The lights flashed, the sirens blared. The signs that another enemy attack was on the way.}","{fc(57e4f1)Die Lichter blinkten, die Sirenen leuchteten, die Zeichen, dass ein weiterer feindlicher Angriff unterwegs war.}",translate,translated,displayed-string:fc-repair,6dc72644d801025063d13e297291419ea150783ea1286b5e6242d9323094d8a0
a9e629e74f1afc6216d1c3ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)The lights flashed, the sirens blared. The signs that another enemy attack was on the way.}","{fc(57e4f1)Die Lichter blinkten, die Sirenen leuchteten, die Zeichen, dass ein weiterer feindlicher Angriff unterwegs war.}",translate,translated,displayed-string:fc-repair,6dc72644d801025063d13e297291419ea150783ea1286b5e6242d9323094d8a0
7125ca8699dbdea914e43707,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)And leading it was Dahl'xia... The final commander.},"{fc(57e4f1)Und es war Dahl'xia, der letzte Kommandant.}",translate,translated,displayed-string:fc-repair,2bc3403c4e136a29dbfb7f4ab65f04f1c0e8238bf630ea6055c3a195959d298d
