cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4d0403c6652c673bd5d6194c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,1,2,string 2,...People don't become ghosts when they die.,"Die Menschen werden nicht zu Geistern, wenn sie sterben.",translate,translated,displayed-string,4fc6a186907db03fc0ae1b525062fe5592ca889f5ff7c76196c6fd5f4a8bbe2e
3b57e5b6dd8af6008a664a98,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5f93e7f50073d3150895ea18,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,1,4,string 4,...People don't become ghosts when they die.,"Die Menschen werden nicht zu Geistern, wenn sie sterben.",translate,translated,displayed-string,4fc6a186907db03fc0ae1b525062fe5592ca889f5ff7c76196c6fd5f4a8bbe2e
0608c24e2aa1baad4d0a0b26,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,2,2,string 2,They become statistics.,Sie werden zu Statistiken.,translate,translated,displayed-string,2c50534d9b408fdfda4da6a5148e60ca06a0a527f4b82472eedd16bdb74f4d09
0006610edb36f9935cbe8cee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1c954b38e8682ce1ab147fd9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,2,4,string 4,They become statistics.,Sie werden zu Statistiken.,translate,translated,displayed-string,2c50534d9b408fdfda4da6a5148e60ca06a0a527f4b82472eedd16bdb74f4d09
5c0527b7682057d54c41cef2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Huh?,Wie?,translate,translated,displayed-string,55c3e5daec20a64dcc70fbed694d58b7b529e567f03b0c43f0d6ac23630f7c4e
b470d87b466d466129c75477,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ee8a62db46560332c9506a4b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Huh?,Wie?,translate,translated,displayed-string,55c3e5daec20a64dcc70fbed694d58b7b529e567f03b0c43f0d6ac23630f7c4e
c5d032c793d63f8c1e41f808,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"We don't need an exorcism, because there's no way Kurara would come back to haunt us from beyond the grave.","Wir brauchen keinen Exorzismus, weil Kurara auf keinen Fall zurückkommt, um uns von jenseits des Grabes zu verfolgen.",translate,translated,displayed-string,d192cdbce8f745639b6cab59de15d63515a315a8e4440631d4836addd3382d80
03bd5f61647c5350b18a57a5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
22d416d07b9929b1af7a2ceb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"We don't need an exorcism, because there's no way Kurara would come back to haunt us from beyond the grave.","Wir brauchen keinen Exorzismus, weil Kurara auf keinen Fall zurückkommt, um uns von jenseits des Grabes zu verfolgen.",translate,translated,displayed-string,d192cdbce8f745639b6cab59de15d63515a315a8e4440631d4836addd3382d80
a8c04eeb7037d0fe097b7b9a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_aa_d073_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"There has to be an explanation for all of this, something that we're missing...","Es muss eine Erklärung für all das geben, etwas, das wir vermissen...",translate,translated,displayed-string,63ed1602890c29f30b44c3164a98031ac7c930be1f731b64af0b74b88b51d7af
