cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d293ec6b1090c7c671547d8d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,1,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
4baf04bbd81c2d2430086072,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
06b98342a8cdf2c5214beaf0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,1,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
666df576db0883832822c828,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)There's no guarantee that we didn't receive the same ""treatment"" as her.}","{fc(57e4f1)Es gibt keine Garantie, dass wir nicht die gleiche ""Behandlung"" wie sie erhalten haben.}",translate,translated,displayed-string:fc-repair,22aa1031aaab1009ed89c38abc7abb78d571256f9eb4a6346d4d27a564ffe780
1215155edca6e18c3e9287a8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)There's no guarantee that we didn't receive the same ""treatment"" as her.}","{fc(57e4f1)Es gibt keine Garantie, dass wir nicht die gleiche ""Behandlung"" wie sie erhalten haben.}",translate,translated,displayed-string:fc-repair,22aa1031aaab1009ed89c38abc7abb78d571256f9eb4a6346d4d27a564ffe780
abb260e06219915c14b91c79,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Does that mean everything that Gotoh's told me has been the truth?},"{fc(57e4f1)Bedeutet das, dass alles, was Gotoh mir gesagt hat, die Wahrheit war?}",translate,translated,displayed-string:fc-repair,866fe1d2a5f34ee566aa1e9040d9a806b8c3242c17276365dac6d8d1c926d0a5
81b970d7d7aa93ef03cc16d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Does that mean everything that Gotoh's told me has been the truth?},"{fc(57e4f1)Bedeutet das, dass alles, was Gotoh mir gesagt hat, die Wahrheit war?}",translate,translated,displayed-string:fc-repair,866fe1d2a5f34ee566aa1e9040d9a806b8c3242c17276365dac6d8d1c926d0a5
e3f5acf8ab1bf49613ef7bcb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,4,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
5bc576855ca62f16ca7c7a30,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
76c4a798050ede2c492f231a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_00_d034_m040_030.mbe/000_Sheet1.csv,4,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
