cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d4981c9a544dd0364b39764a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)Hiruko and I examined the bodies of the first five.},{fc(57e4f1)Hiruko und ich untersuchten die Leichen der ersten fünf.},translate,translated,displayed-string:fc-repair,ff535d089c0490223b14d78c78106426a58fe0a2c131b4ff032e18e3c9518f6c
cd3df34efca900b69402c825,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)Hiruko and I examined the bodies of the first five.},{fc(57e4f1)Hiruko und ich untersuchten die Leichen der ersten fünf.},translate,translated,displayed-string:fc-repair,ff535d089c0490223b14d78c78106426a58fe0a2c131b4ff032e18e3c9518f6c
46b680a2bb01d0df3503a176,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)They'd bled out, having lost all of their cryptoglobin.}","{fc(57e4f1)Sie verbluteten, nachdem sie ihr Kryptolobin verloren hatten.}",translate,translated,displayed-string:fc-repair,80fea538889bee61d0d17906a99be196ceb83ccc88c897ff69eb2e6c36515e07
f70d22409fce3c061a1145a0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)They'd bled out, having lost all of their cryptoglobin.}","{fc(57e4f1)Sie verbluteten, nachdem sie ihr Kryptolobin verloren hatten.}",translate,translated,displayed-string:fc-repair,80fea538889bee61d0d17906a99be196ceb83ccc88c897ff69eb2e6c36515e07
fb265d748a47f7a70416195f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)We couldn't revive them. The strength left our bodies, and we collapsed to the ground.}","{fc(57e4f1)Wir konnten sie nicht wiederbeleben, die Kraft verließ unsere Körper, und wir brachen zu Boden.}",translate,translated,displayed-string:fc-repair,d3cea53e9589e50c96a9d195b10ae6fa91731aca67560f2cc0a6a9715578b904
e910d753039891a8a99cdef8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)We couldn't revive them. The strength left our bodies, and we collapsed to the ground.}","{fc(57e4f1)Wir konnten sie nicht wiederbeleben, die Kraft verließ unsere Körper, und wir brachen zu Boden.}",translate,translated,displayed-string:fc-repair,d3cea53e9589e50c96a9d195b10ae6fa91731aca67560f2cc0a6a9715578b904
6cea3d7a875159d1867939b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)It wasn't long after that the rest of the unit came to. They were all horrified to see the carnage before them.},"{fc(57e4f1)Es dauerte nicht lange, bis der Rest der Einheit kam. Sie waren alle entsetzt, das Gemetzel vor ihnen zu sehen.}",translate,translated,displayed-string:fc-repair,aa4e4f6731e0d7d0e3794b5e58852a65017d5953985cfed078ad5eed2dd41a04
55f3af9fc5298cdd17a328bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)It wasn't long after that the rest of the unit came to. They were all horrified to see the carnage before them.},"{fc(57e4f1)Es dauerte nicht lange, bis der Rest der Einheit kam. Sie waren alle entsetzt, das Gemetzel vor ihnen zu sehen.}",translate,translated,displayed-string:fc-repair,aa4e4f6731e0d7d0e3794b5e58852a65017d5953985cfed078ad5eed2dd41a04
63d5f6378964f11ac0df5411,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)Kako was particularly distraught. She clung to Ima's corpse and held it tight.},{fc(57e4f1)Sie klammerte sich an Imas Leiche und hielt sie fest.},translate,translated,displayed-string:fc-repair,6b88af2ab3151eb48b04ed163bf9dea5e3924b41f8d186d0a231e99654159cb0
43c0330513886777390df738,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)Kako was particularly distraught. She clung to Ima's corpse and held it tight.},{fc(57e4f1)Sie klammerte sich an Imas Leiche und hielt sie fest.},translate,translated,displayed-string:fc-repair,6b88af2ab3151eb48b04ed163bf9dea5e3924b41f8d186d0a231e99654159cb0
d963df044e465f6df2e4c505,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)She wailed like an animal, shaking her head and heaving heavy sobs.}","{fc(57e4f1)Sie jammerte wie ein Tier, schüttelte den Kopf und hebte schwere Schluchzen.}",translate,translated,displayed-string:fc-repair,6f50237d07e73be08f0d3e875d418f61ddea8d4d787b4315972003de00fcb7e7
1483dff6f77cc3b6f17a0d4b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)She wailed like an animal, shaking her head and heaving heavy sobs.}","{fc(57e4f1)Sie jammerte wie ein Tier, schüttelte den Kopf und hebte schwere Schluchzen.}",translate,translated,displayed-string:fc-repair,6f50237d07e73be08f0d3e875d418f61ddea8d4d787b4315972003de00fcb7e7
5f7c3206a5ada1590eff195a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)Even now, the shock still colored their faces.}",{fc(57e4f1)Auch jetzt noch hat der Schock ihre Gesichter gefärbt.},translate,translated,displayed-string:fc-repair,0ffacb4f7ce306d0abbfe8cfcb75ec443d9476c7fd193cde153f0f1a1e30439f
05dc9a3390859005bb8b53b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)Even now, the shock still colored their faces.}",{fc(57e4f1)Auch jetzt noch hat der Schock ihre Gesichter gefärbt.},translate,translated,displayed-string:fc-repair,0ffacb4f7ce306d0abbfe8cfcb75ec443d9476c7fd193cde153f0f1a1e30439f
e24bb66befe2665f9020ca3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)Hoping to calm everyone down a little, Hiruko and I brought them to the Gym.}","{fc(57e4f1)In der Hoffnung, alle ein wenig zu beruhigen, brachten Hiruko und ich sie ins Fitnessstudio.}",translate,translated,displayed-string:fc-repair,1b5e2a43b42545bafde6220eee6a0037cef45101306c17e7fb1ef6202a5b1297
5e5086dc2c9a5af51b602a9d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)Hoping to calm everyone down a little, Hiruko and I brought them to the Gym.}","{fc(57e4f1)In der Hoffnung, alle ein wenig zu beruhigen, brachten Hiruko und ich sie ins Fitnessstudio.}",translate,translated,displayed-string:fc-repair,1b5e2a43b42545bafde6220eee6a0037cef45101306c17e7fb1ef6202a5b1297
16fe62712df97a6023e497b7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,9,2,string 2,I see. Sleeping pills in the water cooler...,Schlaftabletten im Wasserkühler...,translate,translated,displayed-string,ade02a62d919360464927b682076120c7d252037cbc577703fba75f59abc83ad
9755e35912d4e0de7cabb462,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f55c6715dab61f8e93d900a1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m070_010.mbe/000_Sheet1.csv,9,4,string 4,I see. Sleeping pills in the water cooler...,Schlaftabletten im Wasserkühler...,translate,translated,displayed-string,ade02a62d919360464927b682076120c7d252037cbc577703fba75f59abc83ad
