cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e5f1b5012bd4ae774381db99,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,1,2,string 2,"Do you ever watch pro wrestling, Takumi? We should go see a match with the others one of these days.","Sehen Sie sich mal Pro-Wrestling an, Takumi?",translate,translated,displayed-string,4f91261681454736f0f1374ad3e0e6fc4722f559d48a239d5d8bf70bbefee7f1
1d1551badda2210b301f5ef0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,1,3,string2 3,k_chr015MOKO_03_0010,k_chr015MOKO_03_0010,protected,protected,resource-or-id,fe488ef2b5b68d9c36b26e8d381f89bbe386fe5c3b9e3f2e5cf62af4c10343c1
b9dfb1a3edff34722bc2ba43,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,1,4,string 4,"Do you ever watch pro wrestling, Takumi? We should go see a match with the others one of these days.","Sehen Sie sich mal Pro-Wrestling an, Takumi?",translate,translated,displayed-string,4f91261681454736f0f1374ad3e0e6fc4722f559d48a239d5d8bf70bbefee7f1
7f6f4640b5e8cde1474d90a0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,2,2,string 2,Wrestlers are never shy about letting their rivals know what they're feeling. All while dishing out and receiving crazy moves with the utmost respect!,"Wrestler sind nie schüchtern darüber, ihre Rivalen wissen zu lassen, was sie fühlen. Alle während des Aufteilens und Empfangens verrückte Züge mit dem größten Respekt!",translate,translated,displayed-string,e083c9fce2da154c56c11e9ede2c089cbc77159925d661a425095ddf7cd4a41b
a381925174f6327d9db52a32,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,2,3,string2 3,k_chr015MOKO_03_0020,k_chr015MOKO_03_0020,protected,protected,resource-or-id,a67dbcb2c55eb92fcef95c509e3ebba8b2c90e1e397c01fbe6ecd4e298594d22
204d3b64b4bcf3b7660d45b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,2,4,string 4,Wrestlers are never shy about letting their rivals know what they're feeling. All while dishing out and receiving crazy moves with the utmost respect!,"Wrestler sind nie schüchtern darüber, ihre Rivalen wissen zu lassen, was sie fühlen. Alle während des Aufteilens und Empfangens verrückte Züge mit dem größten Respekt!",translate,translated,displayed-string,e083c9fce2da154c56c11e9ede2c089cbc77159925d661a425095ddf7cd4a41b
a73f00074f3798c2139d6e7e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,3,2,string 2,A true pro always gets up no matter how many times an intense technique knocks 'em down!,"Ein echter Profi steht immer auf, egal wie oft eine intensive Technik sie niederschlägt!",translate,translated,displayed-string,ca571c3c41a2645b123b25851505c70ebc2e5ffff8372d902f13f633849dad25
87e81e74d342cbfadcfa27d9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,3,3,string2 3,k_chr015MOKO_03_0030,k_chr015MOKO_03_0030,protected,protected,resource-or-id,4da052bb4fb05c3f4b2b41b8a9e4d8c0b1fef8aed0b85de5f42f96fd458a7bf1
b472720728a2e6e1d834ac3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,3,4,string 4,A true pro always gets up no matter how many times an intense technique knocks 'em down!,"Ein echter Profi steht immer auf, egal wie oft eine intensive Technik sie niederschlägt!",translate,translated,displayed-string,ca571c3c41a2645b123b25851505c70ebc2e5ffff8372d902f13f633849dad25
4c55ad1dd091652803dd8bd2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr015moko_03.mbe/000_Sheet1.csv,4,2,string 2,That's the way I wrestle. It's not about winning... It's about getting up again even when you lose!,"Es geht nicht darum zu gewinnen... es geht darum, wieder aufzustehen, auch wenn du verlierst!",translate,translated,displayed-string,d5f507731b8b64a6788f905cb7616c1ad6d8deabea31f0437dff91c0a5c6d50a
