cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e1f105977192d7b08745c33c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,1,2,string 2,I'll revive Retsnom just the way it is.,"Ich werde Retsnom wiederbeleben, so wie es ist.",translate,translated,displayed-string,eff065741980abcac2ec3e3241661be062ce0e9b259d46a7e9cf3a5d04443bfa
9867fe8bc4f202890a38b1e3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1fe01c548c87aa70b69854f8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,1,4,string 4,I'll revive Retsnom just the way it is.,"Ich werde Retsnom wiederbeleben, so wie es ist.",translate,translated,displayed-string,eff065741980abcac2ec3e3241661be062ce0e9b259d46a7e9cf3a5d04443bfa
2989ace31a6ba4353832534e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Oho, are you sure about this?","Oho, bist du dir da sicher?",translate,translated,displayed-string,ec2276d9313073046961a5569ee6d2d72db6dbff25c976830083a62288b10d78
4e3238e826f6395080f91212,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
616520cddcedf23814151faf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Oho, are you sure about this?","Oho, bist du dir da sicher?",translate,translated,displayed-string,ec2276d9313073046961a5569ee6d2d72db6dbff25c976830083a62288b10d78
a3238c2647bb58718d5fb173,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"The legends talk about Retsnom creating the {fc(ff635b)Ruby Tear}, not its human host. And we have other legends about the creature to tell us what to expect.","Die Legenden sprechen davon, dass Retsnom das {fc(ff635b)Ruby Tear} schafft, nicht seinen menschlichen Wirt. Und wir haben andere Legenden über die Kreatur, die uns sagen, was zu erwarten ist.",translate,translated,displayed-string,b89d42055f1c07ffd86962a15c658a564648e4d48a3c537f5bec77894519bdc5
ad184f930a2c060835c475e9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4d7115a1f7b871c02aac5953,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"The legends talk about Retsnom creating the {fc(ff635b)Ruby Tear}, not its human host. And we have other legends about the creature to tell us what to expect.","Die Legenden sprechen davon, dass Retsnom das {fc(ff635b)Ruby Tear} schafft, nicht seinen menschlichen Wirt. Und wir haben andere Legenden über die Kreatur, die uns sagen, was zu erwarten ist.",translate,translated,displayed-string,b89d42055f1c07ffd86962a15c658a564648e4d48a3c537f5bec77894519bdc5
49454301d884eaebe60634ac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"With this method, we have a much better idea of the risks and rewards involved.",Mit dieser Methode haben wir eine viel bessere Vorstellung von den damit verbundenen Risiken und Belohnungen.,translate,translated,displayed-string,ff7860088046596d440f3f7f2e14bb98c8b5e52fd13565c730224b8a4562b634
e5fafd4d822e0e87b22df29e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2848441aa0213e81a9ec8aff,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"With this method, we have a much better idea of the risks and rewards involved.",Mit dieser Methode haben wir eine viel bessere Vorstellung von den damit verbundenen Risiken und Belohnungen.,translate,translated,displayed-string,ff7860088046596d440f3f7f2e14bb98c8b5e52fd13565c730224b8a4562b634
9d5855442ec4c9c1d680853b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Bringing it back inside someone would be too risky... There's no telling what might happen.,"Es wieder ins Innere zu bringen, wäre zu riskant... es gibt keine Ahnung, was passieren könnte.",translate,translated,displayed-string,0ec84de4ee578eb8e4c41b60486486fe97d20c418b2253bd8f6ad731c20e0dc6
2fd9be8ba6990e34e0aaa6f1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
127f06294e8270856f443d0d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Bringing it back inside someone would be too risky... There's no telling what might happen.,"Es wieder ins Innere zu bringen, wäre zu riskant... es gibt keine Ahnung, was passieren könnte.",translate,translated,displayed-string,0ec84de4ee578eb8e4c41b60486486fe97d20c418b2253bd8f6ad731c20e0dc6
6448fba75645ea3a476a1457,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,6,2,string 2,Fine by me. We can keep it like a pet!,Wir können es wie ein Haustier behalten!,translate,translated,displayed-string,1d01b6cdab3719135e6658cb1b31b9f387222f6e9201b6d4b58ede8f6662ea94
d73ec309bc899503857f5668,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
