cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
36f0c424cc9c86ea0064c4de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,1,2,string 2,I'll revive Retsnom just the way it is.,"Ich werde Retsnom wiederbeleben, so wie es ist.",translate,translated,displayed-string,eff065741980abcac2ec3e3241661be062ce0e9b259d46a7e9cf3a5d04443bfa
0aa27b5a11ef52c1979da15a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f9982b8db01bf1e02aea48a6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,1,4,string 4,I'll revive Retsnom just the way it is.,"Ich werde Retsnom wiederbeleben, so wie es ist.",translate,translated,displayed-string,eff065741980abcac2ec3e3241661be062ce0e9b259d46a7e9cf3a5d04443bfa
59f786458d5c4567d9952c72,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Oho, are you sure about this?","Oho, bist du dir da sicher?",translate,translated,displayed-string,ec2276d9313073046961a5569ee6d2d72db6dbff25c976830083a62288b10d78
835c12e55561757710f4d992,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ffb01d4c606e8d317b7fc939,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Oho, are you sure about this?","Oho, bist du dir da sicher?",translate,translated,displayed-string,ec2276d9313073046961a5569ee6d2d72db6dbff25c976830083a62288b10d78
631a7313778c7170a93d834d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"The legends talk about Retsnom creating the {fc(ff635b)Ruby Tear}, not its human host. And we have other legends about the creature to tell us what to expect.","Die Legenden sprechen davon, dass Retsnom das {fc(ff635b)Ruby Tear} schafft, nicht seinen menschlichen Wirt. Und wir haben andere Legenden über die Kreatur, die uns sagen, was zu erwarten ist.",translate,translated,displayed-string,b89d42055f1c07ffd86962a15c658a564648e4d48a3c537f5bec77894519bdc5
a6cec3ed0153011a1eebdf64,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d092745ab613307b5f2ee6c1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"The legends talk about Retsnom creating the {fc(ff635b)Ruby Tear}, not its human host. And we have other legends about the creature to tell us what to expect.","Die Legenden sprechen davon, dass Retsnom das {fc(ff635b)Ruby Tear} schafft, nicht seinen menschlichen Wirt. Und wir haben andere Legenden über die Kreatur, die uns sagen, was zu erwarten ist.",translate,translated,displayed-string,b89d42055f1c07ffd86962a15c658a564648e4d48a3c537f5bec77894519bdc5
4b7ea676ac56d614cf4c5e97,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"With this method, we have a much better idea of the risks and rewards involved.",Mit dieser Methode haben wir eine viel bessere Vorstellung von den damit verbundenen Risiken und Belohnungen.,translate,translated,displayed-string,ff7860088046596d440f3f7f2e14bb98c8b5e52fd13565c730224b8a4562b634
db0f5daf6a5925b57c151260,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f67eb8321157f2ab01894cbf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"With this method, we have a much better idea of the risks and rewards involved.",Mit dieser Methode haben wir eine viel bessere Vorstellung von den damit verbundenen Risiken und Belohnungen.,translate,translated,displayed-string,ff7860088046596d440f3f7f2e14bb98c8b5e52fd13565c730224b8a4562b634
2cd3b413306cc679dbeec4f6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_b0_d041_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Bringing it back inside someone would be too risky... There's no telling what might happen.,"Es wieder ins Innere zu bringen, wäre zu riskant... es gibt keine Ahnung, was passieren könnte.",translate,translated,displayed-string,0ec84de4ee578eb8e4c41b60486486fe97d20c418b2253bd8f6ad731c20e0dc6
