cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
458b406dc77c2932aad932a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,1,2,string 2,Day 78,Tag 78,translate,translated,displayed-string,2ba0945c8406a64496866d8ee358c2d66c33efdea23feb4ef03d3857d1d9b7db
72d1cc0830ba1a2d9e9fcae4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
99196bd6c086fe05150888f9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,1,4,string 4,Day 78,Tag 78,translate,translated,displayed-string,2ba0945c8406a64496866d8ee358c2d66c33efdea23feb4ef03d3857d1d9b7db
70e0cc7e7f7130ecaa508e0d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I found myself unable to sleep even as the clock ticked over from midnight into the new day.},"{fc(57e4f1)Ich konnte nicht schlafen, auch wenn die Uhr von Mitternacht bis in den neuen Tag tickte.}",translate,translated,displayed-string:fc-repair,cddc4766e94dc6380ffd530dd1813a910512e2452c2806ce5c9d0e73ea2822ba
0fc1ce4ce91db085dc38c325,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I found myself unable to sleep even as the clock ticked over from midnight into the new day.},"{fc(57e4f1)Ich konnte nicht schlafen, auch wenn die Uhr von Mitternacht bis in den neuen Tag tickte.}",translate,translated,displayed-string:fc-repair,cddc4766e94dc6380ffd530dd1813a910512e2452c2806ce5c9d0e73ea2822ba
b7f655deb9c152c738f15a91,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,3,2,string 2,Is this really going to work...?,Wird das wirklich funktionieren...?,translate,translated,displayed-string,2f25c173aac18155e3b353b3b972ec3ee37c9dfb2d89f7870d76a7457151a081
b09449263620b19d7a4773e7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
eb1ec0f5bc93da60691d0422,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,3,4,string 4,Is this really going to work...?,Wird das wirklich funktionieren...?,translate,translated,displayed-string,2f25c173aac18155e3b353b3b972ec3ee37c9dfb2d89f7870d76a7457151a081
4c7a072be2e6156f5ddfad9a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Once morning came, we would be seeking out the powerful warrior Dahl'xia for battle.}","{fc(57e4f1)Als der Morgen kam, suchten wir den mächtigen Krieger Dahl'xia zum Kampf.}",translate,translated,displayed-string:fc-repair,c55caf5fd82e52056a91ba1bc98c2e2aa9926c89b23a97014ba8c4bc580c9fde
fa2573cca4e2cbdf85099edb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Once morning came, we would be seeking out the powerful warrior Dahl'xia for battle.}","{fc(57e4f1)Als der Morgen kam, suchten wir den mächtigen Krieger Dahl'xia zum Kampf.}",translate,translated,displayed-string:fc-repair,c55caf5fd82e52056a91ba1bc98c2e2aa9926c89b23a97014ba8c4bc580c9fde
404a649fa1a7ecdc8934caaa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)Our goal was to earn enough points to pull Tsubasa out of last place. It was the only option we had.},"{fc(57e4f1)Unser Ziel war es, genug Punkte zu sammeln, um Tsubasa aus dem letzten Platz zu holen.}",translate,translated,displayed-string:fc-repair,e81383500852145ea2dfea1bfcf49bcfc60380a45b17a96086e9e025d1d62659
bf201b10010c51bd7d8c3e62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)Our goal was to earn enough points to pull Tsubasa out of last place. It was the only option we had.},"{fc(57e4f1)Unser Ziel war es, genug Punkte zu sammeln, um Tsubasa aus dem letzten Platz zu holen.}",translate,translated,displayed-string:fc-repair,e81383500852145ea2dfea1bfcf49bcfc60380a45b17a96086e9e025d1d62659
56d08277eb9aa4c6bf5ddd03,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaab_d077_m030_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)Still, we all knew how terrifyingly strong Dahl'xia was from our last battle. None of our attacks could even scratch him back then.}","{fc(57e4f1)Trotzdem wussten wir alle, wie erschreckend stark Dahl'xia aus unserer letzten Schlacht war. Keiner unserer Angriffe konnte ihn damals überhaupt kratzen.}",translate,translated,displayed-string:fc-repair,8285963accb5f20b2910b072c7ee6ae5dc131830517660267ef2097ea72cf555
