cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3be64cdfcc4d797a4c8e0075,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,1,1,string 1,Obtain Attack Potion,Angriffstrank erhalten,translate,translated,displayed-string,9d3aa42b9205d762c13db70e9f5ccf794fcab14021088c706e849ba1ca5848b8
315a23d048f4017639846755,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,2,1,string 1,Attack Potion Lv.1 → Lv.2,Angriffstrank Lv.1 → Lv.2,translate,translated,displayed-string,6867cb5ae4115043a042b225be63789bf38cabdc8d9cf351e8a8f1b319ab7896
7e2e28dfb57a2270606edf62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,3,1,string 1,Attack Potion Lv.2 → Lv.3,Angriffstrank Lv.2 → Lv.3,translate,translated,displayed-string,62f758b20256e9e6ce0b2c67cfe4ddf05d2f8ca5239bdfb6c654163d77a4daea
58bb6c77770ea92836523bfd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,4,1,string 1,Attack Potion Lv.3 → Lv.4,Angriff Trank Lv.3 → Lv.4,translate,translated,displayed-string,ee39ff2f650cee919244250a4f8a3077d1ed3db49ce396c414e8552ae9a8fc96
3f7e4cd003f5de834e5ad79a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,5,1,string 1,Attack Potion Lv.4 → Lv.5,Angriff Trank Lv.4 → Lv.5,translate,translated,displayed-string,61b18bd6fa22f9b78027a406c35749a552a7501d479ffbb16aae3dfc45a846f6
dc5ad02df54fa6372c9a6aa1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,6,1,string 1,Attack Potion Lv.5 → Lv.6,Angriffstrank Lv.5 → Lv.6,translate,translated,displayed-string,016bed0c1b8d0f4fdf9805699b106beb5ea84d658e41310115f374bb624d6f9c
550f83529180c5652ce733f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,7,1,string 1,Attack Potion Lv.6 → Lv.7,Angriffstrank Lv.6 → Lv.7,translate,translated,displayed-string,65c2ae7afa3fc6e944979d199115fcdc2da9a593cf628354a18e53badf237546
ecc1b1a1ac84e5d2a961685a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,8,1,string 1,Attack Potion Lv.7 → Lv.8,Angriff Trank Lv.7 → Lv.8,translate,translated,displayed-string,4a11921c74459b9426faeac3eeacdc78e3fecfc21d157488267517197547ab1e
1be7f190f56146b321500fd2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,9,1,string 1,Attack Potion Lv.8 → Lv.9,Angriff Trank Lv.8 → Lv.9,translate,translated,displayed-string,156ec626803d3fc48c7cfd1adcb8fe912d3b95d3981759b8d0a5731b44180b33
ba5b7c6da1f25a6c08f92edc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,10,1,string 1,Attack Potion Lv.9 → MAX,Angriffstrank Lv.9 → MAX,translate,translated,displayed-string,88dd5dd14f7b1cbdc7ed2bd5b6b6779f3d85a306bef493c6a41a47dec77c3a07
f62b29c4f370594e313674fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,11,1,string 1,Obtain Agility Potion,Erhalten Agility Trank,translate,translated,displayed-string,5f4f6cf560ba605de4c94928767ade9a73124a4d5d6930619b33cd87485f7ee6
e91ec333de5bf0d1c3c5dc30,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,12,1,string 1,Agility Potion Lv.1 → Lv.2,Agility Potion Lv.1 → Lv.2,translate,translated,displayed-string,0944e7e71c0282ffeefbccbb015edf2a82cf5230baf71f27614e6de1e0cfa81b
920aa17bbbb09ec86b2371a5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,13,1,string 1,Agility Potion Lv.2 → Lv.3,Agility Potion Lv.2 → Lv.3,translate,translated,displayed-string,192f66fb0e2233ea14e1d1315875b30972dd0071ff25a5aa557b41cd668f28eb
513143a7255139def08c5212,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,14,1,string 1,Agility Potion Lv.3 → Lv.4,Agility Potion Lv.3 → Lv.4,translate,translated,displayed-string,e635795fab278ba8e72f3154ddcae44280c9ba405ab20aed26d3a38d56a5a1d7
bc8cb790c91724ac1523e496,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,15,1,string 1,Agility Potion Lv.4 → Lv.5,Agility Potion Lv.4 → Lv.5,translate,translated,displayed-string,77f8d3e13373254e2499eabd28687881f6824d9ba434ca65684b24385102dbde
064fc164636bd3b96c4968fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,16,1,string 1,Agility Potion Lv.5 → Lv.6,Agility Potion Lv.5 → Lv.6,translate,translated,displayed-string,8ed5bcb4800437a167c63e7ac2bba93ba683b823cdbce3ae1ccc94a146bd2f58
4d7cf01700800a18367d32cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,17,1,string 1,Agility Potion Lv.6 → Lv.7,Agility Potion Lv.6 → Lv.7,translate,translated,displayed-string,d688fbab6eef57c9d355eefd094ac057430be976076d817f98f2bd97231066ec
4c2d2c605f1ba541fbec34d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,18,1,string 1,Agility Potion Lv.7 → Lv.8,Agility Potion Lv.7 → Lv.8,translate,translated,displayed-string,b5e1925988e81ca3d8d7bcdf559251d72123708c90975f38bf33de89dbf79502
a66f957a4335eac2722f9e09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,19,1,string 1,Agility Potion Lv.8 → Lv.9,Agility Potion Lv.8 → Lv.9,translate,translated,displayed-string,83fc837798c8eb39ad7b1842556075df27a48b94b907486afcd8bdc1c67db529
994b79a3654430ef3df39717,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,20,1,string 1,Agility Potion Lv.9 → MAX,Agility Potion Lv.9 → MAX,translate,translated,displayed-string,fb409e4d351718bb9fe1ca0af4c88b963f9c2d115a21c926763123cfe351837d
fddb0ca7d05a49ee12d46500,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,21,1,string 1,Obtain Defense Potion,Verteidigungstrank erlangen,translate,translated,displayed-string,83d26e511131f7ca77e4ba0650e94337be1be88d1909d30866348dc1efe767d0
938dc55a1ce20bc881b16785,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,22,1,string 1,Defense Potion Lv.1 → Lv.2,Verteidigung Trank Lv.1 → Lv.2,translate,translated,displayed-string,ef50d536b0038f7b5558fb0313dcd3717644fc9df902ec81a81c75896478c56f
3dbe802b465ede33273c3e87,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,23,1,string 1,Defense Potion Lv.2 → Lv.3,Verteidigung Trank Lv.2 → Lv.3,translate,translated,displayed-string,a2d25109695a5727da62896a6bc4c121a3236ed7eb9f4e4f7f405992315a0bc8
4ebf319fd4fd09839de410dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,24,1,string 1,Defense Potion Lv.3 → Lv.4,Verteidigung Trank Lv.3 → Lv.4,translate,translated,displayed-string,d075760d2227ec178a7dfdf7491cd5aea413127040bec9d8761dd5a77f072b1f
93a0e857f8c6c2dab8d0cf96,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,25,1,string 1,Defense Potion Lv.4 → Lv.5,Verteidigung Trank Lv.4 → Lv.5,translate,translated,displayed-string,7b848f29fef7ed6f3a40abbffd2c7e3e5a88bba0154066cb90429c4c94b2295e
b7d0a5667b12dae7cad73b3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,26,1,string 1,Defense Potion Lv.5 → Lv.6,Verteidigung Trank Lv.5 → Lv.6,translate,translated,displayed-string,6d4b8b2063283ff0a699a89a7dababf59e3cf9f878052788c18ab498957a24a4
4c27c82809c44b6907843914,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,27,1,string 1,Defense Potion Lv.6 → Lv.7,Verteidigung Trank Lv.6 → Lv.7,translate,translated,displayed-string,11ae805afbede723c4177496e42b132e4c28fe6453ea3322cbda1f1aa8a4ae8b
55e62e975f6a925b44c16c9a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,28,1,string 1,Defense Potion Lv.7 → Lv.8,Verteidigung Trank Lv.7 → Lv.8,translate,translated,displayed-string,cd1e704c1a47d9ff2c274f556091bfafb3226f08a2fe8d96ce84486a73bdae9f
3edf5b65c3b8d1b310be1ffc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,29,1,string 1,Defense Potion Lv.8 → Lv.9,Verteidigung Trank Lv.8 → Lv.9,translate,translated,displayed-string,fbf353df8e700b7c0456bfaa7d851d35477ab9fc1fa6da243edf938d14557d23
a8f9ac0b3db5422124bd1c8f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,30,1,string 1,Defense Potion Lv.9 → MAX,Verteidigung Trank Lv.9 → MAX,translate,translated,displayed-string,86e4beae41b7c4a459af1f3d7558594d0890b3e1e17fc16a5016003b602de4e9
b4c44af63126f021180587cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,31,1,string 1,Obtain Desperation Potion,Erhalten Sie Verzweifelungstrunk,translate,translated,displayed-string,ceaa9bef6c74bb15acda071a23227e980e8a49159bcf340f9cddc58fec6ec536
2b72fc06aae541b2e548658f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,32,1,string 1,Desperation Potion Lv.1 → Lv.2,Verzweiflung Trank Lv.1 → Lv.2,translate,translated,displayed-string,65fc9e2a71fb34efff20e897f526d43af1b15ee9ef3bd23711fdcd8856aaad53
fe0bb1df1748fdac15b78a57,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,33,1,string 1,Desperation Potion Lv.2 → Lv.3,Verzweiflung Trank Lv.2 → Lv.3,translate,translated,displayed-string,f586d8c5be3fc86584bf0adf3e88d0940c7e5fff3d448476e6abd7d1600d1243
5235dcdaac54057b061fd0af,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,34,1,string 1,Desperation Potion Lv.3 → Lv.4,Verzweiflung Trank Lv.3 → Lv.4,translate,translated,displayed-string,e1fc354c5328635fb8c11225b9006c0e1f0711c8cef2de8b809dc9484d703779
e65cd92695c65e28c712fdca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,35,1,string 1,Desperation Potion Lv.4 → Lv.5,Verzweiflung Trank Lv.4 → Lv.5,translate,translated,displayed-string,a197b9bdb23c61a7b664a02d14672b2bb24fc713e5daecdbeb349ae937e36e25
f3356404144db28a3bd885ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,36,1,string 1,Desperation Potion Lv.5 → Lv.6,Verzweiflung Trank Lv.5 → Lv.6,translate,translated,displayed-string,d5f5364f55071cd14cb7d7080a7342fd9419114831bde365a8f16cf935fdb0d5
b0866becb6b40eeffcfcd222,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,37,1,string 1,Desperation Potion Lv.6 → Lv.7,Verzweiflung Trank Lv.6 → Lv.7,translate,translated,displayed-string,6cdd4bc99fb8b03cc3e7d3da42e88e01b33fe84f4feb92989054617f7cd6d823
006902476760ab707d60c8d9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,38,1,string 1,Desperation Potion Lv.7 → Lv.8,Verzweiflung Trank Lv.7 → Lv.8,translate,translated,displayed-string,1f06eea3657b5153098ce1da8d6af0bfe7944503aed7b352c8f3417ec27468d2
7e28e445e4f0f858660eebd2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,39,1,string 1,Desperation Potion Lv.8 → Lv.9,Verzweiflung Trank Lv.8 → Lv.9,translate,translated,displayed-string,0f49a1d321da6f52f65e15ea19a7fa15ef892ae161d68e16ca0facdf9a0e679d
8c369aa635df27a0a6ffa179,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,40,1,string 1,Desperation Potion Lv.9 → MAX,Verzweiflung Trank Lv.9 → MAX,translate,translated,displayed-string,20cca9491e1ff0650eaca1ad2601826737ee7045dc68ef5872d28138f92527b6
fe9f87e5fe3bb5e448fafceb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,41,1,string 1,Obtain Power Panacea,Macht-Panacea erhalten,translate,translated,displayed-string,73b3068f5d7239ad3f786f854b4f364ef4db0c96bed97c45c3b8b57987078c40
f6cf9211c120f3ef29e5c766,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,42,1,string 1,Power Panacea Lv.1 → Lv.2,Leistung Panacea Lv.1 → Lv.2,translate,translated,displayed-string,f6b2af354a845946b522b58ec1c02ed9fa9977178290725f370951b14b557470
c23d38c6e85137e040d473c4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/shop_drug_upgrade_name.mbe/000_shop_drug_upgrade_name.csv,43,1,string 1,Power Panacea Lv.2 → MAX,Leistung Panacea Lv.2 → MAX,translate,translated,displayed-string,0443adb8b29c9c68cc59c477a33dce81a5ea094d478c3e7d4cf949de87242e37
