cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
eaa52a3b5553f11ece09d98c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,1,2,string 2,"Oh, my! What is all this smoke?!",Was ist das für ein Rauch?,translate,translated,displayed-string,e87fda94f675ba2d71af8b8178775eda6e43caaeb8954bae1b47dd24691a0594
d4027831fe698e34673b4ce3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,1,3,string2 3,s15_0_DeathSui_00_d021_m050_040_0010,s15_0_DeathSui_00_d021_m050_040_0010,protected,protected,resource-or-id,6d8ada7aa5bb6be28574feae980b3dad5b8b56572fa38fb48308866391b0c8e2
deec9d7a9836c1e9556a8d94,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,1,4,string 4,"Oh, my! What is all this smoke?!",Was ist das für ein Rauch?,translate,translated,displayed-string,e87fda94f675ba2d71af8b8178775eda6e43caaeb8954bae1b47dd24691a0594
d83cfc793fec519ab99054c2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,2,2,string 2,"Smoke, or maybe...poison gas?","Rauch, oder vielleicht... Giftgas?",translate,translated,displayed-string,7b1e11c14917fe4ead8e4e149c148048d05b84a85915206df17335f084f771cb
b7daadd6882fbd87ed7b7ad5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,2,3,string2 3,s15_0_DeathSui_00_d021_m050_040_0020,s15_0_DeathSui_00_d021_m050_040_0020,protected,protected,resource-or-id,d4e7f59b1ab5ea9f8e863c199d1ecdc71237a3938b297c4aef27aa6f1cb6cf9b
450ae525a0f972b2bb1b115e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,2,4,string 4,"Smoke, or maybe...poison gas?","Rauch, oder vielleicht... Giftgas?",translate,translated,displayed-string,7b1e11c14917fe4ead8e4e149c148048d05b84a85915206df17335f084f771cb
6d43eb34a0c35862432af7e6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,3,2,string 2,"It's just mist, guys. {fc(ff635b)M-I-S-T}.","Es ist nur Nebel, Leute. {fc(ff635b)M-I-S-T}.",translate,translated,displayed-string,8ca039f6c17383667bff8578c53360db784435a07238d2d4bdd1b9fdd4cf8b49
eeefc2b44aa7de3e116e293c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,3,3,string2 3,s15_0_DeathSui_00_d021_m050_040_0030,s15_0_DeathSui_00_d021_m050_040_0030,protected,protected,resource-or-id,732a572030d95c0bd7e55ddc1f45e908b12b9578c59e8873770b65ba0b4000c8
51a799258c3d35a131acbf5a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,3,4,string 4,"It's just mist, guys. {fc(ff635b)M-I-S-T}.","Es ist nur Nebel, Leute. {fc(ff635b)M-I-S-T}.",translate,translated,displayed-string,8ca039f6c17383667bff8578c53360db784435a07238d2d4bdd1b9fdd4cf8b49
b79fe06fcff7872667bb4d68,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,4,2,string 2,Fine water droplets floating in the air that's harmless to the human body.,"Feine Wassertropfen, die in der Luft schweben, die für den menschlichen Körper harmlos ist.",translate,translated,displayed-string,c8924a62b57f52c8d129b3f17a911f11d5790e3933118b60a3064190f0cc0cfb
bafc3a815944cb728d9c79ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,4,3,string2 3,s15_0_DeathSui_00_d021_m050_040_0040,s15_0_DeathSui_00_d021_m050_040_0040,protected,protected,resource-or-id,0db3d25f2c83eb994dd6fdece400bf0c24a870f59cb2cf7c4f881f4a9edeadd4
3158eeb8996c279d83cb07f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,4,4,string 4,Fine water droplets floating in the air that's harmless to the human body.,"Feine Wassertropfen, die in der Luft schweben, die für den menschlichen Körper harmlos ist.",translate,translated,displayed-string,c8924a62b57f52c8d129b3f17a911f11d5790e3933118b60a3064190f0cc0cfb
06fc1cebeedd2ac13eb434cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,5,2,string 2,Wait... I remember this mist! The person hiding behind it should be...,"Warte... ich erinnere mich an diesen Nebel! Die Person, die sich dahinter versteckt, sollte...",translate,translated,displayed-string,8bb1040ef01b50712819bbac9edc75847100fa76d834de93b70129c16c2f7e9b
15d56b7e2502b3e79980ced3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,5,3,string2 3,s15_0_DeathSui_00_d021_m050_040_0050,s15_0_DeathSui_00_d021_m050_040_0050,protected,protected,resource-or-id,913784a20df4020b23f84f2638c10231652d407f4fe6a256b90226739099e67e
9644dcde50687e1a9fa367ef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_0_deathsui_00_d021_m050_040.mbe/000_Sheet1.csv,5,4,string 4,Wait... I remember this mist! The person hiding behind it should be...,"Warte... ich erinnere mich an diesen Nebel! Die Person, die sich dahinter versteckt, sollte...",translate,translated,displayed-string,8bb1040ef01b50712819bbac9edc75847100fa76d834de93b70129c16c2f7e9b
