cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
7d8992a49777da6e1ccc4330,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,1,2,string 2,"What's the matter, Kurara? What are you so mad about?","Was ist denn los, Kurara?",translate,translated,displayed-string,dcee62eb58a6168268ff8f6d85e98c44f1b8bf0e95564a523aac508e2f22be28
f038e36cb5c50983cfc5cc72,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8b507cc38abfae531dbfb1bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,1,4,string 4,"What's the matter, Kurara? What are you so mad about?","Was ist denn los, Kurara?",translate,translated,displayed-string,dcee62eb58a6168268ff8f6d85e98c44f1b8bf0e95564a523aac508e2f22be28
427224d8f3e75d404893d17a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,2,2,string 2,Listen to what that imbecile Gaku just said to me.,"Hör dir an, was der Idiot Gaku gerade zu mir gesagt hat.",translate,translated,displayed-string,ec28594ba896e19e899fe4a4555e05104cebef6a230f9b75eeeec9cec802c44b
1f037550cc7b0ff844fcf0ce,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
81999e91b538f571d74f798c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,2,4,string 4,Listen to what that imbecile Gaku just said to me.,"Hör dir an, was der Idiot Gaku gerade zu mir gesagt hat.",translate,translated,displayed-string,ec28594ba896e19e899fe4a4555e05104cebef6a230f9b75eeeec9cec802c44b
c7ebc4a6c740648ea51f86f1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,3,2,string 2,"""You think you're all that, but under that mask you're just a lame little baby.""","""Du denkst, du bist das alles, aber unter dieser Maske bist du nur ein lahmes kleines Baby.""",translate,translated,displayed-string,6f5ac687d0a9352e509a72328e4d768930e0f4f9ad8c9db1780d44c5ec5bc66a
30d442c1fc0c8a6c33f6dc7e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fc53d725a6ed7bc60fc19491,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,3,4,string 4,"""You think you're all that, but under that mask you're just a lame little baby.""","""Du denkst, du bist das alles, aber unter dieser Maske bist du nur ein lahmes kleines Baby.""",translate,translated,displayed-string,6f5ac687d0a9352e509a72328e4d768930e0f4f9ad8c9db1780d44c5ec5bc66a
c596fc99e5965cb029ace723,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,4,2,string 2,I can't allow a pauper to call me a little baby... I have to get my retribution.,"Ich kann nicht zulassen, dass mich ein Pauper ein kleines Baby nennt... ich muss meine Vergeltung bekommen.",translate,translated,displayed-string,a14d3eb82dcf6cec8c5bd23c2aed7c6871ac45ede2cfafdce3a13baa08453494
799c781885bd69c56636e06e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
67ee1f1fa4beb4bfa969bbd7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,4,4,string 4,I can't allow a pauper to call me a little baby... I have to get my retribution.,"Ich kann nicht zulassen, dass mich ein Pauper ein kleines Baby nennt... ich muss meine Vergeltung bekommen.",translate,translated,displayed-string,a14d3eb82dcf6cec8c5bd23c2aed7c6871ac45ede2cfafdce3a13baa08453494
8a8385671bf93f85a0a2557b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,5,2,string 2,So that's why...,Deshalb...,translate,translated,displayed-string,4c3aa71ebb15e92dc4e96d8ced7b9d4a3ffc78f5e63e59b9a905a356af40a92a
97951c710e9e22890b1340f2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
848f5b737e494cbc6eaa8a22,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,5,4,string 4,So that's why...,Deshalb...,translate,translated,displayed-string,4c3aa71ebb15e92dc4e96d8ced7b9d4a3ffc78f5e63e59b9a905a356af40a92a
20dd0c5cb3de5a9f7c31eb2e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,6,2,string 2,I made this.,Ich habe das gemacht.,translate,translated,displayed-string,7cd52bf0d09075ab4bd22bde412cc59d16a90c2d344938f1afdc2f9431e8d4b8
ed2e782697478063baf549eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ea573f54ba27bcd83420f1ad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,6,4,string 4,I made this.,Ich habe das gemacht.,translate,translated,displayed-string,7cd52bf0d09075ab4bd22bde412cc59d16a90c2d344938f1afdc2f9431e8d4b8
1111dc2a95f5f9cb8a300f41,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,7,2,string 2,A-A gun?! You're gonna shoot Gaku?!,Eine Waffe?! Du wirst Gaku erschießen?!,translate,translated,displayed-string,b1ff60ded57189870cfa5058ec9eae42497f0ad69e22b4f82df323847ad93597
81fe9a48d953f61c0cdaa457,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
52fb9e44bff0e3f1cf71ab09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,7,4,string 4,A-A gun?! You're gonna shoot Gaku?!,Eine Waffe?! Du wirst Gaku erschießen?!,translate,translated,displayed-string,b1ff60ded57189870cfa5058ec9eae42497f0ad69e22b4f82df323847ad93597
b3f75ae5dc9e60cf46759c0a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,8,2,string 2,That's what he gets for sullying my honor like that.,"Das ist es, was er dafür bekommt, dass er meine Ehre so besudelt.",translate,translated,displayed-string,59ae97fe9af84bd618fda13c86b4c4d2491ed659a04198edea6dc9be1922800f
0a2e1811772b24f28cdfc039,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5c398f2c6da2cd3a62efff5e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,8,4,string 4,That's what he gets for sullying my honor like that.,"Das ist es, was er dafür bekommt, dass er meine Ehre so besudelt.",translate,translated,displayed-string,59ae97fe9af84bd618fda13c86b4c4d2491ed659a04198edea6dc9be1922800f
ef7f6159e21fe8c4bd82c822,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,9,2,string 2,"Just you wait, Gaku. I'm going to splatter your brains all over the place like tomato sauce.","Warte, Gaku, ich spritze dir dein Gehirn über den ganzen Ort, wie Tomatensauce.",translate,translated,displayed-string,734f513b97d1a587391816d3ae27f2e3fc08d3aebc14b7a9971ca82241bebe9e
9ab29109e698056156d021e8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fa05b1d257ff4355bb10837f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr012kura_06.mbe/000_Sheet1.csv,9,4,string 4,"Just you wait, Gaku. I'm going to splatter your brains all over the place like tomato sauce.","Warte, Gaku, ich spritze dir dein Gehirn über den ganzen Ort, wie Tomatensauce.",translate,translated,displayed-string,734f513b97d1a587391816d3ae27f2e3fc08d3aebc14b7a9971ca82241bebe9e
