cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a740779e4e67ddc2246fa544,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 49,Tag 49,translate,translated,displayed-string,e1ef6262bf61daf0269b05138c6846f3df8edea11d9413b1882eb2f3c8e28e4d
b38344c01935ae3db0233e69,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5e40c685652c2fd7ac8419bb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 49,Tag 49,translate,translated,displayed-string,e1ef6262bf61daf0269b05138c6846f3df8edea11d9413b1882eb2f3c8e28e4d
8274ad5ead82d37da3b439e2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)The next morning, I immediately headed to the Courtyard as soon as I woke up.}","{fc(57e4f1)Am nächsten Morgen ging ich sofort zum Hof, sobald ich aufwachte.}",translate,translated,displayed-string:fc-repair,e7c6c36874157767d8ea8c88393a9fe762d8ebc55cd4dfce967dada80ca5f43d
243707f421a4f8840b2264ab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)The next morning, I immediately headed to the Courtyard as soon as I woke up.}","{fc(57e4f1)Am nächsten Morgen ging ich sofort zum Hof, sobald ich aufwachte.}",translate,translated,displayed-string:fc-repair,e7c6c36874157767d8ea8c88393a9fe762d8ebc55cd4dfce967dada80ca5f43d
ac783dadeb510b8f9d06e49b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Nozomi was resting in her room and, while I was concerned about her, she was being well tended to by Tsubasa and Kyoshika.}","{fc(57e4f1)Nozomi ruhte in ihrem Zimmer, und während ich mich um sie sorgte, war sie von Tsubasa und Kyoshika sehr gepflegt.}",translate,translated,displayed-string:fc-repair,92d588a633a3d13bc5c2c154ad0ea5e5c9b60efc3ae4121fd229f2b1ce4bceac
88f2f85d52dd6ca5474cffbf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Nozomi was resting in her room and, while I was concerned about her, she was being well tended to by Tsubasa and Kyoshika.}","{fc(57e4f1)Nozomi ruhte in ihrem Zimmer, und während ich mich um sie sorgte, war sie von Tsubasa und Kyoshika sehr gepflegt.}",translate,translated,displayed-string:fc-repair,92d588a633a3d13bc5c2c154ad0ea5e5c9b60efc3ae4121fd229f2b1ce4bceac
8e7de1845af65ff44e6a79c1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Eva, on the other hand, was alone in her cage. As her caretaker, it was my duty to look after her.}","{fc(57e4f1)Eva hingegen war allein in ihrem Käfig. Als ihre Hausmeisterin war es meine Pflicht, auf sie zu achten.}",translate,translated,displayed-string:fc-repair,0704b663f7a9a44bec7d85dab2a04272335aa3483094392caff2fc8c24d13d5b
646e78ab53daed91fab1c849,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Eva, on the other hand, was alone in her cage. As her caretaker, it was my duty to look after her.}","{fc(57e4f1)Eva hingegen war allein in ihrem Käfig. Als ihre Hausmeisterin war es meine Pflicht, auf sie zu achten.}",translate,translated,displayed-string:fc-repair,0704b663f7a9a44bec7d85dab2a04272335aa3483094392caff2fc8c24d13d5b
08b26e274b9bf3d59779f004,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d049_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"Morning, Eva. How're you feeling?","Guten Morgen, Eva, wie fühlst du dich?",translate,translated,displayed-string,2f5d9000ed6beb4f6d867637667638bc06708d6ea9a09d487b622dd6a907eb9f
