cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d27f3eb406397ee70294af11,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,2,2,string 2,Nothing to do here right now.,Hier gibt es nichts zu tun.,translate,translated,displayed-string,4789f2332c561b7eaffc224c04da2ce756e6af51e59d3f196828a8824c48821a
ff41cefb10c7ccb915b07b25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,3,2,string 2,I can't go in here yet.,Ich kann hier noch nicht rein.,translate,translated,displayed-string,a10e3207d24dc69052dab84a282cf096f8ce990d5e9463482a1e8330569ccb35
456eccf6ff8285255db7f3a1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,4,2,string 2,I shouldn't go into someone else's room without permission. It's just common sense.,Ich sollte nicht ohne Erlaubnis ins Zimmer eines anderen gehen.,translate,translated,displayed-string,ce06f35e63527fd50e799ab5b1f28f1f068df9562aaab62f336adfc48afc2ec3
08400033f9340364075dcd1f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,5,2,string 2,Not now!,Nicht jetzt!,translate,translated,displayed-string,c94893619304b77bca8dfdf7f851c8b2673de4d82536e2cd87229cbf0d257424
cec4390d4a7dc756a0b769e4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,6,2,string 2,This is an emergency! I have to go to the War Room!,Ich muss in den Kriegsraum!,translate,translated,displayed-string,65bd991eb623b280ef350998f9bd5d7feba25395e4d8f61e2b5cdbed22411616
46f577499807fcf89f143164,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,7,2,string 2,Better not go inside now...,Geh jetzt besser nicht rein.,translate,translated,displayed-string,5aa9e2a2c10376bb8ed38595ee40264691dfc6ef4e62f68c631d4d492c2227d6
ae4eb345a447d26d680a7d0a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,8,2,string 2,This is an empty room. I've got no reason to go inside.,"Das ist ein leerer Raum, ich habe keinen Grund reinzugehen.",translate,translated,displayed-string,593013de850c6dc6363e594dda21ca1480abda808269c94fe138b1444821995b
0097e7236bcd5ef01da29957,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,9,2,string 2,Not here! The voice came from somewhere else!,"Nicht hier, die Stimme kam von irgendwo anders!",translate,translated,displayed-string,aeace54512623ffff59841e36edb9a4ca4abd201136594c265d69abf25521c69
4dfec728f008a6f776619403,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,10,2,string 2,Not here! The voice came from the opposite direction!,Nicht hier! Die Stimme kam aus der entgegengesetzten Richtung!,translate,translated,displayed-string,4a572c2e0d4d40779de5c15e5a24dc759fd1668873f57832f88a42a2c7348f91
67bdecfaa9fcdf79a3134ee5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,11,2,string 2,There's no need to move around now...,"Es gibt keinen Grund, sich zu bewegen.",translate,translated,displayed-string,12a69bdbbc86eb1d56fcef247f47f0bb06d731066fda464b9e29feca62459229
f13726511416c4541db5bf9a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,12,2,string 2,Blocked by Undying Flames... I shouldn't go any farther.,"Von Unsterblichen Flammen blockiert, sollte ich nicht weiter gehen.",translate,translated,displayed-string,ff730f33949c7dd9efbb497433ef7e0d2aeee5c2807f5377ad8d091a6f979b8b
01483491176fb33fbe0bfd42,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,13,2,string 2,We should talk first.,Wir sollten zuerst reden.,translate,translated,displayed-string,4a300ab4878e3f8b97ee64acb14729c3c38f43d3d67f7fc299fbbc699eb7f72d
e24c2c7e9a2a45b8f2930111,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,14,2,string 2,I should investigate first.,Ich sollte zuerst nachforschen.,translate,translated,displayed-string,8b7b1447df8fba8a1051d479813c58dbaaef53146658db41b946b76357cdf4d3
8b3af0710379e414e4af6e76,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,15,2,string 2,"Okay, I'll use this fire extinguisher to go outside.","Okay, ich werde diesen Feuerlöscher benutzen, um nach draußen zu gehen.",translate,translated,displayed-string,62e434cc05e912395d0aeb39c156c6d01d8232eb3dbc64bbc9e7130471f389ea
e1be41c09202b72ef0a34e9b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/on_room_map_cancel.mbe/000_Sheet1.csv,16,2,string 2,"I can go out to the Schoolyard from here, but there's no need for that right now.","Ich kann von hier aus auf den Schulhof gehen, aber das ist jetzt nicht nötig.",translate,translated,displayed-string,6312123c52087f4639ede8099162dd623251e300a912226521932690b9979a09
