cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d1962020b642081b7fe41918,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,1,2,string 2,"You seem like you're having fun, Shouma. What are you up to?","Du scheinst Spaß zu haben, Shouma.",translate,translated,displayed-string,fd1e5f51f8a20a6494daf952ab87ec3408949adbdc10a5380b841cad11c3ab7f
3ed50d018431f9fac1289070,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f54940c00ba640555223ca22,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,1,4,string 4,"You seem like you're having fun, Shouma. What are you up to?","Du scheinst Spaß zu haben, Shouma.",translate,translated,displayed-string,fd1e5f51f8a20a6494daf952ab87ec3408949adbdc10a5380b841cad11c3ab7f
e177aea4a78528e027e02967,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,2,2,string 2,I'm walking my imaginary dog!,Ich gehe mit meinem imaginären Hund!,translate,translated,displayed-string,275c84d21160e8898fa987d8c476657824c198454673826ed85e3da4ca72bc01
040e7f45245e53194797b092,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ba1fd31d656530d850b80692,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,2,4,string 4,I'm walking my imaginary dog!,Ich gehe mit meinem imaginären Hund!,translate,translated,displayed-string,275c84d21160e8898fa987d8c476657824c198454673826ed85e3da4ca72bc01
d8a7a7573ca57772aede07c6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,3,2,string 2,"He's such a cutiepie, I can't help but smile.","Er ist so ein Cutiepie, ich kann nicht anders als lächeln.",translate,translated,displayed-string,208600f0081894fc57f2ccd702221db64f42604ce099f3bcc04afb288d9d5a3d
22a40d4810507f11fb189205,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0819dc7a6c6eb454d4d5ef9e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,3,4,string 4,"He's such a cutiepie, I can't help but smile.","Er ist so ein Cutiepie, ich kann nicht anders als lächeln.",translate,translated,displayed-string,208600f0081894fc57f2ccd702221db64f42604ce099f3bcc04afb288d9d5a3d
05c8be60583e0fe3927beef2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,4,2,string 2,Imaginary dog...?,Imaginärer Hund...?,translate,translated,displayed-string,9c01a3b6683efd8959d449b57ddddf5a119037a7298a19c91676362fee2315f3
dad1d4ad42b001d0e0fda8cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1ebe25dda460bfbe1615c33f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,4,4,string 4,Imaginary dog...?,Imaginärer Hund...?,translate,translated,displayed-string,9c01a3b6683efd8959d449b57ddddf5a119037a7298a19c91676362fee2315f3
c43dd672f9be4bb1e31cc468,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,5,2,string 2,"Yeah, a dog that exists only inside of my head.","Ja, ein Hund, der nur in meinem Kopf existiert.",translate,translated,displayed-string,fbb92f0392083a9ca21c65d4247c0168ea32159a0a144ceffc4f160bd4c5be9d
ebc98ae9bdfdb8e40c80d8a5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5afb6e8ad66101e5871039ad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,5,4,string 4,"Yeah, a dog that exists only inside of my head.","Ja, ein Hund, der nur in meinem Kopf existiert.",translate,translated,displayed-string,fbb92f0392083a9ca21c65d4247c0168ea32159a0a144ceffc4f160bd4c5be9d
97a3e6a094a8f2c5ea61aa05,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,6,2,string 2,His name is Leo the Second.,Sein Name ist Leo der Zweite.,translate,translated,displayed-string,77bf86e50ace910a8473de8a380b8414d9353eb2601f95d99dbfaa289173342d
8286a30a12470cfc99c57ff1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
79ad6c8ea458d4fdf44a6d93,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,6,4,string 4,His name is Leo the Second.,Sein Name ist Leo der Zweite.,translate,translated,displayed-string,77bf86e50ace910a8473de8a380b8414d9353eb2601f95d99dbfaa289173342d
3a9950dba34b5ca539f7c2ea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,7,2,string 2,Walking around the school with him is my new routine!,"Mit ihm durch die Schule zu gehen, ist meine neue Routine!",translate,translated,displayed-string,0ebc7d52ba4e9deae6a3487f4fa80a333b71b935743089f9749f10a774fee829
57f60e53c8c0f546549a0550,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
30d7411b5a002af7d8bdf6f0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr010sho_02.mbe/000_Sheet1.csv,7,4,string 4,Walking around the school with him is my new routine!,"Mit ihm durch die Schule zu gehen, ist meine neue Routine!",translate,translated,displayed-string,0ebc7d52ba4e9deae6a3487f4fa80a333b71b935743089f9749f10a774fee829
