cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
df5694e9d57eb0fb42677692,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 43,Tag 43,translate,translated,displayed-string,8f00c674a81c3703ac968158d63aee1bc5b3b295158f485041436fae8043b2e5
45cbaf13b693a5ff54cd4d62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fccf07fb40613ffdc9f64d7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 43,Tag 43,translate,translated,displayed-string,8f00c674a81c3703ac968158d63aee1bc5b3b295158f485041436fae8043b2e5
72e8f3ce0e241556408fe3a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
373307178c8b27d0cec3440b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s09_A_BoukenRt_00_d043_m010_010_0030,s09_A_BoukenRt_00_d043_m010_010_0030,protected,protected,resource-or-id,82290cd89a53a37d0173da05fb1f41119956ed5ad5ce090a219ede9bfa0c8c22
6fb5ee6a0b759a3138ebe04e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
80d0dcfe4328237f65f1699f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 43rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 43. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,50be80e1d5aac6a2791c48d6afa4a6f1805dd502e0266724c620a8d014c53355
2182f5654ea536675ad41962,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s09_A_BoukenRt_00_d043_m010_010_0040,s09_A_BoukenRt_00_d043_m010_010_0040,protected,protected,resource-or-id,ccc069e3802ce20777d28c3aa8861e38a272045f7d2bcbadec8bc0cb5e40763b
d0329cd6cf8187ba8e23b380,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 43rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 43. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,50be80e1d5aac6a2791c48d6afa4a6f1805dd502e0266724c620a8d014c53355
b2eff76b63b6c6280c85d3ca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
d26ecf88fdd335511f44b0f7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s09_A_BoukenRt_00_d043_m010_010_0050,s09_A_BoukenRt_00_d043_m010_010_0050,protected,protected,resource-or-id,b073805f215d00b1ff42ef90e6971a4f495fee384b5f0c1f572fd46549ba945b
137bb67b93e6fade45e85698,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
70c3e36530257e4aa60756b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
ee0b57c36ede70bde592c2d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s09_A_BoukenRt_00_d043_m010_010_0060,s09_A_BoukenRt_00_d043_m010_010_0060,protected,protected,resource-or-id,40916890ef95e00a90d20df86b62b74d2448413dc6cb97b6b947154e8c4bc437
fe80a66dbfd6ecc33e71a190,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
63d9b56c0f16e943cedb56e2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Today's just more preparation to decipher the book. Everyone's going to be hard at work.},"{fc(57e4f1)Heute ist nur noch mehr Vorbereitung, um das Buch zu entziffern. Jeder wird hart in der Arbeit sein.}",translate,translated,displayed-string:fc-repair,977e16148ce7b0d9f09ea275f4cb7f35850b18d29bc6b623cb874ce2c6ae6b14
3aacaa872659e3105eba9ae2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Today's just more preparation to decipher the book. Everyone's going to be hard at work.},"{fc(57e4f1)Heute ist nur noch mehr Vorbereitung, um das Buch zu entziffern. Jeder wird hart in der Arbeit sein.}",translate,translated,displayed-string:fc-repair,977e16148ce7b0d9f09ea275f4cb7f35850b18d29bc6b623cb874ce2c6ae6b14
1df0686a0a668b43c8b994e2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)As for me... Hm, it's hard finding stuff to do with myself sometimes.}","{fc(57e4f1)Was mich betrifft... Hm, es ist manchmal schwer, etwas mit mir zu tun zu haben.}",translate,translated,displayed-string:fc-repair,60947467a2e02cd453f786df3e47d2604086342486c19fe8244609e5fef70706
4f8cc293e03faaa98b7e7f60,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_00_d043_m010_010.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)As for me... Hm, it's hard finding stuff to do with myself sometimes.}","{fc(57e4f1)Was mich betrifft... Hm, es ist manchmal schwer, etwas mit mir zu tun zu haben.}",translate,translated,displayed-string:fc-repair,60947467a2e02cd453f786df3e47d2604086342486c19fe8244609e5fef70706
