cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a4c7e3650ce4d20e462120cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,1,2,string 2,All right... That's all the regular troops taken care of!,"Alles klar, das sind die regulären Truppen, die sich um sie gekümmert haben.",translate,translated,displayed-string,52e23c3483ce392510285c80679d350c688fcea40c07a33d629de050f6a45488
0c11a395a08363f6c4a2dd3f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,1,3,string2 3,s15_A_DeathGam_Aaaaabb_d099_m120_010_0010,s15_A_DeathGam_Aaaaabb_d099_m120_010_0010,protected,protected,resource-or-id,1472bd0f6ab3bef3e9436f4af1d1dd54baf1e5b296635138ab0372ca3b50d13d
af1e904e2a02670cdc107db0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,1,4,string 4,All right... That's all the regular troops taken care of!,"Alles klar, das sind die regulären Truppen, die sich um sie gekümmert haben.",translate,translated,displayed-string,52e23c3483ce392510285c80679d350c688fcea40c07a33d629de050f6a45488
578218da0066daabb29b1809,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,2,2,string 2,Phew... I'm dead tired...,Ich bin totmüde.,translate,translated,displayed-string,5afc35809443c15b96983a73fa3bfe7075d7ff7f48410c81e9be6b06f5fa2cbc
82914240b375cbf311990c03,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,2,3,string2 3,s15_A_DeathGam_Aaaaabb_d099_m120_010_0020,s15_A_DeathGam_Aaaaabb_d099_m120_010_0020,protected,protected,resource-or-id,ee9c15834a90d2667376ebe4886f4f6994bdce9c637bb1db0f8c41998606f509
f1fa7627e55935f4a0a48ab1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,2,4,string 4,Phew... I'm dead tired...,Ich bin totmüde.,translate,translated,displayed-string,5afc35809443c15b96983a73fa3bfe7075d7ff7f48410c81e9be6b06f5fa2cbc
a8c725e372bffccdd11d2b60,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,3,2,string 2,"Keep your spirits high, Sister Dearest! That was just the preview. The main event is yet to come.","Halten Sie Ihren Geist hoch, Schwester Liebste! Das war nur die Vorschau. Das Hauptereignis wird noch kommen.",translate,translated,displayed-string,6e39c12c29c9b3dcd9dc80dfedb098e88db97079a230507a4cb2a2115d516de7
b3ce00e268e5e294fb36e204,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,3,3,string2 3,s15_A_DeathGam_Aaaaabb_d099_m120_010_0030,s15_A_DeathGam_Aaaaabb_d099_m120_010_0030,protected,protected,resource-or-id,92f7de3fda7dc566883e5338ff874e4a6d8d4a085dc7bd9ef4713572c0ec53ab
655a085fbb043076e6da5f30,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,3,4,string 4,"Keep your spirits high, Sister Dearest! That was just the preview. The main event is yet to come.","Halten Sie Ihren Geist hoch, Schwester Liebste! Das war nur die Vorschau. Das Hauptereignis wird noch kommen.",translate,translated,displayed-string,6e39c12c29c9b3dcd9dc80dfedb098e88db97079a230507a4cb2a2115d516de7
b49568c8c9f1e57ffbca24fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,4,2,string 2,I sense a strong presence approaching... It has to be her!,"Ich spüre, dass sich eine starke Präsenz nähert... es muss sie sein!",translate,translated,displayed-string,089617cb9fb813081938d8f8523ddab11af7765adb0f31ddfe1812e28c340c57
9d709d3bd4325d9524feaa8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d099_m120_010.mbe/000_Sheet1.csv,4,3,string2 3,s15_A_DeathGam_Aaaaabb_d099_m120_010_0040,s15_A_DeathGam_Aaaaabb_d099_m120_010_0040,protected,protected,resource-or-id,ecd197b02e25249bd488dd226d164c6625538d046889c8ddac497efdcb3b238a
