cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
7a7a41fdc35a7a8c70093d63,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,1,1,string 1,"Annihilate all enemies


","Alle Feinde vernichten


",translate,translated,displayed-string,d0d6b1354e7bf8b50074c1cfb98cfe0fc3c51a67ac6e0e37db126f12faccac01
7258805304968783c2b5a530,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,2,1,string 1,"Annihilate enemy boss

","Feindlichen Boss vernichten

",translate,translated,displayed-string,a42e329ed7236495d1a5975557212fe67000401077bfbe19a251b88cc52244a4
70634a23f1baef0a9e682fc0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,3,1,string 1,"Defeat all enemy bosses

","Besiege alle feindlichen Bosse

",translate,translated,displayed-string,a6907a334c41a700a42c90ff4ddd08112d8b2d5725d0dd625ad4c5aaddb1d22b
ec7e65cad6959f3121fa995f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,4,1,string 1,"Unknown


","Unknown


",review,pending,ambiguous-single-token,88812816e2f2c075ca9d3a1468b91558df3e6e8e0866b5d59ca1a9e3f5729b57
6fb47726cd9441f9c3760c8f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,5,1,string 1,"All allies are annihilated
Barrier generator is destroyed


","Alle Verbündeten sind vernichtet
Barrier-Generator zerstört Z


",translate,translated,displayed-string,080c83866a3ef42d4c055c63890b21d93ec767bdf045ce6a9051f1d342d55a99
7e9ce7a26dd3c794cda9770c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,6,1,string 1,"All allies are annihilated
School bus is destroyed


","Alle Verbündeten sind vernichtet
ZSchulbus zerstört Z


",translate,translated,displayed-string,798303731b30fdb51c124b281b3c8df3a097a27c7ad50e6ba5149b32fd466891
d7d5b6dbe4e7d9e40e9af1e0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,7,1,string 1,"All allies annihilated

","Alle Verbündeten vernichtet

Z",translate,translated,displayed-string,db622f18fb3ce6bc48bd02c7e36426cd08abdbb6a9e64a92d8070a4ae2e6e642
81886a323ac0047a70426ed8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,8,1,string 1,"Any one ally dies in battle
Barrier generator is destroyed

","Jeder Verbündete stirbt im
Kampf Barrier-Generator zerstört

",translate,translated,displayed-string,ff7f9835156e2e64f7e3a00d0e0e41533ce3e79ff89a3cb4d2b39194a93ccb7f
fff454001d7b216a01d5c683,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,9,1,string 1,"Any one ally dies in battle

","Jeder Verbündete stirbt im Kampf

",translate,translated,displayed-string,a7d6d051b38067f01ce761ab2fd5357e35020dcfdb2b7f7438f8da3f0f258476
56670c1e77d290f91f54f48f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,10,1,string 1,"Defeat Moko Mojiro?
","Besiege Moko Mojiro?
",translate,translated,displayed-string,9a5a6d78b41c44a85952d1d4dd70344466c69c3ffd3bdadaa5d7e350b84113cb
5e925e4d6aaed79ab47ee47b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,11,1,string 1,Defeat Moko Monster,Besiege Moko Monster,translate,translated,displayed-string,275c36cc577001684a12cac70ff331e1824fc5e52efcd8b32a88fec237792bc3
59b9de0044d6fb35954b4ade,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,12,1,string 1,"Defeat unknown enemy


","Besiege unbekannten Feind


",translate,translated,displayed-string,26ad57363af8bea6220a6863924ad2dcd8c8c318876d0ef2e108ac72bd58f47f
d9452e118891deea851413fa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,13,1,string 1,"Defeat Eito Aotsuki?


","Besiege Eito Aotsuki?


",translate,translated,displayed-string,05ef9fddd7249c1ac95e0ba8f77b45962424987e9cc4548f1cc762fc9490900f
4f603e5b660adf53542a314b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,14,1,string 1,"Defeat Nyewgank


","Besiegt Nyewgank


",translate,translated,displayed-string,2100744f826e27dfd655f236ca2974bbb241149469e3a7cf4ef2876e549e4ad0
0b553eb627ce4ceb7fd0256f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,15,1,string 1,"Defeat Turamtammi


","Besiegen Turamtammi


",translate,translated,displayed-string,36b456c0ba37c78cc74d35655cf301591c9cfbb545984c36d889fc9480d0350a
07b99dd8b644e51b6d52716f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,16,1,string 1,"Defeat Eito Aotsuki


","Besiege Eito Aotsuki


",translate,translated,displayed-string,dd772378a2b734336ca923a3dd51f7bb7a3376589f147bfc195a55ea1d9c5bee
018e6c39a620a49800a9f6ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,17,1,string 1,"Defeat Eito Aotsuki


","Besiege Eito Aotsuki


",translate,translated,displayed-string,dd772378a2b734336ca923a3dd51f7bb7a3376589f147bfc195a55ea1d9c5bee
e12fa68c03ffe5771ecd626e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,18,1,string 1,"Destroy all sources of mist


","Zerstören Sie alle Quellen von Nebel


",translate,translated,displayed-string,adc682288756183047335949ce468c0ec8aad060a50f0a0ae7606108545b469a
608ae261c9629f6d433e68b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,19,1,string 1,"Destroy source of mist


","Zerstören Sie die Quelle des Nebels


",translate,translated,displayed-string,53682f5dd4367020603ef6c4b7d61f0caea0e03774cf1b6dc81f246c3ad37fd6
3b036c1397d36923265207f9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,20,1,string 1,"Destroy all sources of sound


","Zerstöre alle Klangquellen


",translate,translated,displayed-string,1ae846ebfbc8ab906602dcbc2ba626579e72fe92cbf9dd959dfcd374b158f405
844469cac82426ea9646097c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,21,1,string 1,"Destroy source of sound


","Tonquelle zerstören


",translate,translated,displayed-string,ca5ee7770f960f96fb89228413fe1f776bd5c7ac64f9756c713cc215d108d489
a9778d45b42be8d69c0bf03d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,22,1,string 1,"Destroy enemy defensive barrier


","Zerstöre feindliche Verteidigungsbarriere


",translate,translated,displayed-string,5343eb75d37aba62428af430a0a85d0b700a9ac48e5959b893f4f23197b8ea72
51cf1e59d305e9546fb32c57,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,23,1,string 1,"Destroy Bogus Rocket


","Zerstöre Bogus Rocket


",translate,translated,displayed-string,42b806dd9d74200006082d6a23fa5cf27c2867ec6aba1622fa98236d60d7ee1c
a9a5b37f8acb70455c2bd03d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,24,1,string 1,"Destroy all missiles
Destroy central device

","Zerstören Sie alle
Raketen Destroy Zentralgerät

",translate,translated,displayed-string,376f9c5243cc338504fe35751386ec53786734e956ea1d3fe6b2060ea9fa31e3
b6865de4c247660d6fa85756,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,25,1,string 1,"Takumi Sumino dies
Fail to protect Karua Kashimiya


","Takumi Sumino stirbt
Versäumnis, Karua Kaschimi zu schützen


",translate,translated,displayed-string,1af9ccc7d94a716b7a7e92c34b37e8c6bac31f9e193e25587f9ab5160132128b
83955dc2374b6ab49691d99a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,26,1,string 1,"Annihilate all enemies on the ground


","Vernichten Sie alle Feinde auf dem Boden


",translate,translated,displayed-string,7fcc5567a5b243e21317532ae4dd0ef8836bde87f94dff54e6d85f1ff27af624
06721c6e384366bc4b92c47f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,27,1,string 1,"Defend Kurara Oosuzuki for 3 turns


","Verteidigen Sie Kurara Oosuzuki für 3 Runden


",translate,translated,displayed-string,b7bfb99770b011348385274078c7d6f741b4a1a10631caa2202790945c19d65a
690bcf9f20c897d0b3d111f9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,28,1,string 1,"Eito Aotsuki dies
All allies are annihilated

","Eito Aotsuki dies Alle
Verbündeten sind vernichtet

",translate,translated,displayed-string,8925492c60f3a01145991c2042d465ee6d9e510ca7cdbf45b5366d6fd369ed5a
2dc24cd0bf07135a635ee90c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_win_lose_conditions.mbe/000_Sheet1.csv,29,1,string 1,"Moko Mojiro dies
All allies are annihilated

","Moko Mojiro dies Alle
Verbündeten sind vernichtet

",translate,translated,displayed-string,7d282ec99c94d09acd756e4ce3a3f2fba564df97287e03cf54ae0e2787a7029b
