cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e074f86acdc4f4151bba8a6f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)After lying there for a while, the feeling started coming back to my legs.}","{fc(57e4f1)Nachdem ich eine Weile dort gelegen hatte, begann das Gefühl zurück zu meinen Beinen zu kommen.}",translate,translated,displayed-string:fc-repair,c33e6bfdd2d5c8a2ca42eba8475213361770093812140987b2ca827840225f5e
c32207a16cf2a2df1e4180be,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1bba183c70a69fcba0f4cae1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)After lying there for a while, the feeling started coming back to my legs.}","{fc(57e4f1)Nachdem ich eine Weile dort gelegen hatte, begann das Gefühl zurück zu meinen Beinen zu kommen.}",translate,translated,displayed-string:fc-repair,c33e6bfdd2d5c8a2ca42eba8475213361770093812140987b2ca827840225f5e
d85011729d6ee0ff9ecf7dba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)Pretty soon I was able to move around again, and got to my feet.}",{fc(57e4f1)Bald war ich wieder in der Lage mich zu bewegen und kam zu meinen Füßen.},translate,translated,displayed-string:fc-repair,9249faf45f4d47ca0240a0988b020d3524580548d135d0cf1aeebe11e50c3628
dcf2aa6fcfae646e4c080271,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e4ef3655b5e3ca46b5ce1736,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)Pretty soon I was able to move around again, and got to my feet.}",{fc(57e4f1)Bald war ich wieder in der Lage mich zu bewegen und kam zu meinen Füßen.},translate,translated,displayed-string:fc-repair,9249faf45f4d47ca0240a0988b020d3524580548d135d0cf1aeebe11e50c3628
14644dd2f5f9c3ca8ad36ed4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,3,2,string 2,"I'm still in the same place I was before, right? It looks the same, anyway...","Ich bin immer noch an dem Ort, an dem ich vorher war, oder?",translate,translated,displayed-string,0152c2edae79e71f127fe4b92a104d8e5636976e750a7c9bb3ce3fc5f1e26b57
53491b0ee6991574fa060af4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
50d15fa90a2e6542364bd306,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,3,4,string 4,"I'm still in the same place I was before, right? It looks the same, anyway...","Ich bin immer noch an dem Ort, an dem ich vorher war, oder?",translate,translated,displayed-string,0152c2edae79e71f127fe4b92a104d8e5636976e750a7c9bb3ce3fc5f1e26b57
df5bcb3f28392e040334e143,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_0_sftolove_00_d005_m010_030.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)What happened when I dove into that circle of light after Hiruko?},"{fc(57e4f1)Was ist passiert, als ich nach Hiruko in diesen Lichtkreis getaucht bin?}",translate,translated,displayed-string:fc-repair,8a246511af33735dafbf265d1a936dfeb9345d9bdd85415e0004b1997c9d3efa
