cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e768a0670f2e8c146a3345f2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 12,Tag 12,translate,translated,displayed-string,96ffd94d8e5ddbd645333931fd637f307a739e55ef78a0b9f50493d219252f14
898988998f332b207f3a8dc0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5d07c3724b5a4f486d7cd259,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 12,Tag 12,translate,translated,displayed-string,96ffd94d8e5ddbd645333931fd637f307a739e55ef78a0b9f50493d219252f14
c70d7b0604406718ccd73508,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
a1502aea8a974d28c23251ee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s11_0_SeisyunR_00_d012_m010_010_0030,s11_0_SeisyunR_00_d012_m010_010_0030,protected,protected,resource-or-id,43a8fb353b58b6fb4f5d8fe89fa55c91f61cd45f38bc8345116b597d3941c947
af3ab71fccf4183525f9e940,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
20cf814714f4a68d3675d1d1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 12th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 12. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,028c05edab493094fa45fa50f959223c803d653f1e3a8708b3b418c130e49089
b7bac4b323675b65ee77fb90,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s11_0_SeisyunR_00_d012_m010_010_0040,s11_0_SeisyunR_00_d012_m010_010_0040,protected,protected,resource-or-id,d8a6fa69c2d029a666e1ec7d2762cc405dca11cc679df715210cf5f63b0b640c
58ee54cc95dc9b1de2840a63,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 12th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 12. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,028c05edab493094fa45fa50f959223c803d653f1e3a8708b3b418c130e49089
9c9408ee4267b1182b101276,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
a138a4c7d39e5d277a2e0183,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_00_d012_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s11_0_SeisyunR_00_d012_m010_010_0050,s11_0_SeisyunR_00_d012_m010_010_0050,protected,protected,resource-or-id,7ef3dbf7bc629b0817c9f0f5841872cfb9a6a7d5fa8316fef5aa4cddcca6e648
