cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
aa1a0edc99a87085fd612a03,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 95,Tag 95,translate,translated,displayed-string,c5c1b8d1c2cc516744d7f5880bcb02f734ab16d316fd3fa0c9bf1e5530a2b87e
1a292304e3ebc7475e1af8c0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2697f5ed4dbbe8ee938cb438,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 95,Tag 95,translate,translated,displayed-string,c5c1b8d1c2cc516744d7f5880bcb02f734ab16d316fd3fa0c9bf1e5530a2b87e
4f310d6b27eee8c492caecc7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"We'll hold the ritual tomorrow, so I'll take it easy today.","Wir halten das Ritual morgen ab, also werde ich es heute langsam angehen lassen.",translate,translated,displayed-string,c721c8c0c32bf887494b7bf52b06ed2d1077cf6027bb5b6d6a41fee33f3aac62
3ede1d950c1d2776589b8899,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5e396edcbae959b482fdf39d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"We'll hold the ritual tomorrow, so I'll take it easy today.","Wir halten das Ritual morgen ab, also werde ich es heute langsam angehen lassen.",translate,translated,displayed-string,c721c8c0c32bf887494b7bf52b06ed2d1077cf6027bb5b6d6a41fee33f3aac62
4265fcf68934c223add54532,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,3,2,string 2,I'll just prepare myself mentally and—,Ich werde mich nur geistig vorbereiten und...,translate,translated,displayed-string,b714598db00f60dd924dbca03e93e9a9ac83033a95c390b5404929f7cff05a88
5652a1d58c5cc484e6929594,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d61713d741980cc4f77d6658,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,3,4,string 4,I'll just prepare myself mentally and—,Ich werde mich nur geistig vorbereiten und...,translate,translated,displayed-string,b714598db00f60dd924dbca03e93e9a9ac83033a95c390b5404929f7cff05a88
2913ac4e5f38ba16d151b3cc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ab_d095_m010_010.mbe/000_Sheet1.csv,4,2,string 2,I wonder who that is? Come in!,"Ich frage mich, wer das ist?",translate,translated,displayed-string,dfc38c078ad1cec702c19082034cd3ab148d66e9cbae68dfd3f503504f87c999
