cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
87e5f11b6c4435d90b6fef09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I opened Yugamu's door to see...},"{fc(57e4f1)Ich öffnete Yugamus Tür, um zu sehen...}",translate,translated,displayed-string:fc-repair,e21f901cdc9a74a07c3f5d50ed883d411e9b78965f858d8c21ab8b88743b0510
767c3b05776c2d6a4780a50c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I opened Yugamu's door to see...},"{fc(57e4f1)Ich öffnete Yugamus Tür, um zu sehen...}",translate,translated,displayed-string:fc-repair,e21f901cdc9a74a07c3f5d50ed883d411e9b78965f858d8c21ab8b88743b0510
60cb65f3d0267769b6e4fa94,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,2,2,string 2,Excuse me? Takumi? What are you doing here?,"Entschuldigung, Takumi, was machst du hier?",translate,translated,displayed-string,c895276a54300c19529ffd1f938c3c3dc4a32562111762990ee79b7fefee2f74
159a53d29fdcaad243705292,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0d77ac128f83233ae89961d0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,2,4,string 4,Excuse me? Takumi? What are you doing here?,"Entschuldigung, Takumi, was machst du hier?",translate,translated,displayed-string,c895276a54300c19529ffd1f938c3c3dc4a32562111762990ee79b7fefee2f74
cf3a17ecc1c10130c4346aa8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,3,2,string 2,"Oh, I just had some business with Yugamu...","Oh, ich hatte gerade etwas mit Yugamu zu tun...",translate,translated,displayed-string,81695b67d24795d4198aba5ae00cc5b08fd504acaa317138fcfbc25a913e6229
c0676b43d1c047f166b13bd3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fbace8a1e239cbe787595143,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,3,4,string 4,"Oh, I just had some business with Yugamu...","Oh, ich hatte gerade etwas mit Yugamu zu tun...",translate,translated,displayed-string,81695b67d24795d4198aba5ae00cc5b08fd504acaa317138fcfbc25a913e6229
67cca5c9c76473bf5868f9ba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,4,2,string 2,"This works out, though. I was going to come get you next.",Ich wollte dich als Nächstes holen.,translate,translated,displayed-string,267d6f0aa5d1c9864fc6da4ccdf973b970bfc94e5611027c4e224c71ea0c1d96
5d246df1fb3565dbc619e34e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
680373c90a6ad8c64a98e615,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,4,4,string 4,"This works out, though. I was going to come get you next.",Ich wollte dich als Nächstes holen.,translate,translated,displayed-string,267d6f0aa5d1c9864fc6da4ccdf973b970bfc94e5611027c4e224c71ea0c1d96
e946511ba3158dc0abaed36c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,5,2,string 2,Huh? Me? Why? Did something happen?,Ist etwas passiert?,translate,translated,displayed-string,93f26d92b676e6e7cdde8df3c0407c44456a85be5adfa4a3f437c57a54e30a95
e291ffb893dcae47e167615d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
67ba93c7bf7a23bef67fa7e1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_ba_d073_m010_020.mbe/000_Sheet1.csv,5,4,string 4,Huh? Me? Why? Did something happen?,Ist etwas passiert?,translate,translated,displayed-string,93f26d92b676e6e7cdde8df3c0407c44456a85be5adfa4a3f437c57a54e30a95
