cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ce56a36a9cae5ca5c0f14a45,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"I don't have any memories of it, but...","Ich habe keine Erinnerungen daran, aber...",translate,translated,displayed-string,0baeb3957bef0f4ac95f9efbaa9e93c6a204141ae1723d477a728c690ed61464
08b650e9a52c77d1b9b22b79,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c339e90f68ea47e514f30295,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"I don't have any memories of it, but...","Ich habe keine Erinnerungen daran, aber...",translate,translated,displayed-string,0baeb3957bef0f4ac95f9efbaa9e93c6a204141ae1723d477a728c690ed61464
c48ad4ec692a13fe4a125351,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,2,2,string 2,The killer...,Der Mörder...,translate,translated,displayed-string,5735dd3365dd24ba26091b79a64ad8817e2589d13e987fbe6213b4cfb9f2e903
d20a33d2f6e8c8586742b91a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
82080a251cc1b2517ed88b98,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,2,4,string 4,The killer...,Der Mörder...,translate,translated,displayed-string,5735dd3365dd24ba26091b79a64ad8817e2589d13e987fbe6213b4cfb9f2e903
6d2350ec685dc7afdf2eb8a3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,3,2,string 2,It could very well have been me...,"Es hätte sehr gut sein können, dass ich...",translate,translated,displayed-string,856347be48cb55b5517e9b7948c0378fe692e835fa4b40de2f3883fd856e5218
5e99aae2cc601eb92dc88272,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
aac9cd9b46a966e5db788021,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,3,4,string 4,It could very well have been me...,"Es hätte sehr gut sein können, dass ich...",translate,translated,displayed-string,856347be48cb55b5517e9b7948c0378fe692e835fa4b40de2f3883fd856e5218
bd10152863358364262144fc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bb_d075_m010_010.mbe/000_Sheet1.csv,4,2,string 2,...!,...!,protected,protected,non-linguistic,10069c101bcc95c1e9d82d15bfa09c57f4d2d732534878c2195b5f3a83764abe
