cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
6abdaa49df8656466d516b4f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
c066d430e4b0a87a12d9b5ef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
c4808d2458ad89bf43779e82,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Subject: Tsubasa Kawana},{fc(57e4f1)Betrifft: Tsubasa Kawana},translate,translated,displayed-string:fc-repair,86bbd3980dd7bb37d21d10f96601867bd2869db60051de252e369d211564ef40
6f35729ff6550c840a5ceb5f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Subject: Tsubasa Kawana},{fc(57e4f1)Betrifft: Tsubasa Kawana},translate,translated,displayed-string:fc-repair,86bbd3980dd7bb37d21d10f96601867bd2869db60051de252e369d211564ef40
88a02c72f4675eb071c7c6db,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Cause of death: Hemorrhagic shock. Estimated time of death: Day 80, between 5:00 and 8:00 am.}","{fc(57e4f1)Todesursache: Hämorrhagischer Schock. Geschätzter Todeszeitpunkt: Tag 80, zwischen 5:00 und 8:00 Uhr.}",translate,translated,displayed-string:fc-repair,53cf72be2cab2e3faac385f13c36879d18604632f24795e4be0b11f562ae4011
99f9ba55291c289c2885b4f4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Cause of death: Hemorrhagic shock. Estimated time of death: Day 80, between 5:00 and 8:00 am.}","{fc(57e4f1)Todesursache: Hämorrhagischer Schock. Geschätzter Todeszeitpunkt: Tag 80, zwischen 5:00 und 8:00 Uhr.}",translate,translated,displayed-string:fc-repair,53cf72be2cab2e3faac385f13c36879d18604632f24795e4be0b11f562ae4011
4805b4fd4083b630a5f0e52b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)Multiple stab wounds on the chest and abdomen. The murder weapon is likely a sharp blade about 8 in long.},{fc(57e4f1)Mehrere Stichwunden auf Brust und Bauch. Die Mordwaffe ist wahrscheinlich eine scharfe Klinge etwa 8 in lang.},translate,translated,displayed-string:fc-repair,69a7580c4d13ff0c7a3bfc326da2222a2a84f644392b6d0904c893c68909c23c
f7c133458ebd29e4a2b8aeaf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)Multiple stab wounds on the chest and abdomen. The murder weapon is likely a sharp blade about 8 in long.},{fc(57e4f1)Mehrere Stichwunden auf Brust und Bauch. Die Mordwaffe ist wahrscheinlich eine scharfe Klinge etwa 8 in lang.},translate,translated,displayed-string:fc-repair,69a7580c4d13ff0c7a3bfc326da2222a2a84f644392b6d0904c893c68909c23c
c0dbc498ed8951a55ffcc7f0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)Too much time has passed since death. Insufficient cryptoglobin present in body. Impossible to revive.},{fc(57e4f1)Zu viel Zeit ist seit dem Tod vergangen. Unzureichende Kryptoglobin im Körper vorhanden. Unmöglich zu beleben.},translate,translated,displayed-string:fc-repair,dd7877878972312b239a3842cf890233596eb9477a94f77dbb71c3548d57c750
327eb93c8ab8e3b6440629bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)Too much time has passed since death. Insufficient cryptoglobin present in body. Impossible to revive.},{fc(57e4f1)Zu viel Zeit ist seit dem Tod vergangen. Unzureichende Kryptoglobin im Körper vorhanden. Unmöglich zu beleben.},translate,translated,displayed-string:fc-repair,dd7877878972312b239a3842cf890233596eb9477a94f77dbb71c3548d57c750
904a75850b21b7696305377d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
a8e9c03be51859addcf37e6c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
d3bffe2539aa8fa41ce33ec6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Subject: Moko Mojiro},{fc(57e4f1)Betrifft: Moko Mojiro},translate,translated,displayed-string:fc-repair,9c0848b4b883a9657389c7e5c5f550e502bed72d6fe4ed994ad4e357664012b0
1e60bb675e95b80884d7922e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Subject: Moko Mojiro},{fc(57e4f1)Betrifft: Moko Mojiro},translate,translated,displayed-string:fc-repair,9c0848b4b883a9657389c7e5c5f550e502bed72d6fe4ed994ad4e357664012b0
79a7cebbea82e5d03d304201,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)Cause of death: Hemorrhagic shock. Estimated time of death: Day 80, between 5:00 and 8:00 am.}","{fc(57e4f1)Todesursache: Hämorrhagischer Schock. Geschätzter Todeszeitpunkt: Tag 80, zwischen 5:00 und 8:00 Uhr.}",translate,translated,displayed-string:fc-repair,53cf72be2cab2e3faac385f13c36879d18604632f24795e4be0b11f562ae4011
39273ba0ad981d4d2849278c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)Cause of death: Hemorrhagic shock. Estimated time of death: Day 80, between 5:00 and 8:00 am.}","{fc(57e4f1)Todesursache: Hämorrhagischer Schock. Geschätzter Todeszeitpunkt: Tag 80, zwischen 5:00 und 8:00 Uhr.}",translate,translated,displayed-string:fc-repair,53cf72be2cab2e3faac385f13c36879d18604632f24795e4be0b11f562ae4011
3d4a5abe3f3ad21456feb723,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)Lacerated carotid artery. The murder weapon is likely a sharp blade of unknown length.},{fc(57e4f1)Die Mordwaffe ist wahrscheinlich eine scharfe Klinge von unbekannter Länge.},translate,translated,displayed-string:fc-repair,9f933f2dd00f9443dd1d4fd2f82393d16bd617817cc81c44d0fdd2a97bb558ba
07c12e3a61e0a086c5db621c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)Lacerated carotid artery. The murder weapon is likely a sharp blade of unknown length.},{fc(57e4f1)Die Mordwaffe ist wahrscheinlich eine scharfe Klinge von unbekannter Länge.},translate,translated,displayed-string:fc-repair,9f933f2dd00f9443dd1d4fd2f82393d16bd617817cc81c44d0fdd2a97bb558ba
eadb1f03e8a4d778f052c22e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)Too much time has passed since death. Insufficient cryptoglobin present in body. Impossible to revive.},{fc(57e4f1)Zu viel Zeit ist seit dem Tod vergangen. Unzureichende Kryptoglobin im Körper vorhanden. Unmöglich zu beleben.},translate,translated,displayed-string:fc-repair,dd7877878972312b239a3842cf890233596eb9477a94f77dbb71c3548d57c750
aec58973389289d5b8167471,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,10,4,string 4,{fc(57e4f1)Too much time has passed since death. Insufficient cryptoglobin present in body. Impossible to revive.},{fc(57e4f1)Zu viel Zeit ist seit dem Tod vergangen. Unzureichende Kryptoglobin im Körper vorhanden. Unmöglich zu beleben.},translate,translated,displayed-string:fc-repair,dd7877878972312b239a3842cf890233596eb9477a94f77dbb71c3548d57c750
4aa45935c360f06adb52e34a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_bcb_d080_m040_010.mbe/000_Sheet1.csv,11,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
