cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c21fb5e41c86b8e5ee66eda4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 47,Tag 47,translate,translated,displayed-string,82033e3b1e7d33392fabfbcd6f5dde56f6ee2d96c0f04635e846c3cabedf6787
25e8a367f5c3249d858834a8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
68a690b38b3a9759b571832c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 47,Tag 47,translate,translated,displayed-string,82033e3b1e7d33392fabfbcd6f5dde56f6ee2d96c0f04635e846c3cabedf6787
034ac6848f764c4a8f34d36f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
2007eec66c0a22a4bf8672a9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_B_LoveLove_00_d047_m010_010_0030,s13_B_LoveLove_00_d047_m010_010_0030,protected,protected,resource-or-id,e6438e831ec7822a708553711a0b826df34bcd0039c0fa7de6ad99d1d124670a
f96eea5986e2e8c85f47dc03,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
b19b3292b7d5169697b6cafe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 47th day—,Machen Sie sich bereit für Ihren 47. Tag...,translate,translated,displayed-string,c8b520788502ad32cc8c587e944e331787a6a984e1827256cc08ae1c128360cf
2063b7bb6b7de3dba6b35b18,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_B_LoveLove_00_d047_m010_010_0040,s13_B_LoveLove_00_d047_m010_010_0040,protected,protected,resource-or-id,47abdc2c02092fa98cd98a8c325f082dbf8b8ab0c9dc9b42ec67d227e74df64b
9ab1dc1f8c69332d3c84bfb0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 47th day—,Machen Sie sich bereit für Ihren 47. Tag...,translate,translated,displayed-string,c8b520788502ad32cc8c587e944e331787a6a984e1827256cc08ae1c128360cf
e6eb21ec74646917bab1064d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_00_d047_m010_010.mbe/000_Sheet1.csv,4,2,string 2,of...active...service...,von...aktivem...Dienst...,translate,translated,displayed-string,1177799369ee653ea4db82331d7d3fa229547ddda895de7d72f87fc255053760
