cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9db1aadbf8e4fcb3d3746615,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,1,2,string 2,Party? What kind of party?,Was für eine Party?,translate,translated,displayed-string,886960138cc8550d3700091aa05c1f9b192c8c87c8881e2107cc5be56050fdfa
d47223ac60425f37575fa446,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d144938c65675bee90637068,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,1,4,string 4,Party? What kind of party?,Was für eine Party?,translate,translated,displayed-string,886960138cc8550d3700091aa05c1f9b192c8c87c8881e2107cc5be56050fdfa
ba0e04fef6ed53482af2ddd5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,2,2,string 2,"Huh? Just a party, bro. Who needs a reason to party?","Wer braucht einen Grund, um zu feiern?",translate,translated,displayed-string,78e255e78f4ee947575a26123a202c41e87369a86e2ab7e5cfd9d6086d82cec0
6a9df85d93ed6c59e4647d7f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
222ea46d0cb73a8dcdc08f6b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,2,4,string 4,"Huh? Just a party, bro. Who needs a reason to party?","Wer braucht einen Grund, um zu feiern?",translate,translated,displayed-string,78e255e78f4ee947575a26123a202c41e87369a86e2ab7e5cfd9d6086d82cec0
835065003410af248bd98e8e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,3,2,string 2,But...parties are meant to celebrate something.,Aber... Parteien sollen etwas feiern.,translate,translated,displayed-string,9b88da003ae44c58e8ca87eed9bf51376322cf9a1dcc1a7735249b572b571aba
8c32e3d177364caf86c08608,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a33403a93547717f636648d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,3,4,string 4,But...parties are meant to celebrate something.,Aber... Parteien sollen etwas feiern.,translate,translated,displayed-string,9b88da003ae44c58e8ca87eed9bf51376322cf9a1dcc1a7735249b572b571aba
b2d36c84979236bb836d0984,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,4,2,string 2,"Dude, you are so freaking clueless. A party is about the ritual!","Alter, du bist so verdammt ahnungslos. Eine Party ist über das Ritual!",translate,translated,displayed-string,c0816d3e9e280c8f7ab97a54297938618405fb2f3dedd55d5b68a8e8516ef070
02c5346653d0071771d69fd4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e0b774091a2d45cfcdd23273,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,4,4,string 4,"Dude, you are so freaking clueless. A party is about the ritual!","Alter, du bist so verdammt ahnungslos. Eine Party ist über das Ritual!",translate,translated,displayed-string,c0816d3e9e280c8f7ab97a54297938618405fb2f3dedd55d5b68a8e8516ef070
97ee2548a6dcf10ce219c168,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,5,2,string 2,"You decorate the place real nice, lay out some good food on a table and, BAM! That's a party.","Sie schmücken den Ort wirklich schön, legen etwas gutes Essen auf einen Tisch und, BAM! Das ist eine Party.",translate,translated,displayed-string,1b96d237104a21a3f91d3fe20b4f49ea66ebd3fe5a8aaf6facaa2684116065d4
bbd5f1907bbfc08dc29f5776,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
91b12227dcacd0ecc7477d5d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,5,4,string 4,"You decorate the place real nice, lay out some good food on a table and, BAM! That's a party.","Sie schmücken den Ort wirklich schön, legen etwas gutes Essen auf einen Tisch und, BAM! Das ist eine Party.",translate,translated,displayed-string,1b96d237104a21a3f91d3fe20b4f49ea66ebd3fe5a8aaf6facaa2684116065d4
3c66513425dad391f437fe18,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,6,2,string 2,"We can eat as much of our favorite food as we want with the Ration-O-Matic, so we'd be stupid not to party every day!","Wir können so viel von unserem Lieblingsessen essen, wie wir wollen, mit der Ration-O-Matic, so dass wir dumm wären, nicht jeden Tag zu feiern!",translate,translated,displayed-string,70a5d7f4e0b03882289a82c207ce3ce0d632d16b8333c28c307aec6a51d1cc17
0b783a5604157df8a6767b0f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ca4bcdf7fe0bc0b08b385cc6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,6,4,string 4,"We can eat as much of our favorite food as we want with the Ration-O-Matic, so we'd be stupid not to party every day!","Wir können so viel von unserem Lieblingsessen essen, wie wir wollen, mit der Ration-O-Matic, so dass wir dumm wären, nicht jeden Tag zu feiern!",translate,translated,displayed-string,70a5d7f4e0b03882289a82c207ce3ce0d632d16b8333c28c307aec6a51d1cc17
31386d2fc89512404aaa06dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,7,2,string 2,"So it's PARTY TIME, BRO. Help me put these decorations up!","Also ist es PARTY time, BRO. Helfen Sie mir, diese Dekorationen auf!",translate,translated,displayed-string,4983ae96509da50479cfbbb335cac9af386e0bbf18ee151a9dbb45b32483be66
089b579ddb89e5c76aa86d7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
67bf44e6e66875da44eed50d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,7,4,string 4,"So it's PARTY TIME, BRO. Help me put these decorations up!","Also ist es PARTY time, BRO. Helfen Sie mir, diese Dekorationen auf!",translate,translated,displayed-string,4983ae96509da50479cfbbb335cac9af386e0bbf18ee151a9dbb45b32483be66
00f651116129d464c337e2d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)I can't keep up with his over-the-top excitement...},{fc(57e4f1)Ich kann nicht mithalten mit seiner übertriebenen Aufregung...},translate,translated,displayed-string:fc-repair,76adf85a66f2d3645ac6b24e1aed1ef627b97b797b9973aa6b061e707b8467c9
40f815ac45a36a1f947b7aaf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)I can't keep up with his over-the-top excitement...},{fc(57e4f1)Ich kann nicht mithalten mit seiner übertriebenen Aufregung...},translate,translated,displayed-string:fc-repair,76adf85a66f2d3645ac6b24e1aed1ef627b97b797b9973aa6b061e707b8467c9
0bc7fccb6df6c759009fd852,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)I decided to ignore Gaku's hyper behavior and went back to my room.},"{fc(57e4f1)Ich beschloss, Gakus Hyperverhalten zu ignorieren und ging zurück in mein Zimmer.}",translate,translated,displayed-string:fc-repair,48701d4dfcbe75f1cd8babfd2bab29e68930c3d29a4dbb79883d85cec8651658
5be59092af18a32c84e8f739,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr007gaku_01.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)I decided to ignore Gaku's hyper behavior and went back to my room.},"{fc(57e4f1)Ich beschloss, Gakus Hyperverhalten zu ignorieren und ging zurück in mein Zimmer.}",translate,translated,displayed-string:fc-repair,48701d4dfcbe75f1cd8babfd2bab29e68930c3d29a4dbb79883d85cec8651658
