cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
eb98c201ca3c272eb0ec30e9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)We were back in our original timeline. Immediately, I was overcome with intense palpitations.}",{fc(57e4f1)Wir waren zurück in unserer ursprünglichen Zeitlinie. Sofort war ich von intensiven Herzklopfen überwältigt.},translate,translated,displayed-string:fc-repair,9a553b4eab6e114414c7e86f519b2c31b7ea439e259d69fa3631efbe2b7a404b
0fe972115e275a9b8fcd1e05,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)We were back in our original timeline. Immediately, I was overcome with intense palpitations.}",{fc(57e4f1)Wir waren zurück in unserer ursprünglichen Zeitlinie. Sofort war ich von intensiven Herzklopfen überwältigt.},translate,translated,displayed-string:fc-repair,9a553b4eab6e114414c7e86f519b2c31b7ea439e259d69fa3631efbe2b7a404b
b59d09b6057c4bba3cedc795,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)The world was spinning around me... I could hardly breathe.},{fc(57e4f1)Die Welt drehte sich um mich... ich konnte kaum atmen.},translate,translated,displayed-string:fc-repair,72f6ee8c562563b3710d1e444b5f8a395d3aff56b27e99378e1f8b3bb42d4571
6602f767b71045e509fdbd1f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)The world was spinning around me... I could hardly breathe.},{fc(57e4f1)Die Welt drehte sich um mich... ich konnte kaum atmen.},translate,translated,displayed-string:fc-repair,72f6ee8c562563b3710d1e444b5f8a395d3aff56b27e99378e1f8b3bb42d4571
dcd3a8ccdc3642e4e3714fef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)At first, I blamed the leap suit.}",{fc(57e4f1)Zuerst gab ich dem Sprunganzug die Schuld.},translate,translated,displayed-string:fc-repair,2e372fa6cf244d6bfd22b85508e799021e5820bcacaa7c59d0677791b668beae
dbb38ad8f2041ffc21d93f24,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)At first, I blamed the leap suit.}",{fc(57e4f1)Zuerst gab ich dem Sprunganzug die Schuld.},translate,translated,displayed-string:fc-repair,2e372fa6cf244d6bfd22b85508e799021e5820bcacaa7c59d0677791b668beae
040a4c4a7f5ecc5aa16406d7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)I peeled it off, putting my hand on my chest and breathing deeply.}","{fc(57e4f1)Ich schälte es ab, legte meine Hand auf meine Brust und atmete tief.}",translate,translated,displayed-string:fc-repair,895e2770d59bc1ea9efe60b896b8fa707567cb3ff0f901ef91eda12eb9edba45
d93edfa0b54f3e04887e201c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)I peeled it off, putting my hand on my chest and breathing deeply.}","{fc(57e4f1)Ich schälte es ab, legte meine Hand auf meine Brust und atmete tief.}",translate,translated,displayed-string:fc-repair,895e2770d59bc1ea9efe60b896b8fa707567cb3ff0f901ef91eda12eb9edba45
479a3bd3b976d74e64a3ef81,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)There was no sign of the pain getting better. My heart raced, my head spun, and my lungs ached...}","{fc(57e4f1)Mein Herz raste, mein Kopf drehte sich, und meine Lungen schmerzten...}",translate,translated,displayed-string:fc-repair,4b2d25c6dc8a9f3a4be41c2be03a8dd71090d5a039cc35b31c4e2b3217ff9f63
81608f5f3db8423cbed908cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)There was no sign of the pain getting better. My heart raced, my head spun, and my lungs ached...}","{fc(57e4f1)Mein Herz raste, mein Kopf drehte sich, und meine Lungen schmerzten...}",translate,translated,displayed-string:fc-repair,4b2d25c6dc8a9f3a4be41c2be03a8dd71090d5a039cc35b31c4e2b3217ff9f63
40bdd10dbf245ca4a3e1d4ad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,6,2,string 2,"Wh-What's wrong, Takumi?!","Was ist los, Takumi?!",translate,translated,displayed-string,6f0c00d73384a8febbffeaec6d999bb5e4b2f34dc37370ec029eae3f51585064
25fbb09cc0d25a10ccd68bb8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,6,3,string2 3,s13_A_SFsfSFsf_B0_d050_m090_020_0060,s13_A_SFsfSFsf_B0_d050_m090_020_0060,protected,protected,resource-or-id,1e309bcf6bdd08d6126e22d20a7b1a49c6fea64c522a0ce9c5ff374cd1e507c4
d909faa581041b5c79dcb0fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,6,4,string 4,"Wh-What's wrong, Takumi?!","Was ist los, Takumi?!",translate,translated,displayed-string,6f0c00d73384a8febbffeaec6d999bb5e4b2f34dc37370ec029eae3f51585064
57f8980d6eac3047c2c60ad6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)Just as Hiruko rushed to my side, I lost all strength and fell to the ground.}","{fc(57e4f1)Als Hiruko an meine Seite eilte, verlor ich alle Kraft und fiel auf den Boden.}",translate,translated,displayed-string:fc-repair,15ef682aefb1d35b6d2a10987ec575a6c532d04e05d0ccd0d26125d40da89002
dccb9c95ed72ab2c8abb33fb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)Just as Hiruko rushed to my side, I lost all strength and fell to the ground.}","{fc(57e4f1)Als Hiruko an meine Seite eilte, verlor ich alle Kraft und fiel auf den Boden.}",translate,translated,displayed-string:fc-repair,15ef682aefb1d35b6d2a10987ec575a6c532d04e05d0ccd0d26125d40da89002
6fddb5c0f818928293cd859c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)Suddenly, she was holding me in her arms.}",{fc(57e4f1)Plötzlich hielt sie mich in ihren Armen.},translate,translated,displayed-string:fc-repair,4f19217f9f3d873513edb171ebd7be64d85e0aff87230ee2a37e43c395c1fff6
66612a85ab6994aa14e20e3a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)Suddenly, she was holding me in her arms.}",{fc(57e4f1)Plötzlich hielt sie mich in ihren Armen.},translate,translated,displayed-string:fc-repair,4f19217f9f3d873513edb171ebd7be64d85e0aff87230ee2a37e43c395c1fff6
5f1a835a5ccca19e55c74256,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,9,2,string 2,"You're okay, Takumi! Stay with me...!","Du bist okay, Takumi, bleib bei mir!",translate,translated,displayed-string,2ed02bafe1d9772f2893d1d69b5bdc76bfb6d7eeed8aede5624502ecb20d95ea
0bfc3ac50237693d18789d52,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,9,3,string2 3,s13_A_SFsfSFsf_B0_d050_m090_020_0090,s13_A_SFsfSFsf_B0_d050_m090_020_0090,protected,protected,resource-or-id,2cee878ee57d1f22dc0bf4d403c554277946920afa449e0712b05ae695d5ef15
459a943d156ff0498c4ce297,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,9,4,string 4,"You're okay, Takumi! Stay with me...!","Du bist okay, Takumi, bleib bei mir!",translate,translated,displayed-string,2ed02bafe1d9772f2893d1d69b5bdc76bfb6d7eeed8aede5624502ecb20d95ea
44b4fd010fb9befe062e149b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,10,2,string 2,"{fc(57e4f1)I wanted to scream to her that I wasn't okay at all, but I couldn't make a sound.}","{fc(57e4f1)Ich wollte sie anschreien, dass es mir überhaupt nicht gut ging, aber ich konnte kein Geräusch machen.}",translate,translated,displayed-string:fc-repair,b9e1cbc817f517069f90dbfefbb7bdfac07e42e8d5c2cfcff0f7a2ebdf86dc9e
be056dd3f2c675ef385f3709,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,10,4,string 4,"{fc(57e4f1)I wanted to scream to her that I wasn't okay at all, but I couldn't make a sound.}","{fc(57e4f1)Ich wollte sie anschreien, dass es mir überhaupt nicht gut ging, aber ich konnte kein Geräusch machen.}",translate,translated,displayed-string:fc-repair,b9e1cbc817f517069f90dbfefbb7bdfac07e42e8d5c2cfcff0f7a2ebdf86dc9e
77aa244303b832efc6e81867,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,11,2,string 2,{fc(57e4f1)I couldn't breathe normally.},{fc(57e4f1)Ich konnte nicht normal atmen.},translate,translated,displayed-string:fc-repair,f12ef8e87f1f1f1529102b0258a3cc077078c2f5c8fe3f2fdc90aa387721473b
f6637b3df42b7856a5cd67b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,11,4,string 4,{fc(57e4f1)I couldn't breathe normally.},{fc(57e4f1)Ich konnte nicht normal atmen.},translate,translated,displayed-string:fc-repair,f12ef8e87f1f1f1529102b0258a3cc077078c2f5c8fe3f2fdc90aa387721473b
b96903e6628b8a7bae672228,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,12,2,string 2,"{fc(57e4f1)All my air was gone, as if someone had sucked it out with a straw.}","{fc(57e4f1)Meine ganze Luft war weg, als hätte es jemand mit einem Strohhalm ausgesaugt.}",translate,translated,displayed-string:fc-repair,41039ace85941e3800b6d9e652de978bf34c0948ac5626a1b0925115f0effc17
53c57be6fc45fed10f53f064,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,12,4,string 4,"{fc(57e4f1)All my air was gone, as if someone had sucked it out with a straw.}","{fc(57e4f1)Meine ganze Luft war weg, als hätte es jemand mit einem Strohhalm ausgesaugt.}",translate,translated,displayed-string:fc-repair,41039ace85941e3800b6d9e652de978bf34c0948ac5626a1b0925115f0effc17
5e25dff7fc9cc966a86673aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,13,2,string 2,Don't tell me...!,Sag mir nicht...!,translate,translated,displayed-string,1a7bc55af9b75785eea7d88adf52b2605efc52e0401fcf12d8588dfed33d4471
020a101eb747b7bbebc516ad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,13,3,string2 3,s13_A_SFsfSFsf_B0_d050_m090_020_0130,s13_A_SFsfSFsf_B0_d050_m090_020_0130,protected,protected,resource-or-id,67723fc67acf9759a698ae38354e16d55958476f8f17c40cec67cd1b34c974a7
c24f10e79a8f89e57a8bd25e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,13,4,string 4,Don't tell me...!,Sag mir nicht...!,translate,translated,displayed-string,1a7bc55af9b75785eea7d88adf52b2605efc52e0401fcf12d8588dfed33d4471
8ef9af1ce39e9e91d8ef4ddd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_b0_d050_m090_020.mbe/000_Sheet1.csv,14,2,string 2,"{fc(57e4f1)Still supporting me with one arm, Hiruko reached for the leap suit on the ground.}","{fc(57e4f1)Noch mit einem Arm unterstützt, griff Hiruko nach dem Sprunganzug auf dem Boden.}",translate,translated,displayed-string:fc-repair,0fd829218e0bf7fe5fe045185ac33c32cc3c8bd39635e09cc0c4dd704fdab383
