cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
0232e678ea2115dcb3a96065,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,1,2,string 2,"I only have a little {fc(ff635b)cryptoglobin}, so I didn't feel more than a hint of a cold, but...","Ich habe nur ein wenig {fc(ff635b)Cryptoglobin}, also fühlte ich mich nicht mehr als ein Hauch von einer Erkältung, aber...",translate,translated,displayed-string:fc-repair,944d4d1412b804fdd7c95673ff61ff1fe809e9567a55ec19ed1791dac5e7bf19
fb0af99aeed6992a9e02b414,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f751c67d0dc815e87470e0c1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,1,4,string 4,"I only have a little {fc(ff635b)cryptoglobin}, so I didn't feel more than a hint of a cold, but...","Ich habe nur ein wenig {fc(ff635b)Cryptoglobin}, also fühlte ich mich nicht mehr als ein Hauch von einer Erkältung, aber...",translate,translated,displayed-string:fc-repair,944d4d1412b804fdd7c95673ff61ff1fe809e9567a55ec19ed1791dac5e7bf19
b3e56d26799619846b4c8e29,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,2,2,string 2,"If anyone else had taken it, I think their symptoms would have been even worse.","Wenn es jemand anderes genommen hätte, wären ihre Symptome noch schlimmer gewesen.",translate,translated,displayed-string,8b9d7a20c64ee16bf253a16256aa1b6f210050065d72f60d65b52df6c4859ffa
d6ca03dafcf4c6f6e74f4e07,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f34ddd65ccf1c2fc01c23d13,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,2,4,string 4,"If anyone else had taken it, I think their symptoms would have been even worse.","Wenn es jemand anderes genommen hätte, wären ihre Symptome noch schlimmer gewesen.",translate,translated,displayed-string,8b9d7a20c64ee16bf253a16256aa1b6f210050065d72f60d65b52df6c4859ffa
817a54dc121d7994fa4db536,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,3,2,string 2,"So that's why you volunteered. But still, that was way too reckless.","Deshalb hast du dich freiwillig gemeldet, aber das war viel zu rücksichtslos.",translate,translated,displayed-string,300b2f79ea24623dd8daa0e6283a01c913f68e975fe98caf7d742d93b73fe685
3ead6faaadc0cd7c868d05d5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f4f6d52f07559e97240774e9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,3,4,string 4,"So that's why you volunteered. But still, that was way too reckless.","Deshalb hast du dich freiwillig gemeldet, aber das war viel zu rücksichtslos.",translate,translated,displayed-string,300b2f79ea24623dd8daa0e6283a01c913f68e975fe98caf7d742d93b73fe685
453e5da99e0348590e1f236f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/r00_0_1sttruer_00_d080_m030_050.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Just then, I thought I heard several sets of footsteps from out in the hall...}","{fc(57e4f1)Gerade dann dachte ich, ich hörte mehrere Schritte von draußen im Flur...}",translate,translated,displayed-string:fc-repair,3bc79b6992f66bdec799e2cde6be95c4de563239c9ab5a0e49ac4ad0e07c6912
