cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
14ef573b40b90c71b7f29d6c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,1,2,string 2,God of the planet...,Gott des Planeten...,translate,translated,displayed-string,88dc87c84f752a9cdc6c13e4f12709d3a8b1a522618e96e7dc86ba3c679cf665
899da77f9f5c86866e181cc0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
884d2cdbd0e13942b4c2fa31,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,1,4,string 4,God of the planet...,Gott des Planeten...,translate,translated,displayed-string,88dc87c84f752a9cdc6c13e4f12709d3a8b1a522618e96e7dc86ba3c679cf665
2311aea284800060cc4f0463,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,2,2,string 2,Hear my plea and lend me thy strength.,Höre meine Bitte und leihe mir deine Kraft.,translate,translated,displayed-string,192bbe32d96504dabf90434f999d97242b5d17de94c26b59f22acb29054bf581
08f0ef412e1d92887d2e7347,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0f16e35f340076038a3fe01b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,2,4,string 4,Hear my plea and lend me thy strength.,Höre meine Bitte und leihe mir deine Kraft.,translate,translated,displayed-string,192bbe32d96504dabf90434f999d97242b5d17de94c26b59f22acb29054bf581
6b9e4ea532f061325184f255,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"Blood of my bond, release!","Blut meiner Bindung, loslassen!",translate,translated,displayed-string,5fc5abdcf3165c45fc8b0661f6baf12e75d76caef14398b9a6ed5129ba3059c5
3e97a857189da89aa148a62d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
14e21379da8b5a1f8b74e054,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"Blood of my bond, release!","Blut meiner Bindung, loslassen!",translate,translated,displayed-string,5fc5abdcf3165c45fc8b0661f6baf12e75d76caef14398b9a6ed5129ba3059c5
205fd9b0620878a9b0c4e5c1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"It is I, the {fc(ff635b)Paragon of Warfare} Dahl'xia!","Ich bin es, die {fc(ff635b)Paragon der Kriegsführung} Dahl'xia!",translate,translated,displayed-string:fc-repair,1c7f30b5f8633980ba48f1453713ac8e3c7ae0c9ce0af34f2a363ad62898e71a
ded963904ac3a43055ee5a2f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0f479a94ca90dc90069b0a3e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,4,4,string 4,"It is I, the {fc(ff635b)Paragon of Warfare} Dahl'xia!","Ich bin es, die {fc(ff635b)Paragon der Kriegsführung} Dahl'xia!",translate,translated,displayed-string:fc-repair,1c7f30b5f8633980ba48f1453713ac8e3c7ae0c9ce0af34f2a363ad62898e71a
481c6093298b091a05fc394d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,5,2,string 2,I have come!,Ich bin gekommen!,translate,translated,displayed-string,0b2c16f4a35ca6d8d36c6a7473c595d6ed0b0bd42dc5a2b5b39b3eb2018fe3ce
1428591e8d34e7be141366d7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
14dc3cb7dec34d911101e903,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_ab_d093_m040_010.mbe/000_Sheet1.csv,5,4,string 4,I have come!,Ich bin gekommen!,translate,translated,displayed-string,0b2c16f4a35ca6d8d36c6a7473c595d6ed0b0bd42dc5a2b5b39b3eb2018fe3ce
