cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
420d0e31b267009d06895442,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"Tsubasa... I really wish there were another way, but... Will you do it?","Tsubasa... ich wünschte, es gäbe einen anderen Weg, aber... wirst du es tun?",translate,translated,displayed-string,a2fbd69cfd99320e6a6684f38c718bffc3d97f8f8b84e65083e47eacc5aeb189
445e0681f06b8628f3d8f958,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,s10_B_KawanaTk_00_d015_m010_010_0010,s10_B_KawanaTk_00_d015_m010_010_0010,protected,protected,resource-or-id,262534a6120cb2c7f9e8a168462ad513c8f48ec3b3fb662f51259c4fa1746dfe
2e1f258b78fd7878814cd210,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"Tsubasa... I really wish there were another way, but... Will you do it?","Tsubasa... ich wünschte, es gäbe einen anderen Weg, aber... wirst du es tun?",translate,translated,displayed-string,a2fbd69cfd99320e6a6684f38c718bffc3d97f8f8b84e65083e47eacc5aeb189
6173c0da17877b270405e219,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,2,2,string 2,Huh...? M-Me?,Hm...? M-Me?,translate,translated,displayed-string,ded5684cb73c87033d180564ea52feaa94c41eda567606dae4d6e9039af1ca21
81d0e92b2b3082abadbd51fd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s10_B_KawanaTk_00_d015_m010_010_0020,s10_B_KawanaTk_00_d015_m010_010_0020,protected,protected,resource-or-id,c5f1c6e2122877d0dab85336cd464091847ae589b4b5ba0ee684ad4da7fce752
ddd228e3e5fc9e7bc9c7fc68,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,2,4,string 4,Huh...? M-Me?,Hm...? M-Me?,translate,translated,displayed-string,ded5684cb73c87033d180564ea52feaa94c41eda567606dae4d6e9039af1ca21
6b361b78cde58c56394a9c03,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Wait, Sir Takumi! Why Lady Tsubasa and not me...?!","Warten Sie, Sir Takumi! Warum Lady Tsubasa und nicht ich...?!",translate,translated,displayed-string,02f5301c64933b7f8c958c0ecd88b62108ff40e37db0637123a837d740fc05be
e685e16e9eb08ffefd0bf19c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s10_B_KawanaTk_00_d015_m010_010_0030,s10_B_KawanaTk_00_d015_m010_010_0030,protected,protected,resource-or-id,8f0aff74a8c2126e7e5bd770fad0117ab97069a1b4f490fd0f40719c33126a3d
7a70d96759acd4d3eecbd078,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Wait, Sir Takumi! Why Lady Tsubasa and not me...?!","Warten Sie, Sir Takumi! Warum Lady Tsubasa und nicht ich...?!",translate,translated,displayed-string,02f5301c64933b7f8c958c0ecd88b62108ff40e37db0637123a837d740fc05be
303585266c22af903ba7674c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Y-You gotta reconsider! If you're gonna make her, I'll fuckin' do it instead, man!","Wenn du sie dazu bringst, mach ich's lieber, Mann!",translate,translated,displayed-string,fd368063b0fc942dc1624bb9b0f50465441207e34100e1e578a7a5a0a5b7ed07
0f00a70018c4157de0315093,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_00_d015_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s10_B_KawanaTk_00_d015_m010_010_0040,s10_B_KawanaTk_00_d015_m010_010_0040,protected,protected,resource-or-id,3b3b3a7bd337cd2b794700423dcb072a139ed0f791ef4702f95fdf22ec4447dd
