cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
88ed38917f117eab21e1f5d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 45,Tag 45,translate,translated,displayed-string,3719257efa8466ee3a9570093389b27982908f13f9bf72bcc6bec18f20f6b8df
052f867c6fc553a212efa0cf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
85d30197cf7d181a6d68ca48,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 45,Tag 45,translate,translated,displayed-string,3719257efa8466ee3a9570093389b27982908f13f9bf72bcc6bec18f20f6b8df
e16ca523428a2b2e41cb881f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,2,2,string 2,The analysis equipment is complete! Let's fire it up!,Die Analyseausrüstung ist komplett!,translate,translated,displayed-string,6fa73c65483c288927f5e3408c7cf35f7e7db1c60415514e55813be95bf5232a
c8161eb64715bf8d35813a14,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
588f15578b0df14fe8247e7d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,2,4,string 4,The analysis equipment is complete! Let's fire it up!,Die Analyseausrüstung ist komplett!,translate,translated,displayed-string,6fa73c65483c288927f5e3408c7cf35f7e7db1c60415514e55813be95bf5232a
a443461c2b7e31b8784b8368,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Tsubasa turned on the scanner, and there was an electronic whirring sound as the computer performed its analysis.}","{fc(57e4f1)Tsubasa schaltete den Scanner ein, und es gab einen elektronischen wirbelnden Ton, als der Computer seine Analyse durchführte.}",translate,translated,displayed-string:fc-repair,f4817ba945a308926fd9b47e39d2c495695a807a8c30279cb0cf97cd613a10d9
fbddea0caf5404e908f001fc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Tsubasa turned on the scanner, and there was an electronic whirring sound as the computer performed its analysis.}","{fc(57e4f1)Tsubasa schaltete den Scanner ein, und es gab einen elektronischen wirbelnden Ton, als der Computer seine Analyse durchführte.}",translate,translated,displayed-string:fc-repair,f4817ba945a308926fd9b47e39d2c495695a807a8c30279cb0cf97cd613a10d9
3432920ea5cf340d09012a10,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)After a while, a map appeared on the monitor, dotted with several glowing points.}",{fc(57e4f1)Nach einer Weile erschien auf dem Monitor eine Karte mit mehreren leuchtenden Punkten.},translate,translated,displayed-string:fc-repair,4d9a4fe3ad07d50dc94b54c81f36155ec9cafc15b40b19f971a307019f7a76ab
2fee7c8eeec77e7303a03da6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)After a while, a map appeared on the monitor, dotted with several glowing points.}",{fc(57e4f1)Nach einer Weile erschien auf dem Monitor eine Karte mit mehreren leuchtenden Punkten.},translate,translated,displayed-string:fc-repair,4d9a4fe3ad07d50dc94b54c81f36155ec9cafc15b40b19f971a307019f7a76ab
e64423df23f7340efe198195,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,5,2,string 2,So those glowing dots represent the potential locations of the other boxes?,Also stellen diese leuchtenden Punkte die möglichen Standorte der anderen Boxen dar?,translate,translated,displayed-string,1a4fd3a98b9a610034e3d797ed6a6fb2cbb2bb85ee8fd35ae70ba41cba8169f7
0a1ec36fafcb6c233bae8060,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3a991f2637a42e2b529ad6da,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,5,4,string 4,So those glowing dots represent the potential locations of the other boxes?,Also stellen diese leuchtenden Punkte die möglichen Standorte der anderen Boxen dar?,translate,translated,displayed-string,1a4fd3a98b9a610034e3d797ed6a6fb2cbb2bb85ee8fd35ae70ba41cba8169f7
fc89cc771c914940a60f8573,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,6,2,string 2,One of them is where we found the first box. That leaves 12 more.,"In einer davon fanden wir die erste Schachtel, so dass noch 12 übrig blieben.",translate,translated,displayed-string,fe4e1c168d5f4ef32570919bd1658b1c437ee29fd6cd9a850787ed52a36e7732
6c42611163ba7310bf9415f7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
27aa79ee0a12f7d17dd1258b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,6,4,string 4,One of them is where we found the first box. That leaves 12 more.,"In einer davon fanden wir die erste Schachtel, so dass noch 12 übrig blieben.",translate,translated,displayed-string,fe4e1c168d5f4ef32570919bd1658b1c437ee29fd6cd9a850787ed52a36e7732
c4326fa11814e8e2e6885ed7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"So if we visit these 12 spots, we'll be able to collect all of the Boxes of Blessings?","Wenn wir also diese 12 Orte besuchen, können wir alle Boxen der Segnungen einsammeln?",translate,translated,displayed-string,313c10516224ab6cddb7326a7a11e3353a3a74605c95cb57136d77758f323b4e
d523eec2be0f9d19e009af15,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
84031e2ef7467e14abc9e2d8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,7,4,string 4,"So if we visit these 12 spots, we'll be able to collect all of the Boxes of Blessings?","Wenn wir also diese 12 Orte besuchen, können wir alle Boxen der Segnungen einsammeln?",translate,translated,displayed-string,313c10516224ab6cddb7326a7a11e3353a3a74605c95cb57136d77758f323b4e
5895b2f2b9a8a13ceb339aff,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"Then let's get going! If we all go, we're sure to find them in no time at all!","Wenn wir alle gehen, werden wir sie in kürzester Zeit finden!",translate,translated,displayed-string,5851c0633ee7223a0013ff47e5c4d9f570356069eda185c67a3cc2f0b8edd137
c02a129b3782ba6f03c505d1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_00_d045_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
