cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
6b69a15a5e1b01e718a8a0ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,1,1,string 1,"Potion
User gains Attack +1.","Trank
User gewinnt Angriff +1.",translate,translated,displayed-string,581a04c643350eb0e9d765862435520b4ea13c16c1f29aa33276aa9a48effe3e
5d1a80ff477914c8caa3e196,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,2,1,string 1,"Potion
User gains Attack +1.","Trank
User gewinnt Angriff +1.",translate,translated,displayed-string,581a04c643350eb0e9d765862435520b4ea13c16c1f29aa33276aa9a48effe3e
e0921f6f0c76c48c5830aed8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,3,1,string 1,"Potion
User gains Attack +1.","Trank
User gewinnt Angriff +1.",translate,translated,displayed-string,581a04c643350eb0e9d765862435520b4ea13c16c1f29aa33276aa9a48effe3e
30631bdc6302f3f7f97c8b25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,4,1,string 1,"Potion
User gains Attack +1.","Trank
User gewinnt Angriff +1.",translate,translated,displayed-string,581a04c643350eb0e9d765862435520b4ea13c16c1f29aa33276aa9a48effe3e
46f00f90bd2c605f51ce6939,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,5,1,string 1,"Potion
User and any allies in range gain Attack +1.","Potion
User und alle Verbündeten im Bereich gewinnen Angriff +1.",translate,translated,displayed-string,5f01a478313ed3628fbf071b597fd13f87bd7168c2ba28a2e25bb402876a106a
ec426ea1c0c9c1210f14a6c3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,6,1,string 1,"Potion
User and any allies in range gain Attack +1.","Potion
User und alle Verbündeten im Bereich gewinnen Angriff +1.",translate,translated,displayed-string,5f01a478313ed3628fbf071b597fd13f87bd7168c2ba28a2e25bb402876a106a
29985bdca370c98368224490,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,7,1,string 1,"Potion
User and any allies in range gain Attack +1.","Potion
User und alle Verbündeten im Bereich gewinnen Angriff +1.",translate,translated,displayed-string,5f01a478313ed3628fbf071b597fd13f87bd7168c2ba28a2e25bb402876a106a
1638f91191395816d6c10673,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,8,1,string 1,"Potion
User and any allies in range gain Attack +1.","Potion
User und alle Verbündeten im Bereich gewinnen Angriff +1.",translate,translated,displayed-string,5f01a478313ed3628fbf071b597fd13f87bd7168c2ba28a2e25bb402876a106a
cc350a0013b1222c5510007c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,9,1,string 1,"Potion
User and any allies in range gain Attack +1.","Potion
User und alle Verbündeten im Bereich gewinnen Angriff +1.",translate,translated,displayed-string,5f01a478313ed3628fbf071b597fd13f87bd7168c2ba28a2e25bb402876a106a
82be14d49e152c4edb71c8d3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,10,1,string 1,"Potion
User and any allies in range gain Attack +2.","Potion
User und alle Verbündeten im Bereich gewinnen Angriff +2.",translate,translated,displayed-string,ab53187b1014cfafdd9eb6c6f2521b290755873369092d60b551a33d7624bd14
705cd7e1fcd71b117103c087,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,11,1,string 1,"Potion
User gains Move +3.
Heals Fatigue.","Potion
User gewinnt Bewegung +3.
Heals Müdigkeit.",translate,translated,displayed-string,882110b58f1fc511569b2c5ff6ec36e5b31dcdf96bea2c6f5ba85cfe592ca83b
0a4b1d93568223b095bd130b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,12,1,string 1,"Potion
User gains Move +3.
Heals Fatigue.","Potion
User gewinnt Bewegung +3.
Heals Müdigkeit.",translate,translated,displayed-string,882110b58f1fc511569b2c5ff6ec36e5b31dcdf96bea2c6f5ba85cfe592ca83b
51a4488c6371f2aec3474a5d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,13,1,string 1,"Potion
User gains Move +3.
Heals Fatigue.","Potion
User gewinnt Bewegung +3.
Heals Müdigkeit.",translate,translated,displayed-string,882110b58f1fc511569b2c5ff6ec36e5b31dcdf96bea2c6f5ba85cfe592ca83b
71d901ffbe8d8655b3e13d40,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,14,1,string 1,"Potion
User gains Move +3.
Heals Fatigue.","Potion
User gewinnt Bewegung +3.
Heals Müdigkeit.",translate,translated,displayed-string,882110b58f1fc511569b2c5ff6ec36e5b31dcdf96bea2c6f5ba85cfe592ca83b
1287157efc521103dadc6003,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,15,1,string 1,"Potion
User and any allies in range gain Move +3.
Heals Fatigue.","Potion
User und alle Verbündeten im Bereich gewinnen Move +3.
Heals Müdigkeit.",translate,translated,displayed-string,b57d9869a7c9714bac42c4a508f82f8458d6ed6892f972f064a5400b2dbb8b8c
aa3fd42c385af981519456f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_item_explanation.mbe/000_battle_item_explanation.csv,16,1,string 1,"Potion
User and any allies in range gain Move +3.
Heals Fatigue.","Potion
User und alle Verbündeten im Bereich gewinnen Move +3.
Heals Müdigkeit.",translate,translated,displayed-string,b57d9869a7c9714bac42c4a508f82f8458d6ed6892f972f064a5400b2dbb8b8c
