cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
2be2a805cac7c7293f5eabdb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,1,2,string 2,I came to make some underwear with the Gift-O-Matic. Some shiny leopard print briefs.,"Ich kam, um Unterwäsche mit dem Gift-O-Matic zu machen. Ein paar glänzende Slips mit Leopardenprint.",translate,translated,displayed-string,0e683d813abe20a1e1e4dec34c7dac43a1b46cf8d9cf4bc2deee82a01d2a51d2
945cea723c3e99741d98379a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c5229263ce581e2a836994f4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,1,4,string 4,I came to make some underwear with the Gift-O-Matic. Some shiny leopard print briefs.,"Ich kam, um Unterwäsche mit dem Gift-O-Matic zu machen. Ein paar glänzende Slips mit Leopardenprint.",translate,translated,displayed-string,0e683d813abe20a1e1e4dec34c7dac43a1b46cf8d9cf4bc2deee82a01d2a51d2
8ec83868da0939d52fa3d798,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,2,2,string 2,"L-Leopard print?! That's quite the statement piece, don't you think?!","L-Leopard-Druck?! Das ist doch das Statement-Stück, meinst du nicht?!",translate,translated,displayed-string,5dc06e7056f988e31c8654197a88ab712adadede3e49e4232b9f6e601f60ba66
df35408bb70baa0d2eeaef2a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
869f2f7c5d91aedf7604f28b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,2,4,string 4,"L-Leopard print?! That's quite the statement piece, don't you think?!","L-Leopard-Druck?! Das ist doch das Statement-Stück, meinst du nicht?!",translate,translated,displayed-string,5dc06e7056f988e31c8654197a88ab712adadede3e49e4232b9f6e601f60ba66
8423f191c6031afd71c01e01,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,3,2,string 2,Suits me just fine! You think I'd go around wearing lame-ass tighty-whities?,"Meinst du, ich würde mit Lahm-Arsch-Strumpfhosen rumgehen?",translate,translated,displayed-string,9c076f0eb0cb0b94542ef080eed4d0364c3d36ef8f42fc4ffa63d8f47f65b2ba
db4329cd5ce88c67be9dff84,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bed5f36bb90f675c4c933b02,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,3,4,string 4,Suits me just fine! You think I'd go around wearing lame-ass tighty-whities?,"Meinst du, ich würde mit Lahm-Arsch-Strumpfhosen rumgehen?",translate,translated,displayed-string,9c076f0eb0cb0b94542ef080eed4d0364c3d36ef8f42fc4ffa63d8f47f65b2ba
f5f26213615d033e464f8027,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,4,2,string 2,A man's gotta assert dominance from the groin out! He ain't got no spirit otherwise!,Ein Mann muss Dominanz aus der Leiste heraus behaupten! Anders hat er keinen Geist!,translate,translated,displayed-string,9d03f82ec05ebff1045076eafe221f1b4c4a2754569e52fe66116eec85fdf08f
e9ea52a0d58be6ca0ed05a17,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
012c22019ddbf079f3d6623e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr002take_04.mbe/000_Sheet1.csv,4,4,string 4,A man's gotta assert dominance from the groin out! He ain't got no spirit otherwise!,Ein Mann muss Dominanz aus der Leiste heraus behaupten! Anders hat er keinen Geist!,translate,translated,displayed-string,9d03f82ec05ebff1045076eafe221f1b4c4a2754569e52fe66116eec85fdf08f
