cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5e9bbfe8d6403a0cb1bce9d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,1,2,string 2,"I see... So, on this top-secret mission, you need to be able to see the backs of some kind of monsters wearing clothes?","Also, auf dieser streng geheimen Mission musst du in der Lage sein, den Rücken irgendeiner Art von Monstern zu sehen, die Kleidung tragen?",translate,translated,displayed-string,94a395f51a496984fc300dcc9c97beb12a2766690d3ec32784996a3fd5dd7989
6dc639bb882628f20e11614d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b36e79e7817e408cd18c2710,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,1,4,string 4,"I see... So, on this top-secret mission, you need to be able to see the backs of some kind of monsters wearing clothes?","Also, auf dieser streng geheimen Mission musst du in der Lage sein, den Rücken irgendeiner Art von Monstern zu sehen, die Kleidung tragen?",translate,translated,displayed-string,94a395f51a496984fc300dcc9c97beb12a2766690d3ec32784996a3fd5dd7989
714eef2eec58271cf651ca78,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,2,2,string 2,"Yes. They're incredibly vicious, so it's hard to get near them.","Sie sind unglaublich bösartig, also ist es schwer, in ihre Nähe zu kommen.",translate,translated,displayed-string,98a27a2c42c13ee13c7f74a9cf71c24de1ab5d6cb5240373baec2628c0a94e21
c68bb04c810f725425d1568b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cd50f3f3e1346dc845934f06,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,2,4,string 4,"Yes. They're incredibly vicious, so it's hard to get near them.","Sie sind unglaublich bösartig, also ist es schwer, in ihre Nähe zu kommen.",translate,translated,displayed-string,98a27a2c42c13ee13c7f74a9cf71c24de1ab5d6cb5240373baec2628c0a94e21
906bb6039e39d8d768881f50,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,3,2,string 2,But what kind of mission is this? I can't even imagine what kind of monster wears clothes...,"Aber was für eine Mission ist das? Ich kann mir gar nicht vorstellen, was für ein Monster Kleidung trägt...",translate,translated,displayed-string,c0cd6a3b3871ee4d8853b94cb3e3f25ad8249768f65ec8f8b09bf2e6a2a24ccc
caa4b37e1c9c3d193bd6e78d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
180b7dc702840085f90c6b21,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,3,4,string 4,But what kind of mission is this? I can't even imagine what kind of monster wears clothes...,"Aber was für eine Mission ist das? Ich kann mir gar nicht vorstellen, was für ein Monster Kleidung trägt...",translate,translated,displayed-string,c0cd6a3b3871ee4d8853b94cb3e3f25ad8249768f65ec8f8b09bf2e6a2a24ccc
822faa7d9d5cbf0b8a0bb2bb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,4,2,string 2,"It's top secret, so we can't tell you any more than that.","Es ist streng geheim, also können wir Ihnen nicht mehr als das sagen.",translate,translated,displayed-string,6afae554a54b814c2fe647356ec594e44303e8ade7e3a1b3bdaea37f5d7310ff
67d906ca06ada23e941f31bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ebf826e9987941fb379fb104,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,4,4,string 4,"It's top secret, so we can't tell you any more than that.","Es ist streng geheim, also können wir Ihnen nicht mehr als das sagen.",translate,translated,displayed-string,6afae554a54b814c2fe647356ec594e44303e8ade7e3a1b3bdaea37f5d7310ff
69734b9f626e86b1bfe50a81,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,5,2,string 2,But everyone's life depends on it.,Aber das Leben aller hängt davon ab.,translate,translated,displayed-string,2b725c60bc23f09a3e9cbfd50c6cb07cb68d60e5bc3c02ce31ddc9948adce297
36492421cf0e2dcf0922d674,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8206e4b4fd75a9f81dfc1051,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,5,4,string 4,But everyone's life depends on it.,Aber das Leben aller hängt davon ab.,translate,translated,displayed-string,2b725c60bc23f09a3e9cbfd50c6cb07cb68d60e5bc3c02ce31ddc9948adce297
a0cd26cecfcd09c98c61c735,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,6,2,string 2,Hmmm...,Hmmm...,translate,translated,displayed-string,be9742d6c03d8ff9ae29f03e43baa7daf624e99d71a222f004e025319b4c42b2
8758883dadf99f6b850c6ab4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
799888b151033c09ceab5b32,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,6,4,string 4,Hmmm...,Hmmm...,translate,translated,displayed-string,be9742d6c03d8ff9ae29f03e43baa7daf624e99d71a222f004e025319b4c42b2
d35bf46ead423199d68b5e20,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Tsubasa crossed her arms and thought for a while.},{fc(57e4f1)Tsubasa kreuzte ihre Arme und dachte eine Weile nach.},translate,translated,displayed-string:fc-repair,27e40be5348cfee0d000b62de31d9321adc40f070e9cf5f8ffd53f42571fe554
1fac458309e9ae200feae7a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Tsubasa crossed her arms and thought for a while.},{fc(57e4f1)Tsubasa kreuzte ihre Arme und dachte eine Weile nach.},translate,translated,displayed-string:fc-repair,27e40be5348cfee0d000b62de31d9321adc40f070e9cf5f8ffd53f42571fe554
40d310ee0814252a0ad88dd5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d074_m080_010.mbe/000_Sheet1.csv,8,2,string 2,"Okay. I can trust you two, so I'll help.","Okay, ich kann euch beiden vertrauen, also werde ich helfen.",translate,translated,displayed-string,51902d1297a70ce68cde322f24ee730ec6283e51882990bdadb23fdd68e1c96e
