cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ae511adcb554d66d62eb25d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,1,2,string 2,See? He transformed and got big. Told ya so!,Er verwandelte sich und wurde groß.,translate,translated,displayed-string,d1c3db7ff2f63d5b1c5ffd74ff69919245204ed2f7a5269c2788333d1009134e
9e405f434e61412d39331ffa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,1,3,string2 3,s13_0_SFtoLove_00_d007_m040_060_0010,s13_0_SFtoLove_00_d007_m040_060_0010,protected,protected,resource-or-id,e4c94ef18fa07138765c62cd6764429c55b0ddd618771ab0f5449ea8c91a4258
0ca6cff6c590effca2f0aef0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,1,4,string 4,See? He transformed and got big. Told ya so!,Er verwandelte sich und wurde groß.,translate,translated,displayed-string,d1c3db7ff2f63d5b1c5ffd74ff69919245204ed2f7a5269c2788333d1009134e
5d72f924ae64f21a3b22df3c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,2,2,string 2,You were talking about someone else when you said that!,"Du hast von jemand anderem gesprochen, als du das gesagt hast!",translate,translated,displayed-string,65e1b234fe9e190a40036d6ad4454850998262976ebefa0800fb27a5f9998815
b4a5c925dec93801128ce810,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,2,3,string2 3,s13_0_SFtoLove_00_d007_m040_060_0020,s13_0_SFtoLove_00_d007_m040_060_0020,protected,protected,resource-or-id,6b5434967828e0c57ac087bdf53353007298ad3ecd68bada50733e6d2b16008f
86363dc071703e9b3cc55ae9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,2,4,string 4,You were talking about someone else when you said that!,"Du hast von jemand anderem gesprochen, als du das gesagt hast!",translate,translated,displayed-string,65e1b234fe9e190a40036d6ad4454850998262976ebefa0800fb27a5f9998815
ee012e2e20293b81bd683133,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,3,2,string 2,"{fc(ff635b)Hoodie} over there hasn't done anything, though...","{fc(ff635b)Kapuzenpullover} da drüben hat nichts getan, obwohl...",translate,translated,displayed-string:fc-repair,e447e6d6c3a7f8c260eb66ee019133e5c4b7edbb9eae87a17e3f4789d0c73aff
4f020b6bc17d43190b9c6eb6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,3,3,string2 3,s13_0_SFtoLove_00_d007_m040_060_0030,s13_0_SFtoLove_00_d007_m040_060_0030,protected,protected,resource-or-id,2ea4f93fe0d9d73f4282ba50a0a3fae7f3e547387042b332e03b1edfda752a7a
48572909129d22d6da2f759a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,3,4,string 4,"{fc(ff635b)Hoodie} over there hasn't done anything, though...","{fc(ff635b)Kapuzenpullover} da drüben hat nichts getan, obwohl...",translate,translated,displayed-string:fc-repair,e447e6d6c3a7f8c260eb66ee019133e5c4b7edbb9eae87a17e3f4789d0c73aff
dc59c556b165573f92dd7b87,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_0_sftolove_00_d007_m040_060.mbe/000_Sheet1.csv,4,2,string 2,{fc(ff635b)Hoodie}?,{fc(ff635b)Kapuzenpullover}?,translate,translated,displayed-string:fc-repair,a757ec3d7519aa50c53fa5ab814a1483b2857c74e86ad1a8d47a0fa024081b58
