cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
099d427f7aae9c0d58e83561,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"First, we make for the coast.",Zuerst machen wir für die Küste.,translate,translated,displayed-string,946820097835eda1b84edc8aaa26cc3ce7e75795cf202a34243eee6572ebc333
a468bb95ec45f50f80ab40aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
04a640a2f4be0dde876e07c6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"First, we make for the coast.",Zuerst machen wir für die Küste.,translate,translated,displayed-string,946820097835eda1b84edc8aaa26cc3ce7e75795cf202a34243eee6572ebc333
ce559347cb4af0ed6fb42583,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,2,2,string 2,"Right. It's the closest, and I'm getting the strongest feeling from there, too.","Es ist das engste, und ich bekomme auch das stärkste Gefühl von dort.",translate,translated,displayed-string,dffc7d932f9915aa357df218a4fb956fc70a3129978162a400b0b1c86e791381
9394a262d0ad2c19f85c3917,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
de4432416144a5af9108a9ce,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,2,4,string 4,"Right. It's the closest, and I'm getting the strongest feeling from there, too.","Es ist das engste, und ich bekomme auch das stärkste Gefühl von dort.",translate,translated,displayed-string,dffc7d932f9915aa357df218a4fb956fc70a3129978162a400b0b1c86e791381
743dcff4aa6b596d3d415151,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"Aw man, I didn't pack our swimsuits!","Oh Mann, ich habe unsere Badeanzüge nicht gepackt!",translate,translated,displayed-string,3688daf5cbd8e57c6a26bfcf6ca80ff111f609521793dfe22a2d293cbbfae676
74b5df25df442cec52e1951c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
745562d349f0718d14ff38ed,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"Aw man, I didn't pack our swimsuits!","Oh Mann, ich habe unsere Badeanzüge nicht gepackt!",translate,translated,displayed-string,3688daf5cbd8e57c6a26bfcf6ca80ff111f609521793dfe22a2d293cbbfae676
cb09f7ade2f6b831b47d765e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"I usually charge extra for that kind of stuff, you know.","Normalerweise zahle ich extra für solche Sachen, weißt du.",translate,translated,displayed-string,47e3b6bf59c746144865767a11427b5c2682b5b3ca252bdc8af6f2071a1e110d
befa506f030883fc7a929077,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6f0f164812674efddeac1689,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,4,4,string 4,"I usually charge extra for that kind of stuff, you know.","Normalerweise zahle ich extra für solche Sachen, weißt du.",translate,translated,displayed-string,47e3b6bf59c746144865767a11427b5c2682b5b3ca252bdc8af6f2071a1e110d
b55b2d1176cd51a72c7739e1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,5,2,string 2,People pay to see YOU in one of those? I guess a real pro can monetize anything...,"Ich schätze, ein echter Profi kann alles monetarisieren...",translate,translated,displayed-string,abaa5295f71c4aad9bb452e691beaeafb713fc38fbbea8603a4f0d8c7ce40d88
8f309ccc522bed422922d86f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
64b450f389c43fb7385b2593,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_a0_d046_m040_010.mbe/000_Sheet1.csv,5,4,string 4,People pay to see YOU in one of those? I guess a real pro can monetize anything...,"Ich schätze, ein echter Profi kann alles monetarisieren...",translate,translated,displayed-string,abaa5295f71c4aad9bb452e691beaeafb713fc38fbbea8603a4f0d8c7ce40d88
