cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c1ac8150a0f9b658d1ee9929,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)After abandoning the now destroyed bus, we wandered around outside the Wall of Fire.}","{fc(57e4f1)Nachdem wir den jetzt zerstörten Bus verlassen hatten, wanderten wir außerhalb der Feuermauer umher.}",translate,translated,displayed-string:fc-repair,3e155431088ab04a21126fbfc16bc3aeb0522c2cacd4bac94b8f7390098c0f55
ee0cfbd22a13472d9a81b26a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)After abandoning the now destroyed bus, we wandered around outside the Wall of Fire.}","{fc(57e4f1)Nachdem wir den jetzt zerstörten Bus verlassen hatten, wanderten wir außerhalb der Feuermauer umher.}",translate,translated,displayed-string:fc-repair,3e155431088ab04a21126fbfc16bc3aeb0522c2cacd4bac94b8f7390098c0f55
1faa11a99e9f78cd0f5ad1e4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)We had no destination. We were just trying to get somewhere far away.},"{fc(57e4f1)Wir hatten kein Ziel, wir wollten nur weit weg sein.}",translate,translated,displayed-string:fc-repair,7fb4fb27cfeb56fd0c0a916810ba2102b766ba2defbb60f75b356c5a54b2df5b
3e5914fe26930509cd666cfa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)We had no destination. We were just trying to get somewhere far away.},"{fc(57e4f1)Wir hatten kein Ziel, wir wollten nur weit weg sein.}",translate,translated,displayed-string:fc-repair,7fb4fb27cfeb56fd0c0a916810ba2102b766ba2defbb60f75b356c5a54b2df5b
b10e355be9a70333e87775f7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,3,2,string 2,I wonder how much longer until the missiles launch...,"Ich frage mich, wie lange, bis die Raketen abfeuern...",translate,translated,displayed-string,36e642ca4ce8d4f47104a1f27a7dd6c33cf2ce8beb77790e19464e5929b9af26
58dd33918697735bcf05ca0b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bc64146e20d8945354e9ebad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,3,4,string 4,I wonder how much longer until the missiles launch...,"Ich frage mich, wie lange, bis die Raketen abfeuern...",translate,translated,displayed-string,36e642ca4ce8d4f47104a1f27a7dd6c33cf2ce8beb77790e19464e5929b9af26
c569ea5f6d3e8d282217a24a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"I have no clue... It could be in a minute, it could be in an hour.","Ich habe keine Ahnung... es könnte in einer Minute sein, es könnte in einer Stunde sein.",translate,translated,displayed-string,5132cccf6bcd5ceedd4fd4301d61844e9a2afe9c0279c171e0e16ac348a7c83a
7075b12eddbc32e7900d3d16,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
76939af71e5267a734f647b2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"I have no clue... It could be in a minute, it could be in an hour.","Ich habe keine Ahnung... es könnte in einer Minute sein, es könnte in einer Stunde sein.",translate,translated,displayed-string,5132cccf6bcd5ceedd4fd4301d61844e9a2afe9c0279c171e0e16ac348a7c83a
02753ffba4ca8e26645d3350,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,5,2,string 2,"But what I do know is that if we give up now, we don't stand a chance.","Aber ich weiß, wenn wir jetzt aufgeben, haben wir keine Chance.",translate,translated,displayed-string,c3d8bfefeb0dc6cb893b2e2fc89ee0614620b264eeb937e90243acbb20281e37
3572974761881f5890d19d13,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4bbf6ee90447b12697da2378,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,5,4,string 4,"But what I do know is that if we give up now, we don't stand a chance.","Aber ich weiß, wenn wir jetzt aufgeben, haben wir keine Chance.",translate,translated,displayed-string,c3d8bfefeb0dc6cb893b2e2fc89ee0614620b264eeb937e90243acbb20281e37
2b6e88c3574fb96b428d19ed,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,6,2,string 2,"Truly, it's game over if we resign ourselves now...","Es ist wirklich vorbei, wenn wir uns jetzt zurückziehen...",translate,translated,displayed-string,07c76c1f073718de8fc7c24837ce36ed68ce41257f1544b572e5d44f3674c0ed
70508a3f3642656a70a9f189,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,6,3,string2 3,s14_A_Splatter_Aab_d100_m020_010_0060,s14_A_Splatter_Aab_d100_m020_010_0060,protected,protected,resource-or-id,bf2ae0aa96e8beb83dc26f77355da119751743c97ecd8bb0796ac376e3574ff3
9d767c705e1e8c60892c5bb7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,6,4,string 4,"Truly, it's game over if we resign ourselves now...","Es ist wirklich vorbei, wenn wir uns jetzt zurückziehen...",translate,translated,displayed-string,07c76c1f073718de8fc7c24837ce36ed68ce41257f1544b572e5d44f3674c0ed
2447461959665ff70dd4fb24,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,7,2,string 2,That's right... Maybe there's some kind of bomb shelter or something around.,Vielleicht gibt es da eine Art Bombenschutz oder so was.,translate,translated,displayed-string,8dbeea97c2b7e4610aa2f532bb07ca1e547e6af0eae4791df4997a586e3b1113
dcee15698877dfb4a7905e14,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d265c67738dab8b64c547b5e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,7,4,string 4,That's right... Maybe there's some kind of bomb shelter or something around.,Vielleicht gibt es da eine Art Bombenschutz oder so was.,translate,translated,displayed-string,8dbeea97c2b7e4610aa2f532bb07ca1e547e6af0eae4791df4997a586e3b1113
569573a269e1a37ed82a0d7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,8,2,string 2,"Let's go. Even if the missiles launch in one minute, moving is better than doing nothing.","Selbst wenn die Raketen in einer Minute starten, ist es besser, sich zu bewegen, als nichts zu tun.",translate,translated,displayed-string,6770ed8ea995be638b51c6de71b4b6b357ee9c63714609507ec2dfb0a29a975b
7f2cae0e52062676f027b6bd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,8,3,string2 3,s14_A_Splatter_Aab_d100_m020_010_0080,s14_A_Splatter_Aab_d100_m020_010_0080,protected,protected,resource-or-id,723b326f4a2e6976a4dcc89364b1aa938b80975ee7490e66119e158c0e931356
8fa6e54a9d5e484f913f6c39,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,8,4,string 4,"Let's go. Even if the missiles launch in one minute, moving is better than doing nothing.","Selbst wenn die Raketen in einer Minute starten, ist es besser, sich zu bewegen, als nichts zu tun.",translate,translated,displayed-string,6770ed8ea995be638b51c6de71b4b6b357ee9c63714609507ec2dfb0a29a975b
4d9d9cef23886af2cbab5621,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,9,2,string 2,"Yeah... We're together until the end, guys.","Ja, wir sind bis zum Ende zusammen, Leute.",translate,translated,displayed-string,a9988d8f01885496418ae1237eee68f112d870e61b1afedd8f970924cb6ccc76
e2cf3740c49a7733e063a0b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,9,3,string2 3,s14_A_Splatter_Aab_d100_m020_010_0090,s14_A_Splatter_Aab_d100_m020_010_0090,protected,protected,resource-or-id,7cc49a2edf9530ea3ef0c98dba86acfbb9931544731d0a5ca993a7307125451f
c25f566314e81adf05013ab6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,9,4,string 4,"Yeah... We're together until the end, guys.","Ja, wir sind bis zum Ende zusammen, Leute.",translate,translated,displayed-string,a9988d8f01885496418ae1237eee68f112d870e61b1afedd8f970924cb6ccc76
c20d07fe8678ef929df4ac93,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)We just kept on walking forward.},{fc(57e4f1)Wir gingen einfach weiter.},translate,translated,displayed-string:fc-repair,27f9084c01f427f3cfe778ba3eb38630df150c4b6b08c70d24594b7a1e5f9c97
43eee77bf267229f8c667fa2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,10,4,string 4,{fc(57e4f1)We just kept on walking forward.},{fc(57e4f1)Wir gingen einfach weiter.},translate,translated,displayed-string:fc-repair,27f9084c01f427f3cfe778ba3eb38630df150c4b6b08c70d24594b7a1e5f9c97
4d3412ff78e925c775905e8f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,11,2,string 2,{fc(57e4f1)There was no telling what would happen. But even so...},"{fc(57e4f1)Es gab keine Ahnung, was passieren würde, aber trotzdem...}",translate,translated,displayed-string:fc-repair,3c4d191d7f98c6f059f8b1d3b92aae94555fc09b40931f1690e85945f1116bca
d942d0d70a91be4cdb4a1f0c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,11,4,string 4,{fc(57e4f1)There was no telling what would happen. But even so...},"{fc(57e4f1)Es gab keine Ahnung, was passieren würde, aber trotzdem...}",translate,translated,displayed-string:fc-repair,3c4d191d7f98c6f059f8b1d3b92aae94555fc09b40931f1690e85945f1116bca
236e892f58b03b49a10e00df,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,12,2,string 2,"{fc(57e4f1)There was nowhere to return to, so...I never looked back.}","{fc(57e4f1)Es gab keinen Ort, an den ich zurückkehren konnte, also... schaute ich nie zurück.}",translate,translated,displayed-string:fc-repair,ee37fb5a0a2732975e52c5d47391097ddde941f468c9639a71f4e0600e41cbc2
618a7e1aa1c5e54673d14eaf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aab_d100_m020_010.mbe/000_Sheet1.csv,12,4,string 4,"{fc(57e4f1)There was nowhere to return to, so...I never looked back.}","{fc(57e4f1)Es gab keinen Ort, an den ich zurückkehren konnte, also... schaute ich nie zurück.}",translate,translated,displayed-string:fc-repair,ee37fb5a0a2732975e52c5d47391097ddde941f468c9639a71f4e0600e41cbc2
