cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
1dbf6235644d2f9825051940,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 92,Tag 92,translate,translated,displayed-string,30e9a0e1c2d1906c410ec7e70f8b82679264fa9fb664cd52ca99bec742835bd0
f16181cb299811d5a08c58ca,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
62a2b51cc2d3ecc95215753e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 92,Tag 92,translate,translated,displayed-string,30e9a0e1c2d1906c410ec7e70f8b82679264fa9fb664cd52ca99bec742835bd0
8fe8fabc5c33d779a44b857e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine! It's your 92nd day of active service here at Last Defense Academy!",Es ist dein 92. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie!,translate,translated,displayed-string,cd917ec738adecba3e7a87cd68f8bdc4acf7102e2691b32bceef7c8e73a076ed
8346565dd733fed1853f5195,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_B_LoveLove_Bb_d092_m010_010_0030,s13_B_LoveLove_Bb_d092_m010_010_0030,protected,protected,resource-or-id,67dc588c3ade98770803fa6e1cd844ff5fa9fb77ee54e797c25b5cefd222d67c
5f9c0dc604460dc605390a0d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine! It's your 92nd day of active service here at Last Defense Academy!",Es ist dein 92. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie!,translate,translated,displayed-string,cd917ec738adecba3e7a87cd68f8bdc4acf7102e2691b32bceef7c8e73a076ed
54a63fad4a3edac63c3a2386,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,3,2,string 2,The goal is right in front of you! All of humanity is cheering for you!,Das Ziel liegt direkt vor Ihnen! Die ganze Menschheit jubelt für Sie!,translate,translated,displayed-string,4cd5ae3c8f5e60387f7382bfa64d7806637f932c979252c793706425dfb02656
79b2c401e7d4df400cad3cdd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_B_LoveLove_Bb_d092_m010_010_0040,s13_B_LoveLove_Bb_d092_m010_010_0040,protected,protected,resource-or-id,e094836a3e3069e31b22155f60e1637c9facd2100e7551365ecde7c7ef96cc35
157f1669fb1c431430ad3281,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,3,4,string 4,The goal is right in front of you! All of humanity is cheering for you!,Das Ziel liegt direkt vor Ihnen! Die ganze Menschheit jubelt für Sie!,translate,translated,displayed-string,4cd5ae3c8f5e60387f7382bfa64d7806637f932c979252c793706425dfb02656
d336049ad8b58ce3d23e57e2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bb_d092_m010_010.mbe/000_Sheet1.csv,4,2,string 2,A bright and happy future awaits you! A new history for humanity will soon begin!,Eine strahlende und glückliche Zukunft erwartet euch! Eine neue Geschichte für die Menschheit wird bald beginnen!,translate,translated,displayed-string,d1b4857d13ca9776c1b6c6a200c1fce995a39ac7c688bf7a100cc97faca028f3
