cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
93d07754e4c7b9e7ffd7e9be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,1,2,string 2,You want to face V'ehxness head-on?!,Du willst dich V'ehxness frontal stellen?!,translate,translated,displayed-string,60d9dcbdc48f4f75a243000cfd71a3830d51a8509635cfb9b7fc31cadaf98a1b
d814f32194741bfdc591e2f3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0720c0202df7b1deffcbca65,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,1,4,string 4,You want to face V'ehxness head-on?!,Du willst dich V'ehxness frontal stellen?!,translate,translated,displayed-string,60d9dcbdc48f4f75a243000cfd71a3830d51a8509635cfb9b7fc31cadaf98a1b
97b282aad5783e3340caf049,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"You do not know what you are talking about! I've told you, your chance of victory is practically nil!","Du weißt nicht, wovon du redest! Ich habe dir gesagt, deine Chance auf Sieg ist praktisch null!",translate,translated,displayed-string,3ee218c98ef114553d3da12ecb4f6b80ca9da31e87d07012af5bc3303fc44b5a
6e82f5e79e047003926515d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ab7b5c5fa5d11f0e5b0135de,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"You do not know what you are talking about! I've told you, your chance of victory is practically nil!","Du weißt nicht, wovon du redest! Ich habe dir gesagt, deine Chance auf Sieg ist praktisch null!",translate,translated,displayed-string,3ee218c98ef114553d3da12ecb4f6b80ca9da31e87d07012af5bc3303fc44b5a
90a6904564684b15150967b1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"I know it's going to be ridiculously tough, but I'm still doing it. If it has to end here, I want to at least do it on my terms.","Ich weiß, es wird lächerlich hart, aber ich mache es immer noch. Wenn es hier enden muss, will ich es zumindest zu meinen Bedingungen tun.",translate,translated,displayed-string,e815f8a53802ca7c56291275919e78eeeaab87608fa846379d3c04cb83a47d4b
bda35c25d74c3ef05f2f175d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b75b4d265e131e85595981da,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"I know it's going to be ridiculously tough, but I'm still doing it. If it has to end here, I want to at least do it on my terms.","Ich weiß, es wird lächerlich hart, aber ich mache es immer noch. Wenn es hier enden muss, will ich es zumindest zu meinen Bedingungen tun.",translate,translated,displayed-string,e815f8a53802ca7c56291275919e78eeeaab87608fa846379d3c04cb83a47d4b
3c8dd03f57b295bd3d34c39f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,4,2,string 2,Powering the escape pod by killing the baby and using his blood... Nothing good can come of that.,"Macht die Fluchtkapsel, indem ihr das Baby tötet und sein Blut benutzt, kann nichts Gutes daraus werden.",translate,translated,displayed-string,1ff74bc35944574ba5a0238875437130bceb40932439644b594f107aae11daff
338302ac5c14c960e4957751,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
17c876d20e941d1f67ae72b2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,4,4,string 4,Powering the escape pod by killing the baby and using his blood... Nothing good can come of that.,"Macht die Fluchtkapsel, indem ihr das Baby tötet und sein Blut benutzt, kann nichts Gutes daraus werden.",translate,translated,displayed-string,1ff74bc35944574ba5a0238875437130bceb40932439644b594f107aae11daff
d241b598cdb82983298b8a89,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaabb_d092_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Stop your delusional thinking! We are fighting a war here!,Wir kämpfen hier in einem Krieg!,translate,translated,displayed-string,fb334ccc5779cdad340226290a4e21c5c96729a3fea9ac4aaeb848c7bed9ac99
