cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4447b32a6e1025d335aac1b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 86,Tag 86,translate,translated,displayed-string,30ca7eb7cdf2ce99972e220ef7a859d038ac1bd599c8b32f68c6b998ce8d8c99
be04ca707d9fe6e16630c388,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b1015a0b8d4df18b6337fa97,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 86,Tag 86,translate,translated,displayed-string,30ca7eb7cdf2ce99972e220ef7a859d038ac1bd599c8b32f68c6b998ce8d8c99
dab3277013340e5c448cc1cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
9549d73a8840244728a3a96a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_B_ComedyRt_Bb_d086_m010_010_0030,s14_B_ComedyRt_Bb_d086_m010_010_0030,protected,protected,resource-or-id,efdf0002ed38b474880dae93a0787dc647abd9b141176ec4be7432246ed974e1
39b1b68dbabf5860453b2616,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
3a93b7b6b8f2574eb68f10b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 86th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 86. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,bdf50e5b6770475d635b6e5046a87c2ef4f8249365eb43033beb4a8de4e815ac
c993f25c2048fe4c2f953e46,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_B_ComedyRt_Bb_d086_m010_010_0040,s14_B_ComedyRt_Bb_d086_m010_010_0040,protected,protected,resource-or-id,f8ec92f69984e290f6d504a2ebcdb3c150600ab515c274b659eda4bd28663942
1ae5e17a0ba9a472405be5f9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 86th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 86. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,bdf50e5b6770475d635b6e5046a87c2ef4f8249365eb43033beb4a8de4e815ac
3c42ea0a3a6d97d06def5501,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"For humanity's great tomorrow, for our shining future, for this school...","Für das große Morgen der Menschheit, für unsere strahlende Zukunft, für diese Schule...",translate,translated,displayed-string,507daf5805f870a52a1f0a0bc33c608c364ef15ae380fc55c97f99b4a1f6d630
71ef989bf1a94484df7fa2a2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_B_ComedyRt_Bb_d086_m010_010_0050,s14_B_ComedyRt_Bb_d086_m010_010_0050,protected,protected,resource-or-id,4ebabb2fa4605f084ecafb87d2370f57c78e1b45e7d9520a02169230a90d2c94
1b31e3044aff2786d2a0a277,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"For humanity's great tomorrow, for our shining future, for this school...","Für das große Morgen der Menschheit, für unsere strahlende Zukunft, für diese Schule...",translate,translated,displayed-string,507daf5805f870a52a1f0a0bc33c608c364ef15ae380fc55c97f99b4a1f6d630
1d74d7a5bdb9fccf9250afd6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Stand tall with your comrades and step up to the challenge of mankind's most difficult mission!,Steht hoch mit euren Kameraden und stellt euch der Herausforderung der schwierigsten Mission der Menschheit!,translate,translated,displayed-string,94d1061474e0dcd3d976eec3058c3e4af71ace88b9090f6af52bd8d9978952f5
2fc7a87c626c2b0e6a85ab18,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s14_B_ComedyRt_Bb_d086_m010_010_0060,s14_B_ComedyRt_Bb_d086_m010_010_0060,protected,protected,resource-or-id,7635db2e326ccc53c8ec794898ea38ca30d8154045f95ef444c12f4c9a0b0ec5
8c6ecceea986b7734d293618,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Stand tall with your comrades and step up to the challenge of mankind's most difficult mission!,Steht hoch mit euren Kameraden und stellt euch der Herausforderung der schwierigsten Mission der Menschheit!,translate,translated,displayed-string,94d1061474e0dcd3d976eec3058c3e4af71ace88b9090f6af52bd8d9978952f5
9c7666f1a1819c1df94672b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"Glory to the Special Defense Unit, the hope of all mankind!","Ehre der Sonderverteidigungseinheit, der Hoffnung der ganzen Menschheit!",translate,translated,displayed-string,6e5c13de0dca08ab89859dcf16b3b8e4df7ce9c75faf80515bd9eb025b1a3873
2aee414bf6c77e5c2f10ffc5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,s14_B_ComedyRt_Bb_d086_m010_010_0070,s14_B_ComedyRt_Bb_d086_m010_010_0070,protected,protected,resource-or-id,4f5e5a9cc85c138046c8ae12d4b19381a701b569a41f62854dc3f33d8376b1d3
5d33e9508e305e16f7a99ca4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"Glory to the Special Defense Unit, the hope of all mankind!","Ehre der Sonderverteidigungseinheit, der Hoffnung der ganzen Menschheit!",translate,translated,displayed-string,6e5c13de0dca08ab89859dcf16b3b8e4df7ce9c75faf80515bd9eb025b1a3873
7752bb32a7b68669de1179d6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,7,2,string 2,*sigh* I can hardly believe what I saw yesterday.,"Ich kann kaum glauben, was ich gestern gesehen habe.",translate,translated,displayed-string,655eee4c3005ebd80e4965ffefb2ff39f705073f799cb323d75bcb24dca5f677
8e8e847f97bf0a344f06cb67,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ec31cc7b21715cfcc413f7ba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,7,4,string 4,*sigh* I can hardly believe what I saw yesterday.,"Ich kann kaum glauben, was ich gestern gesehen habe.",translate,translated,displayed-string,655eee4c3005ebd80e4965ffefb2ff39f705073f799cb323d75bcb24dca5f677
90069599ba81ffbb6198a5d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"I never thought anyone's head would end up in a can... What does it look like inside of there, anyway?","Ich hätte nie gedacht, dass irgendjemandes Kopf in einer Dose landen würde... wie sieht es da drinnen überhaupt aus?",translate,translated,displayed-string,95a610c918be32d4e5e897eb307f2d1483acdb9f9304c9f47f1a593b0e18411c
109f378238e11818eba0c626,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6d2ca1e05163aa95f2c2754c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"I never thought anyone's head would end up in a can... What does it look like inside of there, anyway?","Ich hätte nie gedacht, dass irgendjemandes Kopf in einer Dose landen würde... wie sieht es da drinnen überhaupt aus?",translate,translated,displayed-string,95a610c918be32d4e5e897eb307f2d1483acdb9f9304c9f47f1a593b0e18411c
2b0a61e16081413d86ac48df,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,9,2,string 2,"{fc(57e4f1)I need to switch gears, at any rate. I can't afford to slack off again.}","{fc(57e4f1)Ich muss auf jeden Fall die Gänge wechseln, ich kann es mir nicht leisten, wieder nachzulassen.}",translate,translated,displayed-string:fc-repair,31729403b36ed5b8764559701fe673d8b3f88d81eb123eba5bfbb236174e7910
d26a293539270b4263bdd04f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,9,4,string 4,"{fc(57e4f1)I need to switch gears, at any rate. I can't afford to slack off again.}","{fc(57e4f1)Ich muss auf jeden Fall die Gänge wechseln, ich kann es mir nicht leisten, wieder nachzulassen.}",translate,translated,displayed-string:fc-repair,31729403b36ed5b8764559701fe673d8b3f88d81eb123eba5bfbb236174e7910
7559bdfba3dc4d3715db0238,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)I have to be prepared to figure things out on my own if worst comes to worst...},"{fc(57e4f1)Ich muss bereit sein, die Dinge allein zu klären, wenn das Schlimmste am schlimmsten kommt...}",translate,translated,displayed-string:fc-repair,ba08e786a0e591d8f2c8a9cc05b8f89cc9fa6d3c8deb03efe799e67b8cc38ff7
1a8366f755b67edac30c5376,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d086_m010_010.mbe/000_Sheet1.csv,10,4,string 4,{fc(57e4f1)I have to be prepared to figure things out on my own if worst comes to worst...},"{fc(57e4f1)Ich muss bereit sein, die Dinge allein zu klären, wenn das Schlimmste am schlimmsten kommt...}",translate,translated,displayed-string:fc-repair,ba08e786a0e591d8f2c8a9cc05b8f89cc9fa6d3c8deb03efe799e67b8cc38ff7
