cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
bc444adf96d22785c33c9697,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,1,2,string 2,"Takumi, as much as your attention brings me delight, perhaps you should think about using your free time to study instead?","Takumi, so sehr Ihre Aufmerksamkeit mir Freude bereitet, sollten Sie vielleicht daran denken, Ihre freie Zeit zu studieren?",translate,translated,displayed-string,935d7ae7d66d18751741eae0e38a2c27ef1d8099a818e80c5465672532b496bb
7985ceb2b8f99d92227cd646,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,1,3,string2 3,k_chr005EITO_02_0010,k_chr005EITO_02_0010,protected,protected,resource-or-id,bfc8f4ed6b889dd8ca133112d0276c2a8e385100883fab0c454610ad4c5c6b95
e209fe38441afe938d03fd37,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,1,4,string 4,"Takumi, as much as your attention brings me delight, perhaps you should think about using your free time to study instead?","Takumi, so sehr Ihre Aufmerksamkeit mir Freude bereitet, sollten Sie vielleicht daran denken, Ihre freie Zeit zu studieren?",translate,translated,displayed-string,935d7ae7d66d18751741eae0e38a2c27ef1d8099a818e80c5465672532b496bb
7e3ab3518f8af18619307dcc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,2,2,string 2,"Not the type of studying you do in school, of course. I'm talking about understanding your fellow humans better.","Natürlich nicht die Art, wie du in der Schule studierst, ich rede davon, deine Mitmenschen besser zu verstehen.",translate,translated,displayed-string,5854aadfaf374142f91ca9e6a8e4a4eab1cd409015863f5a8e1e4a793d6220b1
215fcb234ef138e0b45125f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,2,3,string2 3,k_chr005EITO_02_0020,k_chr005EITO_02_0020,protected,protected,resource-or-id,28e351ec5731f8ec8604b2f062434b1e632849776d266876c83097d1f0ad5b89
7c10f2b48a3a2762a8e47924,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,2,4,string 4,"Not the type of studying you do in school, of course. I'm talking about understanding your fellow humans better.","Natürlich nicht die Art, wie du in der Schule studierst, ich rede davon, deine Mitmenschen besser zu verstehen.",translate,translated,displayed-string,5854aadfaf374142f91ca9e6a8e4a4eab1cd409015863f5a8e1e4a793d6220b1
e57fb5c20c3fe84db74fc10c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,3,2,string 2,"Maybe you can find something in the Library here? A legendary black book that portrays the dark side of human history, perhaps...","Vielleicht finden Sie hier etwas in der Bibliothek? Ein legendäres schwarzes Buch, das die dunkle Seite der Menschheitsgeschichte darstellt, vielleicht...",translate,translated,displayed-string,4e6913ab8ae5ed72a46afa5552b9515f8fffbf0e2a025238cbfe4d00bbb06b3e
537100a08504a7da5088b9cc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,3,3,string2 3,k_chr005EITO_02_0030,k_chr005EITO_02_0030,protected,protected,resource-or-id,791709698d2a6aa17535bbff273de0475a8eb3321beea35f7b0580c33c7b78c8
ec05a17efa1f58136363f563,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,3,4,string 4,"Maybe you can find something in the Library here? A legendary black book that portrays the dark side of human history, perhaps...","Vielleicht finden Sie hier etwas in der Bibliothek? Ein legendäres schwarzes Buch, das die dunkle Seite der Menschheitsgeschichte darstellt, vielleicht...",translate,translated,displayed-string,4e6913ab8ae5ed72a46afa5552b9515f8fffbf0e2a025238cbfe4d00bbb06b3e
88adf815d6bc0416a9f30571,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr005eito_02.mbe/000_Sheet1.csv,4,2,string 2,Something containing graphic details about the most depraved crimes of human society...,"Etwas, das grafische Details über die am meisten verderbten Verbrechen der menschlichen Gesellschaft enthält...",translate,translated,displayed-string,2eebda34ac39a0b714c7b28bb2d51e8770a75f61f97f5346cd2cb400a5e4d00d
