cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8707c0088b155d9fecee222c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,1,2,string 2,Did you already put Ima in the pod?,Hast du Ima schon in die Kapsel gesteckt?,translate,translated,displayed-string,b36a8df2c938b85ebc4cb16cb0b2619626e5c277c4f65a3dfae92630f7b40b27
e421297a0644bd027c469578,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5eca5debdfef0cb5dda9322d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,1,4,string 4,Did you already put Ima in the pod?,Hast du Ima schon in die Kapsel gesteckt?,translate,translated,displayed-string,b36a8df2c938b85ebc4cb16cb0b2619626e5c277c4f65a3dfae92630f7b40b27
7a10fefc411baf1f078ff853,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Yes, but we had to sedate him first. He'd be a danger to us if he'd resisted.","Er wäre eine Gefahr für uns, wenn er Widerstand leisten würde.",translate,translated,displayed-string,ebad55852cf23347bf194a0b94543b5f7d21dc307b32fb35e507a106bef47a53
70037857b5cd5bc39545d208,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ff8fd149e7fbe0c63d90f7ff,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Yes, but we had to sedate him first. He'd be a danger to us if he'd resisted.","Er wäre eine Gefahr für uns, wenn er Widerstand leisten würde.",translate,translated,displayed-string,ebad55852cf23347bf194a0b94543b5f7d21dc307b32fb35e507a106bef47a53
9382ab9243930546d9ec3f92,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"Even so, what's gonna happen to us?","Trotzdem, was wird mit uns passieren?",translate,translated,displayed-string,38bff93d68cc13c70c67306b8cb67ce0283bc5f8ac6257cd82b40e3d8ca0280a
a517febefd62370ed9587964,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1e7e2b2f3ad71282b66f7138,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"Even so, what's gonna happen to us?","Trotzdem, was wird mit uns passieren?",translate,translated,displayed-string,38bff93d68cc13c70c67306b8cb67ce0283bc5f8ac6257cd82b40e3d8ca0280a
c030e160db2978e9f84f117b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_bba_d100_m020_010.mbe/000_Sheet1.csv,4,2,string 2,We stopped the missiles and now we're going back to the satellite... But what then?!,Wir haben die Raketen gestoppt und jetzt gehen wir zurück zum Satelliten... Aber was dann?!,translate,translated,displayed-string,23c1923c8b6460902a376d3a8fefe5c9a74fedadc223cbeaf7561ba4b8e41592
