cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c43d8919a7912b10bcc2c6c9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,1,2,string 2,S-Sumino...! What are you—,"S-Sumino, was machst du...",translate,translated,displayed-string,131361b9899346242d7cb1d923f08cbd595d9a87e1a5675963227f142a303f7b
510d246bde6c0dd468ebc8d3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
60176e501d1b67a9e1707d68,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,1,4,string 4,S-Sumino...! What are you—,"S-Sumino, was machst du...",translate,translated,displayed-string,131361b9899346242d7cb1d923f08cbd595d9a87e1a5675963227f142a303f7b
0cf57ffe5b2ec6ede9f69f15,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(cfff3f)*shnk!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,23b22d2a69d88481e0f07162a838d25381add98c908fe65e19962f5751a36d4f
07e6923b0d22a2b629683f7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(cfff3f)*shnk!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,23b22d2a69d88481e0f07162a838d25381add98c908fe65e19962f5751a36d4f
d1c9393c5b27a778c12d4854,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,3,2,string 2,Gwah...!,Gwah...! Was ist los?,translate,translated,displayed-string,481cca6172b70e7a693f0b000f5da380936a1cb1fbc703d7b52bb4354df5ae73
b1f6953e64bd7c5413b05144,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
10a97ae51761ca86edd7537a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,3,4,string 4,Gwah...!,Gwah...! Was ist los?,translate,translated,displayed-string,481cca6172b70e7a693f0b000f5da380936a1cb1fbc703d7b52bb4354df5ae73
8707612a6e479019b7a3d413,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)At the same moment Sirei's body was torn in half...},{fc(57e4f1)Im gleichen Moment wurde Sireis Leiche in die Hälfte gerissen...},translate,translated,displayed-string:fc-repair,63573e01e6d77f15954393bc84a9f883a28fd9dd9b965a7e84b826a6a29f05a4
257917de1c95b3c49d6b9397,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)At the same moment Sirei's body was torn in half...},{fc(57e4f1)Im gleichen Moment wurde Sireis Leiche in die Hälfte gerissen...},translate,translated,displayed-string:fc-repair,63573e01e6d77f15954393bc84a9f883a28fd9dd9b965a7e84b826a6a29f05a4
968c18307a83800e99159468,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(cfff3f)*BOOM!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.}",translate,translated,displayed-string:fc-repair,3c3eabeac4d1df4ccb8de951c488eb04eaec2456c77c66998bc428f8b7d5ebc5
743e321e843fb75448e37887,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(cfff3f)*BOOM!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.}",translate,translated,displayed-string:fc-repair,3c3eabeac4d1df4ccb8de951c488eb04eaec2456c77c66998bc428f8b7d5ebc5
01d78ce069809c09d7548dcc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)The bomb inside my body detonated and I blacked out.},{fc(57e4f1)Die Bombe in meinem Körper explodierte und ich wurde ohnmächtig.},translate,translated,displayed-string:fc-repair,45469c91b82f6552450fd78390714d5cfd83d134e69734b8d0da022db156ab92
b429bc6aa1b103c31b1a81b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)The bomb inside my body detonated and I blacked out.},{fc(57e4f1)Die Bombe in meinem Körper explodierte und ich wurde ohnmächtig.},translate,translated,displayed-string:fc-repair,45469c91b82f6552450fd78390714d5cfd83d134e69734b8d0da022db156ab92
2522218e0cdf27af13bac532,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)But that didn't matter.},{fc(57e4f1)Aber das spielte keine Rolle.},translate,translated,displayed-string:fc-repair,45928184b028eaa04598d1427b9b4ec0a6c9d9026e181a56208f94d8748d49f3
3eba4a57db486766240d68bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_ba_d062_m020_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)But that didn't matter.},{fc(57e4f1)Aber das spielte keine Rolle.},translate,translated,displayed-string:fc-repair,45928184b028eaa04598d1427b9b4ec0a6c9d9026e181a56208f94d8748d49f3
