cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
cab7cf8603ca7968cafe6653,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,1,2,string 2,Us pro wrestlers need to be more than just strong.,Wir Pro-Wrestler müssen mehr als nur stark sein.,translate,translated,displayed-string,20bfb60dffbaf145d3fb1d92f1c6ac8e969f41cad38844eeb296d9c0c27ac762
7dd60c470fcd33afb12296a1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
346ba39d7b48c50490d9cbe9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,1,4,string 4,Us pro wrestlers need to be more than just strong.,Wir Pro-Wrestler müssen mehr als nur stark sein.,translate,translated,displayed-string,20bfb60dffbaf145d3fb1d92f1c6ac8e969f41cad38844eeb296d9c0c27ac762
304b20fccdf4a7110e352fcf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,2,2,string 2,"In order to call ourselves professionals, we need to be entertainers.","Um uns Profis zu nennen, müssen wir Entertainer sein.",translate,translated,displayed-string,30d524892c40fbac1ecbebe9f33eb4555a58fdb4b85459ab60f57b58491bee30
0b55806fa633421af7720a32,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
946045cc404b0f174015da98,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,2,4,string 4,"In order to call ourselves professionals, we need to be entertainers.","Um uns Profis zu nennen, müssen wir Entertainer sein.",translate,translated,displayed-string,30d524892c40fbac1ecbebe9f33eb4555a58fdb4b85459ab60f57b58491bee30
59510075594111d7ea07c9e0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,3,2,string 2,Putting on a performance... Heating up the arena... Exciting the crowd...,"Eine Vorstellung, die Arena zu beheizen, die Menge zu begeistern...",translate,translated,displayed-string,4c66e0f872c938a4a762dd811b9db1c6855fb2ce28a1c011a8bec1a60125c569
7167fbdb1520f34559d6695a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
86d115c1ef519d823fa3a960,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,3,4,string 4,Putting on a performance... Heating up the arena... Exciting the crowd...,"Eine Vorstellung, die Arena zu beheizen, die Menge zu begeistern...",translate,translated,displayed-string,4c66e0f872c938a4a762dd811b9db1c6855fb2ce28a1c011a8bec1a60125c569
72177551bc1cde2b931ac241,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr015moko_05.mbe/000_Sheet1.csv,4,2,string 2,We're not worth anything if people don't leave thinking...,"Wir sind nichts wert, wenn die Leute nicht denken...",translate,translated,displayed-string,cb87ccb670ad2fc25120c9af024c76ca3b1b0260924e00d46a4133498d75b8b0
