cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
52dc504dbbc6783c1548720b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,1,2,string 2,"Dad, Mom, my siblings...none of them ever existed...","Dad, Mom, meine Geschwister... keiner von ihnen hat je existiert...",translate,translated,displayed-string,34d6c5ac14381075e8e34f0ea8dd86f133c405e8c177ae64d1f1ed5c98d5423b
e840eb2736953042ceeb8e86,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,1,3,string2 3,k_chr007GAKU_06_0010,k_chr007GAKU_06_0010,protected,protected,resource-or-id,97150ce01f39bf0643f233d1cc7fd4fbb486c990ef451d859b7d2fc015c84eaf
c09bb0a1a8be2605d5c719b3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,1,4,string 4,"Dad, Mom, my siblings...none of them ever existed...","Dad, Mom, meine Geschwister... keiner von ihnen hat je existiert...",translate,translated,displayed-string,34d6c5ac14381075e8e34f0ea8dd86f133c405e8c177ae64d1f1ed5c98d5423b
7bd7459462c9153d6d4c6118,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,2,2,string 2,Ha...haha... What a joke. What was I fighting for all this time?,Was für ein Witz. Was habe ich für die ganze Zeit gekämpft?,translate,translated,displayed-string,ade468ac3ded58880e80c859a3f1a3aa7a0e58c8e745c002e13becc1a2f0aea9
51ba9c4f6e228213301d3ef4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,2,3,string2 3,k_chr007GAKU_06_0020,k_chr007GAKU_06_0020,protected,protected,resource-or-id,013a029659afcfbc2b434e72b88c280def96d0eb0797f9126a2ea2050a19bd11
b8666ba0a2cb5f55fe987701,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,2,4,string 4,Ha...haha... What a joke. What was I fighting for all this time?,Was für ein Witz. Was habe ich für die ganze Zeit gekämpft?,translate,translated,displayed-string,ade468ac3ded58880e80c859a3f1a3aa7a0e58c8e745c002e13becc1a2f0aea9
7b558911c080e776fd97682a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,3,2,string 2,"Although... That also means I was never really poor or in debt, right?","Obwohl... das bedeutet auch, dass ich nie wirklich arm oder verschuldet war, richtig?",translate,translated,displayed-string,b3433f31643d32bd7871b61e221542966962cbac990a3786400cd17de5dd72d1
786e11442f11d8b399cc657e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,3,3,string2 3,k_chr007GAKU_06_0030,k_chr007GAKU_06_0030,protected,protected,resource-or-id,9f12a0c486d9877151935f4b86e26a4557d382b36e9372b6a242182fd10b3678
d06110994e4ee6eb58fb126a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,3,4,string 4,"Although... That also means I was never really poor or in debt, right?","Obwohl... das bedeutet auch, dass ich nie wirklich arm oder verschuldet war, richtig?",translate,translated,displayed-string,b3433f31643d32bd7871b61e221542966962cbac990a3786400cd17de5dd72d1
0398bb56377ce6acddccafb6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,4,2,string 2,"That's cool, I guess, but I just...can't imagine going back to a home without them there.","Das ist cool, schätze ich, aber ich kann mir einfach nicht vorstellen, wieder in ein Haus ohne sie zu gehen.",translate,translated,displayed-string,765c60117d085077d8b99202f3cc9ffdcd7d1c1c9b1cc40e49565d501a40c4d0
e05868de02788bb5312ccef2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,4,3,string2 3,k_chr007GAKU_06_0040,k_chr007GAKU_06_0040,protected,protected,resource-or-id,162a207a031b6765f2301f6f0184396138efd83ac90015c35ac20fa348072027
109f167fdde254e7a26be3c2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,4,4,string 4,"That's cool, I guess, but I just...can't imagine going back to a home without them there.","Das ist cool, schätze ich, aber ich kann mir einfach nicht vorstellen, wieder in ein Haus ohne sie zu gehen.",translate,translated,displayed-string,765c60117d085077d8b99202f3cc9ffdcd7d1c1c9b1cc40e49565d501a40c4d0
c2bdc283e019de2dfe9696b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,5,2,string 2,I'll use my reward to live a happy life...for their sakes as well!,"Ich werde meine Belohnung benutzen, um ein glückliches Leben zu führen... auch um ihretwillen!",translate,translated,displayed-string,2d5b89feb77afe97f6073cf0221e438825bf1333b7e208f33556f7d9fb39d091
e75eaf87bcfd09e49a67f9be,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr007gaku_06.mbe/000_Sheet1.csv,5,3,string2 3,k_chr007GAKU_06_0050,k_chr007GAKU_06_0050,protected,protected,resource-or-id,df493b9d1aecc595ed5dfbdaf12d3ae5b9b2f82066fe7b34e82bca3f680b51c3
