cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
76d8534e66aebba2372e72a3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,1,2,string 2,Y-You! I-Invader scum...!,Y-You! I-Invader Abschaum...!,translate,translated,displayed-string,b69194c4ecd72b18c38520e4c5cdc7554d00c519847c2511db1f9a5afd2594a2
fc842b24295d8646c7552bdb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,1,3,string2 3,s13_A_SFsfSFsf_Baba_d099_m050_175_0010,s13_A_SFsfSFsf_Baba_d099_m050_175_0010,protected,protected,resource-or-id,06b8c8d40d49cd2f13680144f335d70c1890947b15d45d421c0d2569717f302d
59ac8225685d2dbf5ef9bb41,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,1,4,string 4,Y-You! I-Invader scum...!,Y-You! I-Invader Abschaum...!,translate,translated,displayed-string,b69194c4ecd72b18c38520e4c5cdc7554d00c519847c2511db1f9a5afd2594a2
bf1b36d3ac9d21593fd164c7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,2,2,string 2,Shion gave us this opportunity! We can't waste it!,Shion hat uns diese Gelegenheit gegeben!,translate,translated,displayed-string,9c65c9c1351e38338008e6484b85e7f700c0b75df024aacc2aaf6b980ddee655
f113c6f5102a324230ab7490,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,2,3,string2 3,s13_A_SFsfSFsf_Baba_d099_m050_175_0030,s13_A_SFsfSFsf_Baba_d099_m050_175_0030,protected,protected,resource-or-id,f430efbfbf8a240bc96ecb728a41aebf7837f92ec9112cc15823a5958e3ba563
40ed90bb5b24868dff39b4ad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,2,4,string 4,Shion gave us this opportunity! We can't waste it!,Shion hat uns diese Gelegenheit gegeben!,translate,translated,displayed-string,9c65c9c1351e38338008e6484b85e7f700c0b75df024aacc2aaf6b980ddee655
73d6f095d98a3031fc29d5ac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,3,2,string 2,V'ehxness is definitely weakened... This is our only chance.,V'ehxness ist definitiv geschwächt... das ist unsere einzige Chance.,translate,translated,displayed-string,04fad59f27cd419698dd4b6d23497f2fc5ff8f08aaae78f1ac4a0aa2bc885360
4e8c83140745d3bedb17a3b5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,3,3,string2 3,s13_A_SFsfSFsf_Baba_d099_m050_175_0070,s13_A_SFsfSFsf_Baba_d099_m050_175_0070,protected,protected,resource-or-id,2b979de53ca6e79f928db01a067e08b6862de5e20d3e5f3916ce3d35adb01502
5e5e44a2a0dea2ba258441fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,3,4,string 4,V'ehxness is definitely weakened... This is our only chance.,V'ehxness ist definitiv geschwächt... das ist unsere einzige Chance.,translate,translated,displayed-string,04fad59f27cd419698dd4b6d23497f2fc5ff8f08aaae78f1ac4a0aa2bc885360
bec46111b3e1293dda05dc98,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,4,2,string 2,Okay! I can do this! I will do this!,"Okay, ich schaffe das!",translate,translated,displayed-string,38b949a3580336741abd162dbf66bf031159392ca844ae1068c2d20a343ebc4b
4c9478e8435408b44940deb4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,4,3,string2 3,s13_A_SFsfSFsf_Baba_d099_m050_175_0080,s13_A_SFsfSFsf_Baba_d099_m050_175_0080,protected,protected,resource-or-id,8a0a08676bcb7d0718e591b2faca16a3291a90085b19bd7ccae7a0b80f56ebef
c78f78eb72c91a1630e70089,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_baba_d099_m050_175.mbe/000_Sheet1.csv,4,4,string 4,Okay! I can do this! I will do this!,"Okay, ich schaffe das!",translate,translated,displayed-string,38b949a3580336741abd162dbf66bf031159392ca844ae1068c2d20a343ebc4b
