cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
090598a865ed6361fe809a4d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 63,Tag 63,translate,translated,displayed-string,6d9a7a1e85a898311689afd7d20b361e20ad1f3e3b612f34c482e0259e431e62
ddfb69fc76b9137d17a79736,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1cc8c3fd213acfaee46f3ecd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 63,Tag 63,translate,translated,displayed-string,6d9a7a1e85a898311689afd7d20b361e20ad1f3e3b612f34c482e0259e431e62
e238258d85901a2ad612dfa6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
0b68ae673a65e5b73566fbf1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s11_0_SeisyunR_Aa_d063_m010_010_0030,s11_0_SeisyunR_Aa_d063_m010_010_0030,protected,protected,resource-or-id,705d99a7a54c0b9d013e09df84855dc8dc9e73bed475bc11d68d71831eeb8099
92101882f912555f2cad8b7f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
d3e0f4b34eb245fb9df532ba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 63rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 63. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,8ab563d8026e178c4c6048a966a42afc7a44eb9c206bf09f63f0b6101bf5d779
7410534aa71379532cc1ce89,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s11_0_SeisyunR_Aa_d063_m010_010_0040,s11_0_SeisyunR_Aa_d063_m010_010_0040,protected,protected,resource-or-id,795c51e7724d2ec1a6636c89a59b2dd27ec287d438c2eecaf0c5e3080981ef6c
1cc5f51056c1509fa129ac1d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 63rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 63. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,8ab563d8026e178c4c6048a966a42afc7a44eb9c206bf09f63f0b6101bf5d779
109c9f699a9a20893abcf560,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aa_d063_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
