cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ec6d7cad05ea428fa137a278,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,1,2,string 2,*huff...* *huff...* *huff...* *huff...*,*huff...* *huff...* *huff...* *huff...*,translate,translated,displayed-string,e7f0498ccc9b5a42157524db8aa724c78b60ecc3b2b24b5eb0d6c0490839a729
f7200b2649bf6ed8c6c0b422,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d7611cdd7d32cac66a5a5314,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,1,4,string 4,*huff...* *huff...* *huff...* *huff...*,*huff...* *huff...* *huff...* *huff...*,translate,translated,displayed-string,e7f0498ccc9b5a42157524db8aa724c78b60ecc3b2b24b5eb0d6c0490839a729
e4ea11d918c178d062af13ac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,2,2,string 2,Did we get them all?,Haben wir sie alle?,translate,translated,displayed-string,55018b6d906ca50b0017c9aebd9b399602aa28b30d3688318f7061718944c3c7
e2c86e7e426621a43e6980c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f3d307ef3aa2d02f0548414a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,2,4,string 4,Did we get them all?,Haben wir sie alle?,translate,translated,displayed-string,55018b6d906ca50b0017c9aebd9b399602aa28b30d3688318f7061718944c3c7
b7940252bcbd6b1bfd1162eb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,3,2,string 2,It's too early to be celebrating! More enemies are waiting in the wings!,"Es ist zu früh, um zu feiern! Mehr Feinde warten in den Flügeln!",translate,translated,displayed-string,eedf169abe4d8830c918b6ad10f73ff412d36f18952d5ba58a45bf07c6fa1f45
24689408522dc2a294f8b749,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a42295cee61113a2c11ea700,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,3,4,string 4,It's too early to be celebrating! More enemies are waiting in the wings!,"Es ist zu früh, um zu feiern! Mehr Feinde warten in den Flügeln!",translate,translated,displayed-string,eedf169abe4d8830c918b6ad10f73ff412d36f18952d5ba58a45bf07c6fa1f45
bed7a787e1b5402e0145a0fe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,4,2,string 2,Invaders approaching at 3 o'clock!!,Eindringlinge nähern sich um 3 Uhr!!,translate,translated,displayed-string,0b26dce1b050424b76c7f4f313f7c9c0aa22354dd8173b760065b6e04d4b7227
013957cdc39c2730acbca779,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
317b6868fe4a62f8d707e550,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_a0_d027_m030_010.mbe/000_Sheet1.csv,4,4,string 4,Invaders approaching at 3 o'clock!!,Eindringlinge nähern sich um 3 Uhr!!,translate,translated,displayed-string,0b26dce1b050424b76c7f4f313f7c9c0aa22354dd8173b760065b6e04d4b7227
