cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3d307d66c639e10ec51dfbac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,1,1,string 1,Confirm,Confirm,review,pending,ambiguous-single-token,eebdd24a77d9ad32222660c07777163bf5f6732df2b172351f3f8d5783e4f529
12f945de2af4606f8aa1b880,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,2,1,string 1,Cancel,Cancel,review,pending,ambiguous-single-token,19766ed6ccb2f4a32778eed80d1928d2c87a18d7c275ccb163ec6709d3eb2e27
6703abcd3a5c5a8d9425ad9b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,3,1,string 1,Use,Use,review,pending,ambiguous-single-token,c36d819e7bc6d2b7da51394411c733db89c395987885ca6770167a3b9bc45c3c
769cbdc9241d5424405f8db1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,4,1,string 1,View Area,Ansichtsbereich,translate,translated,displayed-string,10fc074a44ea3c2c536e38ab346a845cb9011a880705eb7a0d07f93ec2c39f28
fbf3cbf6d9bf08a09b92ea2a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,5,1,string 1,Bag,Bag,review,pending,ambiguous-single-token,b053c961f2acb0b9754c29a8f3131f728765de82c55818b3794a5c266e4e2bc8
df73613fe372a61c4f6c28ec,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,6,1,string 1,Menu,Menu,review,pending,ambiguous-single-token,99af6606ff9d6cd5154d4d4e9c21e325086d3e904677cdb41d363c8a3480f862
b47d96a910f131da02d8cef0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,7,1,string 1,Select Card,Karte auswählen,translate,translated,displayed-string,1bcbf13d7d0be95db2a1d31b3b5a1ac811e9594849e5215aa5f98eb431c9e62b
660ee50504a310ccae5e0044,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,8,1,string 1,Switch Out,Ausschalten,translate,translated,displayed-string,46ecd67617f87f71711f5abb9df16946bd65bd176856537cdcf2b4531549dc5a
aca771c64a42fe449d7fcdc0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,9,1,string 1,Remove Member,Mitglied entfernen,translate,translated,displayed-string,2b98b1945afca4c4ec84dd99418fd7aedf1e145fea0f1ad6214cc9ae42e3ac4a
624dd21867f0f1aeff9ba734,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,10,1,string 1,Next Page,Nächste Seite,translate,translated,displayed-string,6ead5dfdc11ef7da26e4c09f348d42a8d6306b7faa54ce0a7dc6c567dab1db6f
db29f14d7504e591dd9c0d77,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,11,1,string 1,Skip,Skip,review,pending,ambiguous-single-token,28d03596d24eeb4eab2d6fe21ca1cb95be7cb1fa6f92933db05e2cc4f4cdfa06
a37d235f51d2d86f4ccd3567,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,12,1,string 1,Auto On/Off,Auto On/Off,protected,protected,resource-or-id,23fa74f8c2dbe5c31533b7479aae399cd96a9e2f9476b141e4d373bad2aae1ab
e11ba3cb0b171c8775750361,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,13,1,string 1,Transcript,Transcript,review,pending,ambiguous-single-token,721164f0dc7096a8c09be2069c5c689a56df933fc5798822e8134bd3e76771eb
f8d44bf36f756478bc18235e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,14,1,string 1,Craft,Craft,review,pending,ambiguous-single-token,57f64bf9715866ab48f46478ad5c82c1180031954ae27aadfbbbfc7be96e0427
ebbab0c36638423aa946d524,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,15,1,string 1,Name,Name,review,pending,ambiguous-single-token,dcd1d5223f73b3a965c07e3ff5dbee3eedcfedb806686a05b9b3868a2c3d6d50
f1d91eb72fba10405d65b2f9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,16,1,string 1,Filter,Filter,review,pending,ambiguous-single-token,638e249f4a15ebb84957da130701d138a6e06d88dceeaa2e6dcd91db70cc1381
2de400e1dcad1911adab872a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,17,1,string 1,Movement,Movement,review,pending,ambiguous-single-token,49ba63e89af69e4d6d4cf7618c4dca31e1fa03753edddbc9ddeaf773364c9665
c8af1366144126256c30d0e9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,18,1,string 1,Strategic Material,Strategisches Material,translate,translated,displayed-string,d325d2fa473d926f198b25e967e810c66dcb3163e0f44753d7bca87df7a6cee6
db281f0accf9f76a6640751c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,19,1,string 1,Boost Hemoanima,Heben Sie die Hämoanima,translate,translated,displayed-string,bafe6dc3c9589159cc2206876d14221ef8d56d757a9ce2b544cbf1e4715789a2
5fe8cb8d4352c61da1cb3573,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,20,1,string 1,End Turn,Drehung beenden,translate,translated,displayed-string,aeb087b59a30966b1f94dfc10773a1b4f64b7cd155818de78bf18b6ba46afcee
87ece0dfc3e2c36c42d2188d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,21,1,string 1,Select Destination,Ziel auswählen,translate,translated,displayed-string,a481da29083153800c586291a2d41fea37e89787f5b3a30edc8a3da872a1878f
850066996412d9d22dbc2563,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,22,1,string 1,Change Page,Seite ändern,translate,translated,displayed-string,e8eb9144ce167ae900ef395186571b993cf85ef9495da0e486b8aa1a8acee784
a0bbcb62cd6c9dd17d7f7aed,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,23,1,string 1,Scroll,Scroll,review,pending,ambiguous-single-token,291873e31ccb2289508f7e02cb47ce5e8f62b31a51f07513b407d359a9aaa2c7
416966b1d3af2e54aec2bb5d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,24,1,string 1,Zoom Out,Auszoomen,translate,translated,displayed-string,24649ee0c7a92fd868db079f46ef6b58509081e8b0e8b9ed929606f33c62831d
114e27cfc2f48a0b0ad78ae1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,25,1,string 1,Zoom In,Vergrößern,translate,translated,displayed-string,5a982cf9dc11b4ec88b6151a75c4b45e269a5694c941c3c4c96689bed0c7d312
8c8ed12ce2382fdd7ea9dd99,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,26,1,string 1,Upgrade,Upgrade,review,pending,ambiguous-single-token,7ec0261b8e8aa3e0b1affde5f18ca1930ae73d81a5303d667aae9ffd2803cbc7
bd8a5818887970393941354c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,27,1,string 1,Back,Back,review,pending,ambiguous-single-token,76900f1bfd16c8d4dd3d25e6f46638d7165aee23883ccea6bfe071c514421769
f6f38d396eceb8d362558407,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,28,1,string 1,Close,Close,review,pending,ambiguous-single-token,7d9eb7acb13e24625c404401d8e88b2350e32162455885f18276cf802f7701ed
c7a3d9032215f3ee5411dcf6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,29,1,string 1,Give,Give,review,pending,ambiguous-single-token,c6402106c8212060a327a1f37524a814dd135a068ae74ac965f20aa69b9f1a6c
