cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d700516a09b7514d3937d949,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)We'd performed every kind of stress test we could think of on the spare last night, and we discovered something very interesting.}","{fc(57e4f1)Wir hatten jeden Stresstest durchgeführt, an den wir letzte Nacht denken konnten, und wir haben etwas sehr Interessantes entdeckt.}",translate,translated,displayed-string:fc-repair,9670c204f3a09973db44b42b91853c6316f4c83170451f9c6e739592187cb714
d49693228c2ae02882ae1aab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)We'd performed every kind of stress test we could think of on the spare last night, and we discovered something very interesting.}","{fc(57e4f1)Wir hatten jeden Stresstest durchgeführt, an den wir letzte Nacht denken konnten, und wir haben etwas sehr Interessantes entdeckt.}",translate,translated,displayed-string:fc-repair,9670c204f3a09973db44b42b91853c6316f4c83170451f9c6e739592187cb714
401ee1ebf9da2e1601a427cb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,2,2,string 2,I knew it...! This suit isn't actually all that strong.,Dieser Anzug ist eigentlich nicht so stark.,translate,translated,displayed-string,debdbdd3a33123480aac98612138259dc304f5352b4073c1d47f30e9a016c35b
0391da55bef90c03a50245aa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
01a0f22e4000f50c72d66414,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,2,4,string 4,I knew it...! This suit isn't actually all that strong.,Dieser Anzug ist eigentlich nicht so stark.,translate,translated,displayed-string,debdbdd3a33123480aac98612138259dc304f5352b4073c1d47f30e9a016c35b
41aa80882b61035b07e0ebae,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,3,2,string 2,"It'll distort from just a little force, and it's not that much tougher than a regular protective suit.","Es wird von nur ein wenig Kraft verzerren, und es ist nicht so viel härter als ein normaler Schutzanzug.",translate,translated,displayed-string,1e33e749c6ecd676fe50e07a749846b906cf7b7f2297be3dac827fc4ee499279
9c5ea5a0bd2e27f6870d33bb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
487b3bb36273b53d3ab03361,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,3,4,string 4,"It'll distort from just a little force, and it's not that much tougher than a regular protective suit.","Es wird von nur ein wenig Kraft verzerren, und es ist nicht so viel härter als ein normaler Schutzanzug.",translate,translated,displayed-string,1e33e749c6ecd676fe50e07a749846b906cf7b7f2297be3dac827fc4ee499279
1208319b3123a9776baafa8b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,4,2,string 2,A long knife or something could probably cut through it pretty easily.,Ein langes Messer oder so was könnte es wahrscheinlich ziemlich leicht durchschneiden.,translate,translated,displayed-string,aa3b0636fc6f074a77e28e0e7ca4bc0f7ae5802d353a792564f5f1dcb3b23584
bb19a037add5bae52dfc651a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2bc88e5e0ae3e155746d5f75,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,4,4,string 4,A long knife or something could probably cut through it pretty easily.,Ein langes Messer oder so was könnte es wahrscheinlich ziemlich leicht durchschneiden.,translate,translated,displayed-string,aa3b0636fc6f074a77e28e0e7ca4bc0f7ae5802d353a792564f5f1dcb3b23584
b0dc28eec8605a525690b08b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,5,2,string 2,"That doesn't make sense, though...","Das ergibt keinen Sinn, aber...",translate,translated,displayed-string,a268286e2308f9c9f185b4cc6253b31af7b4b456d7a0834d77a394430e799d72
5598944be4e92d1d7b961de7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d162e18c809f0a1e3ce070f6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,5,4,string 4,"That doesn't make sense, though...","Das ergibt keinen Sinn, aber...",translate,translated,displayed-string,a268286e2308f9c9f185b4cc6253b31af7b4b456d7a0834d77a394430e799d72
edf085f42e40ef3f3546dbf9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,6,2,string 2,"If the suit is that weak, why don't any of our attacks work on it?","Wenn der Anzug so schwach ist, warum arbeitet dann keiner unserer Angriffe daran?",translate,translated,displayed-string,4c253e96dbb5189bd172352ccf0a3ecce629aa742920d97ea9ea4e15e551a8ae
85b56314ac51ff09f0cda450,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3d4b003e813411f003ffd1c9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,6,4,string 4,"If the suit is that weak, why don't any of our attacks work on it?","Wenn der Anzug so schwach ist, warum arbeitet dann keiner unserer Angriffe daran?",translate,translated,displayed-string,4c253e96dbb5189bd172352ccf0a3ecce629aa742920d97ea9ea4e15e551a8ae
fc0a9fe4ce2be6ce418a2f3a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,7,2,string 2,"Is this spare one a fake, maybe? Is it actually different from the sponsor's one?","Ist dieser Ersatz eine Fälschung, vielleicht? Ist er tatsächlich anders als der Sponsor?",translate,translated,displayed-string,be5944403b63fb94652b3306ecb88fa3519a20932a9b620a0e908de0c2f1a87f
03d52179401ca1aeea468d06,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2773ed419aabb12d5be121c9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,7,4,string 4,"Is this spare one a fake, maybe? Is it actually different from the sponsor's one?","Ist dieser Ersatz eine Fälschung, vielleicht? Ist er tatsächlich anders als der Sponsor?",translate,translated,displayed-string,be5944403b63fb94652b3306ecb88fa3519a20932a9b620a0e908de0c2f1a87f
b822236316f4b7182385814f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,8,2,string 2,"No, it's the real thing. The material is the same as what the sponsor wears, anyway.","Das Material ist das gleiche wie das, was der Sponsor trägt.",translate,translated,displayed-string,1785bcdefa881327511b027aa684f10243c9e0df476f3ad75f8029802a45aeb2
d7201b27aa2f1ce7b5175bfb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
839ed47888e687658d97eb10,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,8,4,string 4,"No, it's the real thing. The material is the same as what the sponsor wears, anyway.","Das Material ist das gleiche wie das, was der Sponsor trägt.",translate,translated,displayed-string,1785bcdefa881327511b027aa684f10243c9e0df476f3ad75f8029802a45aeb2
4f83fa3a074f93093d62db6d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aa_d031_m010_020.mbe/000_Sheet1.csv,9,2,string 2,So why is this one so much weaker?,Warum ist das also so viel schwächer?,translate,translated,displayed-string,53c19753c28bf64ddc033b02b733f97d548888b0c18fdf54f70b783382e0cb85
