cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3ad3e7018b51eb9ff1e688d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,1,2,string 2,"Nice work, guys! It looks so much better now.","Gute Arbeit, Leute, es sieht jetzt viel besser aus.",translate,translated,displayed-string,38867b0b4b0b4aa375bd667ce046ce4926429c4ce3a2cde5de3c9c1fbb14986b
8906895154cd8f5a756dee70,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
246b23194a943ed920899121,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,1,4,string 4,"Nice work, guys! It looks so much better now.","Gute Arbeit, Leute, es sieht jetzt viel besser aus.",translate,translated,displayed-string,38867b0b4b0b4aa375bd667ce046ce4926429c4ce3a2cde5de3c9c1fbb14986b
4bb828927128f56a7242723a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,2,2,string 2,*huff...* *huff...* Ain't no big thing... I could do this all day!,*huff...* *huff...* Es ist nichts Großes... Ich könnte das den ganzen Tag machen!,translate,translated,displayed-string,4fd942eb93c404cd91e8c352ba630d15b63d61e375c385d8702ca0f4dbd2c3cd
40b2fed27878e0eba8871f9b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f073ceefc95b73fd56f9f104,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,2,4,string 4,*huff...* *huff...* Ain't no big thing... I could do this all day!,*huff...* *huff...* Es ist nichts Großes... Ich könnte das den ganzen Tag machen!,translate,translated,displayed-string,4fd942eb93c404cd91e8c352ba630d15b63d61e375c385d8702ca0f4dbd2c3cd
321c36d2e501cd182b334fd1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,3,2,string 2,"Rock on, Takemaru! Seeing you give it your all is totally inspiring!","Rock on, Takemaru! Zu sehen, Sie geben es alles ist völlig inspirierend!",translate,translated,displayed-string,4a7fc258eaf450723e3f4a95e3564265279192a3b7116b47ba003f4690285fa6
a4914a4afd601b86d88c8e65,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
12dcf5873d8bed4e8d2d53ca,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,3,4,string 4,"Rock on, Takemaru! Seeing you give it your all is totally inspiring!","Rock on, Takemaru! Zu sehen, Sie geben es alles ist völlig inspirierend!",translate,translated,displayed-string,4a7fc258eaf450723e3f4a95e3564265279192a3b7116b47ba003f4690285fa6
7cfd0473373e60514232933c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,4,2,string 2,Where do those two get all that stamina?,Woher bekommen die beiden all diese Ausdauer?,translate,translated,displayed-string,4b4e0b217df9dc7727fabff1f140e94d37e22913a8a7b3e5e604077cd5a33480
c0038fe42a2a1b6bfe780d63,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e31f75a6930d683c0f7e89cb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,4,4,string 4,Where do those two get all that stamina?,Woher bekommen die beiden all diese Ausdauer?,translate,translated,displayed-string,4b4e0b217df9dc7727fabff1f140e94d37e22913a8a7b3e5e604077cd5a33480
d08afd29709076933f81e2e1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,5,2,string 2,"Next to them, it feels like the rest of us are barely doing anything at all...","Neben ihnen fühlt es sich an, als ob der Rest von uns kaum etwas tut...",translate,translated,displayed-string,ca1a4380d38d3c8ca25874a01e40b7c942dc772c7969d58b72a6f1fb0556a226
adac9b11503548835f9c7868,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fb4b840400d74d9e651cab79,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,5,4,string 4,"Next to them, it feels like the rest of us are barely doing anything at all...","Neben ihnen fühlt es sich an, als ob der Rest von uns kaum etwas tut...",translate,translated,displayed-string,ca1a4380d38d3c8ca25874a01e40b7c942dc772c7969d58b72a6f1fb0556a226
10d9e5165862b06fd258ccee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,6,2,string 2,If only I worked out more... I'm sorry for being such a weak-willed worm.,"Wenn ich nur mehr rauskriege, tut es mir leid, dass ich so ein schwachwilliger Wurm bin.",translate,translated,displayed-string,bd9b91bb01db721daa5d2e9348eab6f5f11b235ee310acc8d770f35808908685
949a3e15f2ca09f89cdee9ca,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
692e166b4ee89714de3d12c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,6,4,string 4,If only I worked out more... I'm sorry for being such a weak-willed worm.,"Wenn ich nur mehr rauskriege, tut es mir leid, dass ich so ein schwachwilliger Wurm bin.",translate,translated,displayed-string,bd9b91bb01db721daa5d2e9348eab6f5f11b235ee310acc8d770f35808908685
8679421b7647d2f0b287ca52,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,7,2,string 2,And the equipment isn't nearly as damaged as I thought. Thank goodness!,"Und die Ausrüstung ist nicht annähernd so beschädigt, wie ich dachte.",translate,translated,displayed-string,8715af4ef23ee627e087f054261c2dc47589497277f5eaa43f7de4f4c45f5788
df97b854c5ad9d9646901a4b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5757b496673e0e488bcc4ec9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,7,4,string 4,And the equipment isn't nearly as damaged as I thought. Thank goodness!,"Und die Ausrüstung ist nicht annähernd so beschädigt, wie ich dachte.",translate,translated,displayed-string,8715af4ef23ee627e087f054261c2dc47589497277f5eaa43f7de4f4c45f5788
65e9f24af96355d15a1e5b85,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,8,2,string 2,"Still plenty to clean up, though. We're gonna be here a while.",Wir werden noch eine Weile hier sein.,translate,translated,displayed-string,03590949f214e92e3f7c95819dfff9129def9111f64ed3d42488337f3ab6c78c
964aaafa2d4fe1a3cae7df86,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a62fea8c4986cd0ee2d52d47,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,8,4,string 4,"Still plenty to clean up, though. We're gonna be here a while.",Wir werden noch eine Weile hier sein.,translate,translated,displayed-string,03590949f214e92e3f7c95819dfff9129def9111f64ed3d42488337f3ab6c78c
ede9ad6c29b428eb0c39b177,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,9,2,string 2,What do you guys say we take a break for dinner?,"Was meint ihr, machen wir eine Pause zum Abendessen?",translate,translated,displayed-string,a23e57927cd304bc714b2729b922b9cd8a9e28b08042170322f3f0eb566ae671
71c41e38983e6140c54e6e92,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3a88a2ca14c3ee0f0fa61610,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,9,4,string 4,What do you guys say we take a break for dinner?,"Was meint ihr, machen wir eine Pause zum Abendessen?",translate,translated,displayed-string,a23e57927cd304bc714b2729b922b9cd8a9e28b08042170322f3f0eb566ae671
39315af257007f48f839e896,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,10,2,string 2,Ngaaargh! I'm all out of energy...I'll never make it to the Cafeteria!,Ngaaargh! Ich bin ganz ohne Energie... ich werde es nie in die Cafeteria schaffen!,translate,translated,displayed-string,7f78078478039b3fa63763b1ba6570b523c00988b74ca08efb3b36cb88e40d19
effbb333ec47623e3a032509,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
84ecc2790dd0c52c8e3f37b2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,10,4,string 4,Ngaaargh! I'm all out of energy...I'll never make it to the Cafeteria!,Ngaaargh! Ich bin ganz ohne Energie... ich werde es nie in die Cafeteria schaffen!,translate,translated,displayed-string,7f78078478039b3fa63763b1ba6570b523c00988b74ca08efb3b36cb88e40d19
2ce473ab99d2a9fbd5390264,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,11,2,string 2,"Isn't there some strong, reliable Team Leader who can go get our food for us...?","Gibt es nicht einen starken, zuverlässigen Teamleiter, der unser Essen für uns holen kann...?",translate,translated,displayed-string,cea96d5aa8bee6d07baf424b5a33a607b8fb4a73cae2c7e12809a10b7fe6ef8f
a4c05f2a52c133ba7dc5c14c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5f2894ba8a9d552f2d395541,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,11,4,string 4,"Isn't there some strong, reliable Team Leader who can go get our food for us...?","Gibt es nicht einen starken, zuverlässigen Teamleiter, der unser Essen für uns holen kann...?",translate,translated,displayed-string,cea96d5aa8bee6d07baf424b5a33a607b8fb4a73cae2c7e12809a10b7fe6ef8f
7449d741dbf91c3339baab59,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,12,2,string 2,"Gee, I wonder who you could mean by that?","Mensch, ich frage mich, wen du damit meinst?",translate,translated,displayed-string,927f3cbb80126c8056697e299316caa7438f5fa7a18a0fc7cacfef4cc232e860
e3ed6765a5d06a0b18b8f3af,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,12,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
70b4f4af29108a373e2d7f1a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,12,4,string 4,"Gee, I wonder who you could mean by that?","Mensch, ich frage mich, wen du damit meinst?",translate,translated,displayed-string,927f3cbb80126c8056697e299316caa7438f5fa7a18a0fc7cacfef4cc232e860
063236aa12678bcc1f4a0de1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,13,2,string 2,"It's kind of mortifying to admit this, but I agree with Gaku.","Es ist irgendwie beschämend, das zuzugeben, aber ich stimme Gaku zu.",translate,translated,displayed-string,e038a54c886f8cf5e386f3556e4d3945d33ebb9fe0c7e4c0d9f5b984d4f084b3
0fa98bcc19e252d435879698,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,13,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4012e1396175e8171e642b10,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_0_boknoclt_00_d022_m050_010.mbe/000_Sheet1.csv,13,4,string 4,"It's kind of mortifying to admit this, but I agree with Gaku.","Es ist irgendwie beschämend, das zuzugeben, aber ich stimme Gaku zu.",translate,translated,displayed-string,e038a54c886f8cf5e386f3556e4d3945d33ebb9fe0c7e4c0d9f5b984d4f084b3
