cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8964b08a39fb4f4ecbdd948c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,1,2,string 2,Hiruko...,Hiruko...,translate,translated,displayed-string,1c091ed446be6ff5e83997f144d9750e4d297551972de98dd262a1b381be028f
390547e5885929d45e577552,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
add7ec3f11bac7d20ff48e8c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,1,4,string 4,Hiruko...,Hiruko...,translate,translated,displayed-string,1c091ed446be6ff5e83997f144d9750e4d297551972de98dd262a1b381be028f
a0cdf71541d94abb179774b6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"Still alive, I see.","Noch am Leben, verstehe ich.",translate,translated,displayed-string,78e3093fbfc91afd860b6db1d0694cc4d1985087fd994fc50fc34c3344c1f56a
9e3889e7e9fe8f599128b10f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a38154bbe89dac3d9ab72767,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"Still alive, I see.","Noch am Leben, verstehe ich.",translate,translated,displayed-string,78e3093fbfc91afd860b6db1d0694cc4d1985087fd994fc50fc34c3344c1f56a
4576f8aaec9e1335d8f2ab12,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,3,2,string 2,"Yeah, both of them.","Ja, beide.",translate,translated,displayed-string,7a7808246ed852d21a7d099b3a77b6e04d6dc9241ec26cf197ef46ef9160f068
2a95b6c09ad75ba03e50bd12,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6ad9a02f96ba2d3b8a55eab1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,3,4,string 4,"Yeah, both of them.","Ja, beide.",translate,translated,displayed-string,7a7808246ed852d21a7d099b3a77b6e04d6dc9241ec26cf197ef46ef9160f068
bfdc35f2616caf197909c4ec,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,4,2,string 2,I meant you!,Ich meinte dich!,translate,translated,displayed-string,7667e2d0fa7db71a74e952b0d9e11b9b6a38fe544aea057836350737623b769f
28aabeb760fcdbfbbca452d8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
07403b25f3f991ec14f6e912,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,4,4,string 4,I meant you!,Ich meinte dich!,translate,translated,displayed-string,7667e2d0fa7db71a74e952b0d9e11b9b6a38fe544aea057836350737623b769f
b9a894db99c08551e13dba84,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,5,2,string 2,You've leapt three times now without protection. You could have died instantly!,Du hättest sofort sterben können!,translate,translated,displayed-string,711c602c56f0ef12719d6bb3d8aa3c8a82ca3cc62fdee6b796c57d3ddddfc992
f67cb5d2ea767875ac482ad7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e3b1641bc4ef2332ecb85a89,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,5,4,string 4,You've leapt three times now without protection. You could have died instantly!,Du hättest sofort sterben können!,translate,translated,displayed-string,711c602c56f0ef12719d6bb3d8aa3c8a82ca3cc62fdee6b796c57d3ddddfc992
f78aeb5925a35a8759402bc4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,6,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
4bda1de3da4020989c10fa3e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
78af185e91f0a17d23b95421,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,6,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
6855b2d19fd858c876f1b8c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,7,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
787a61920887aace29c97ad7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
72ed95d7b59e53d6093b4fe3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,7,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
a8722cb26adcfd1bd6c44f29,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,8,2,string 2,Sorry...,Tut mir leid...,translate,translated,displayed-string,51335374627e92a3c63bfd618de206d729ba2adbb17242d405fb77b1227d2a99
f72b695d654dbfe13de6b284,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dc50ef91f5a4a56922ea53f2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,8,4,string 4,Sorry...,Tut mir leid...,translate,translated,displayed-string,51335374627e92a3c63bfd618de206d729ba2adbb17242d405fb77b1227d2a99
d6ffe7d045c18c04c5e1706c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,9,2,string 2,Tch...,Tch...,translate,translated,displayed-string,8d199397fabdbf49b489426623c6221b83862337e4799856f6e4b17cdbdc39be
e397dea86782f41f28bceb28,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5588b06ec5a3c6c657c1c41e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,9,4,string 4,Tch...,Tch...,translate,translated,displayed-string,8d199397fabdbf49b489426623c6221b83862337e4799856f6e4b17cdbdc39be
32841efbf67f843d5d8d26f4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)Hiruko sighed and pulled something out of her jacket.},{fc(57e4f1)Hiruko seufzte und zog etwas aus ihrer Jacke.},translate,translated,displayed-string:fc-repair,bf1ecf288992a8efd2717fd2e2936155d286691fd4bfb237fb9cbeee5a59392d
8144ce6bae7557df9d2bf1e0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,10,4,string 4,{fc(57e4f1)Hiruko sighed and pulled something out of her jacket.},{fc(57e4f1)Hiruko seufzte und zog etwas aus ihrer Jacke.},translate,translated,displayed-string:fc-repair,bf1ecf288992a8efd2717fd2e2936155d286691fd4bfb237fb9cbeee5a59392d
0e7af245c267754701ad2895,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,11,2,string 2,What is that...?,Was ist das...?,translate,translated,displayed-string,779ee56ca0e84fbe5a6820b7c10816711823186e5e81ff9458c7333da52dfd23
24af024ae75ee53ff0c4dad0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
09dd14332228690eac6fdd1e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,11,4,string 4,What is that...?,Was ist das...?,translate,translated,displayed-string,779ee56ca0e84fbe5a6820b7c10816711823186e5e81ff9458c7333da52dfd23
ceb7c349b1790c78b678bb49,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,12,2,string 2,A beam gun that generates a special electromagnetic pulse. I borrowed it from Tsubasa. I never go anywhere without it.,"Eine Strahlpistole, die einen speziellen elektromagnetischen Impuls erzeugt. Ich habe sie von Tsubasa geliehen.",translate,translated,displayed-string,3902c604d4641ddfd0bc4993d08766674ef074a5373f4f0bf9901c3bcf1ffab7
637c7733e31fb9ceff823fef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,12,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a6018d0b3e4f6f6ea8518db4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m030_010.mbe/000_Sheet1.csv,12,4,string 4,A beam gun that generates a special electromagnetic pulse. I borrowed it from Tsubasa. I never go anywhere without it.,"Eine Strahlpistole, die einen speziellen elektromagnetischen Impuls erzeugt. Ich habe sie von Tsubasa geliehen.",translate,translated,displayed-string,3902c604d4641ddfd0bc4993d08766674ef074a5373f4f0bf9901c3bcf1ffab7
