cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
1fa542f3672b65cff03c428b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,1,1,string 1,Confirm,Confirm,review,pending,ambiguous-single-token,eebdd24a77d9ad32222660c07777163bf5f6732df2b172351f3f8d5783e4f529
69ba101fd2bfee3db8ff06d6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,2,1,string 1,Cancel,Cancel,review,pending,ambiguous-single-token,19766ed6ccb2f4a32778eed80d1928d2c87a18d7c275ccb163ec6709d3eb2e27
65242977af21ef0829fd5207,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,3,1,string 1,Use,Use,review,pending,ambiguous-single-token,c36d819e7bc6d2b7da51394411c733db89c395987885ca6770167a3b9bc45c3c
0e0b1423ebe0544b18240622,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,4,1,string 1,View Area,Ansichtsbereich,translate,translated,displayed-string,10fc074a44ea3c2c536e38ab346a845cb9011a880705eb7a0d07f93ec2c39f28
1b1b45c2b945e5c6a55c08b9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,5,1,string 1,Bag,Bag,review,pending,ambiguous-single-token,b053c961f2acb0b9754c29a8f3131f728765de82c55818b3794a5c266e4e2bc8
adf4c9bbb5a9203c751ef151,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,6,1,string 1,Menu,Menu,review,pending,ambiguous-single-token,99af6606ff9d6cd5154d4d4e9c21e325086d3e904677cdb41d363c8a3480f862
053556d98686556b1b0eba52,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,7,1,string 1,Select Card,Karte auswählen,translate,translated,displayed-string,1bcbf13d7d0be95db2a1d31b3b5a1ac811e9594849e5215aa5f98eb431c9e62b
5955c2ca2ffa4538e43acb8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,8,1,string 1,Switch Out,Ausschalten,translate,translated,displayed-string,46ecd67617f87f71711f5abb9df16946bd65bd176856537cdcf2b4531549dc5a
f3ec64e3bd62f362b9744fad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,9,1,string 1,Remove Member,Mitglied entfernen,translate,translated,displayed-string,2b98b1945afca4c4ec84dd99418fd7aedf1e145fea0f1ad6214cc9ae42e3ac4a
539decf7b7dc6fe54060d046,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,10,1,string 1,Next Page,Nächste Seite,translate,translated,displayed-string,6ead5dfdc11ef7da26e4c09f348d42a8d6306b7faa54ce0a7dc6c567dab1db6f
3e558f7f2df587f73b80147f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,11,1,string 1,Skip,Skip,review,pending,ambiguous-single-token,28d03596d24eeb4eab2d6fe21ca1cb95be7cb1fa6f92933db05e2cc4f4cdfa06
40485ad3a60c67cc107ed0d5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,12,1,string 1,Auto On/Off,Auto On/Off,protected,protected,resource-or-id,23fa74f8c2dbe5c31533b7479aae399cd96a9e2f9476b141e4d373bad2aae1ab
40a18a612f8e8f652b7696f9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,13,1,string 1,Transcript,Transcript,review,pending,ambiguous-single-token,721164f0dc7096a8c09be2069c5c689a56df933fc5798822e8134bd3e76771eb
7d69c1344cc19acc6d21bee7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,14,1,string 1,Craft,Craft,review,pending,ambiguous-single-token,57f64bf9715866ab48f46478ad5c82c1180031954ae27aadfbbbfc7be96e0427
bd0d46be90321e37012263b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,15,1,string 1,Name,Name,review,pending,ambiguous-single-token,dcd1d5223f73b3a965c07e3ff5dbee3eedcfedb806686a05b9b3868a2c3d6d50
45a4f3f4371a6f4742494c3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,16,1,string 1,Filter,Filter,review,pending,ambiguous-single-token,638e249f4a15ebb84957da130701d138a6e06d88dceeaa2e6dcd91db70cc1381
750f1b1b6d7e5fed81df3807,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,17,1,string 1,Movement,Movement,review,pending,ambiguous-single-token,49ba63e89af69e4d6d4cf7618c4dca31e1fa03753edddbc9ddeaf773364c9665
91a64e1babe1bd2b0e4e27b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,18,1,string 1,Strategic Material,Strategisches Material,translate,translated,displayed-string,d325d2fa473d926f198b25e967e810c66dcb3163e0f44753d7bca87df7a6cee6
52820e80335c32c9c10cb597,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,19,1,string 1,Boost Hemoanima,Heben Sie die Hämoanima,translate,translated,displayed-string,bafe6dc3c9589159cc2206876d14221ef8d56d757a9ce2b544cbf1e4715789a2
15ae74466595ab8ecb9b018a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,20,1,string 1,End Turn,Drehung beenden,translate,translated,displayed-string,aeb087b59a30966b1f94dfc10773a1b4f64b7cd155818de78bf18b6ba46afcee
63d0268579b321415b5a9966,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,21,1,string 1,Select Destination,Ziel auswählen,translate,translated,displayed-string,a481da29083153800c586291a2d41fea37e89787f5b3a30edc8a3da872a1878f
8bdb02a78b4e8feab70a0a35,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/key_help_text.mbe/000_Sheet1.csv,22,1,string 1,Change Page,Seite ändern,translate,translated,displayed-string,e8eb9144ce167ae900ef395186571b993cf85ef9495da0e486b8aa1a8acee784
