cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
35c03167127a21ddc96889bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,1,2,string 2,All right... I lose.,"In Ordnung, ich verliere.",translate,translated,displayed-string,009a1e84c348b6667faaa4eb31fbbb65caffba0b5188d7a98e18005a5daea216
ca85585459e424c12af439ed,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,s05_0_Ninshiki_Aa_d062_m010_010_0010,s05_0_Ninshiki_Aa_d062_m010_010_0010,protected,protected,resource-or-id,38132c470277af4dbc28d2b04785f39938d16a9a37139aceebdc593513206887
dbc207896a542e82b20d5660,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,1,4,string 4,All right... I lose.,"In Ordnung, ich verliere.",translate,translated,displayed-string,009a1e84c348b6667faaa4eb31fbbb65caffba0b5188d7a98e18005a5daea216
a894dc79495b5082b8f229e0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
f117825d8583db5b8f2a9058,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s05_0_Ninshiki_Aa_d062_m010_010_0020,s05_0_Ninshiki_Aa_d062_m010_010_0020,protected,protected,resource-or-id,5827b0a2d4715198f408c2f4cbb29a7eb332a612936c2caf9e506cb6fab31dc4
2199ca14616c7c4b81302e19,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
9006ec3617cf0a5847dd83f9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,3,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
66024de9f3bc34114c9f7963,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s05_0_Ninshiki_Aa_d062_m010_010_0030,s05_0_Ninshiki_Aa_d062_m010_010_0030,protected,protected,resource-or-id,f107d978491cfdcd4202cd70902cba15a0d710083fc54ae05defbcd333a389ba
94d1edcc29d27a2a20ebae2a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,3,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
f39de02a8f0c17a547564b11,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Don't insult my intelligence, Takumi.","Beleidigen Sie nicht meine Intelligenz, Takumi.",translate,translated,displayed-string,8ca63db5a45575f8d03f4565445780e2b75b82f11b01eb926276ef0786890439
