cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
fadd87e0e88f999b532fd0ba,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)Dahl'xia had just walked right onto school grounds!},{fc(57e4f1)Dahl'xia war gerade auf das Schulgelände gelaufen!},translate,translated,displayed-string:fc-repair,9eb5a6c429d4b161942f8347d1ac481203229459dc17512f1d99f371cdeec88d
5f0ba752f636a5a8d0706a1c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)Dahl'xia had just walked right onto school grounds!},{fc(57e4f1)Dahl'xia war gerade auf das Schulgelände gelaufen!},translate,translated,displayed-string:fc-repair,9eb5a6c429d4b161942f8347d1ac481203229459dc17512f1d99f371cdeec88d
435690bdb3e4b77785f59fb6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)After finding him standing out there, we rushed out of the school and over to where he was standing.}","{fc(57e4f1)Nachdem wir ihn da draußen gefunden hatten, eilten wir aus der Schule und dahin, wo er stand.}",translate,translated,displayed-string:fc-repair,4740053b943473ef9534be5354f9dc8010a4560e8fa64ce807caf1ad6987fed0
44b0430414633f2f737b6ce3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)After finding him standing out there, we rushed out of the school and over to where he was standing.}","{fc(57e4f1)Nachdem wir ihn da draußen gefunden hatten, eilten wir aus der Schule und dahin, wo er stand.}",translate,translated,displayed-string:fc-repair,4740053b943473ef9534be5354f9dc8010a4560e8fa64ce807caf1ad6987fed0
e53b5dab7aaf758d7e69b15d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,3,2,string 2,When did you get here...?!,Wann bist du hergekommen...?!,translate,translated,displayed-string,9118a4542ad41be417c345356ef14eb35c468cf52757ac7f2a0e0a1955283a37
ac6820b8e309716d1ac4fa06,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4930a72048f3a9db85502b4a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,3,4,string 4,When did you get here...?!,Wann bist du hergekommen...?!,translate,translated,displayed-string,9118a4542ad41be417c345356ef14eb35c468cf52757ac7f2a0e0a1955283a37
f76dd1a1fad39aae212f4f52,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,4,2,string 2,What happened to the alarm? Why didn't it go off?!,Was ist mit dem Alarm passiert? Warum ist es nicht losgegangen?!,translate,translated,displayed-string,9c8362c4ef9bb2d2246f624846e265942bc02593a1b5761f67e10802cd193654
dfa51206220135fd37456547,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2e1850d7cad4f1b0db36135d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaaa_d087_m010_020.mbe/000_Sheet1.csv,4,4,string 4,What happened to the alarm? Why didn't it go off?!,Was ist mit dem Alarm passiert? Warum ist es nicht losgegangen?!,translate,translated,displayed-string,9c8362c4ef9bb2d2246f624846e265942bc02593a1b5761f67e10802cd193654
