cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
65e2339e0419f68f94d79a4b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,1,2,string 2,I can't believe they've already made it this far...,"Ich kann nicht glauben, dass sie es schon so weit geschafft haben...",translate,translated,displayed-string,7149579426132a1f39678a08b2319516385f986f4e3a9fd39b0e76727b55b585
89e4cd7a380ff615894145d2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
71a28a2142682a2d62dea3b3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,1,4,string 4,I can't believe they've already made it this far...,"Ich kann nicht glauben, dass sie es schon so weit geschafft haben...",translate,translated,displayed-string,7149579426132a1f39678a08b2319516385f986f4e3a9fd39b0e76727b55b585
c4e7aa0a8de068c71130ae87,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"They're like a swarm of locusts. But who cares? Oosuzukis don't get mad, they get even!","Sie sind wie ein Heuschreckenschwarm. Aber wen kümmert's? Oosuzukis werden nicht wütend, sie werden quitt!",translate,translated,displayed-string,8d1e9e9bcfeecf7303d182dfdb3ea0b113d24cead8d7b4179539d1423111e8a7
71de885410f195ece6a1aa84,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
97acf996890e8b4b347b6d48,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"They're like a swarm of locusts. But who cares? Oosuzukis don't get mad, they get even!","Sie sind wie ein Heuschreckenschwarm. Aber wen kümmert's? Oosuzukis werden nicht wütend, sie werden quitt!",translate,translated,displayed-string,8d1e9e9bcfeecf7303d182dfdb3ea0b113d24cead8d7b4179539d1423111e8a7
e46ff8971e73d07a53ebacf4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"It's too bad, I was having such a nice dream... But I guess I still prefer real kills to ones in my head.","Schade, dass ich so einen schönen Traum hatte, aber ich schätze, ich bevorzuge echte Morde denen in meinem Kopf.",translate,translated,displayed-string,c98c43ab48ac804f8ce0ddd0e9a8fcd35e6847fa9aafc44d64297069507e0d8e
7ad5acfcdf85f033e8c38355,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
355940942a72790d37f439f8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"It's too bad, I was having such a nice dream... But I guess I still prefer real kills to ones in my head.","Schade, dass ich so einen schönen Traum hatte, aber ich schätze, ich bevorzuge echte Morde denen in meinem Kopf.",translate,translated,displayed-string,c98c43ab48ac804f8ce0ddd0e9a8fcd35e6847fa9aafc44d64297069507e0d8e
0fcc0e676865728b70654c80,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Seriously, messing with a sweet young girl's dreams? Who DOES that? This commander is soooo getting an immoral leg drop!","Ernsthaft, mit den Träumen eines süßen jungen Mädchens zu tun? Wer tut das? Dieser Kommandant ist soooo bekommen ein unmoralisches Bein Drop!",translate,translated,displayed-string,3a8ee1434fac002eca36cfc70b4610ea425a454c965521c94df8c7091c30626e
f174710c910e2aee63d746d9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fa091473282accca79c36253,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"Seriously, messing with a sweet young girl's dreams? Who DOES that? This commander is soooo getting an immoral leg drop!","Ernsthaft, mit den Träumen eines süßen jungen Mädchens zu tun? Wer tut das? Dieser Kommandant ist soooo bekommen ein unmoralisches Bein Drop!",translate,translated,displayed-string,3a8ee1434fac002eca36cfc70b4610ea425a454c965521c94df8c7091c30626e
c21bd234edd4809e41fcf755,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,5,2,string 2,"Yeah, let's make 'em regret ever settin' foot on our turf!","Ja, lassen wir sie bereuen, dass sie jemals Fuß auf unseren Rasen gesetzt haben!",translate,translated,displayed-string,328086a8675de847ee9e9175366055094eb76db3b52dcf08bed44b936e80847e
8db339aafa3ee8de3944a0dc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
da6061ff1009a0910507e951,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_b0_d047_m020_010.mbe/000_Sheet1.csv,5,4,string 4,"Yeah, let's make 'em regret ever settin' foot on our turf!","Ja, lassen wir sie bereuen, dass sie jemals Fuß auf unseren Rasen gesetzt haben!",translate,translated,displayed-string,328086a8675de847ee9e9175366055094eb76db3b52dcf08bed44b936e80847e
